Japanese Name,English Name,Id,Icon,Normal Quality,High Quality,Bone 1,Bone 2,Bone 3,Bone 4,Bone 5,Bone 6,Bone 7,Bone 8,Bone 9,Bone 10,Bone 11,Bone 12,Bone 13,Bone 14,Bone 15,Bone 16,Effect Name
なし,None,0,6d1ea02da83678fa8d0751ac11ed70d4,,,,,,,,root,,,,,,,,,,,
ウィオラキャップ,Viola Cap,1,05157938eaa4dce492feb1df2bc5a800,db18adba06361bec344afbdca34be494,,head,,,,,root,,,,,,,,,,,
ファームイヤーマフ,Firm Earmuffs,2,c5c6ab3471d164dca6aa618a323bcff4,ade38d0f8f8dc4f4152566a80dfb7dbf,,head,head,,,,root,pos_l,,,,,,,,,,
ヘイズハット,Haze Hat,3,fab0de4f76810e5a74cc6d8b771df38e,75e35d11a1bc4c40af786faba87157d3,,head,,,,,root,,,,,,,,,,,
ナースキャップ,Nurse Hat,4,dadba5aec02d4f75c94e9611239facbf,19810fca0d181e35da5185395189c9a9,,head,,,,,root,,,,,,,,,,,
[Unnamed 5],,5,8ec57b2fbaa2ebe01f64fae4f2360a3c,9f9663e542fb67179ee3e1a15ba3d4bd,,l_upperarm,,,,,root,,,,,,,,,,,
[Unnamed 6],,6,d9e7ab29ba0444274e69e3b83cf6d492,7fccedf2eb0dc7d9cebf696c0a2f26b9,,l_upperarm,,,,,root,,,,,,,,,,,
[Unnamed 7],,7,97792974ea182674356fcfe4d0fe527c,2e2df2fea755ff009f8654a243411cea,,l_upperarm,,,,,root,,,,,,,,,,,
ヘッドセット,Headset,8,6b76171fb1deebf7b4e9487e5c03ff28,3ef1f2b7ad32e2c99b9eebcedf87d65b,,head,head,,,,root,pos_l,,,,,,,,,,
ラウンドメガネ,Round Glasses,9,06695779adf7c7cc4e887834fab2d7f8,95b2bd23cd50df6a3178bc8f0e4ae8ac,,head2,eyesroot,,,,root,ac_eyesroot,,,,,,,,,,
オーバルフチありメガネ,Oval Rimmed Glasses,10,e7aed8da64886d289ae812afd6a2876e,07d395c6f4f956fba5484a98f8d6d849,,head2,eyesroot,,,,root,ac_eyesroot,,,,,,,,,,
スクエアメガネ,Square Glasses,11,9aa2625df985c90cd6f9a89a845458d2,febcc959b7bcdfcc41a6a782071699f3,,head2,eyesroot,,,,root,ac_eyesroot,,,,,,,,,,
