JP Name,EN Name,Chat Command,PSO2 File,PSO2 Hash,Reboot Human,Reboot Human Hash,Reboot Cast Male, Reboot Cast Male Hash,Reboot Cast Female,Reboot Cast Female Hash,Reboot Fig,Reboot Fig Hash,PSO2 VFX,PSO2 VFX Hash,Reboot VFX,Reboot VFX Hash,Gender (Blank usually follows previous)
モノマネ,Impersonate,monomane,actor/lobby_action/pl_la_ex_monomane.ice,85e41d5bda33d677a83bdbe6ee7a9dec,character/motion/lobby_action/pl_la_ex_monomane_std.ice,9f\b346ae12c04e5f6291f5fb86429be2,character/motion/lobby_action/pl_la_ex_monomane_cam.ice,9e\c2f601e55427738bb75d1faec7c121,character/motion/lobby_action/pl_la_ex_monomane_caf.ice,86\108ec2a529c1777d44c6f471f6e69f,character/motion/lobby_action/pl_la_ex_monomane_base.ice,3c\3f5ed83dc425f78635c865a6be2065,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
モノマネ,Impersonate,,actor/lobby_action/,3f041de58287200e807ef62c9c3b7bd8,character/motion/lobby_action/,,character/motion/lobby_action/,,character/motion/lobby_action/,,character/motion/lobby_action/,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア深緑,Photon Chair (Dark Green),chair_viridia,actor/lobby_action/pl_la_ex_public_chair_viri.ice,e5f7aed3473bbebeadac7e56fea5d4fc,character/motion/lobby_action/pl_la_ex_public_chair_viri_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_viri_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_viri_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_viri_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア緑,Photon Chair (Green),chair_greennil,actor/lobby_action/pl_la_ex_public_chair_green.ice,631ac34fee518592c2149d331bd0b1c5,character/motion/lobby_action/pl_la_ex_public_chair_green_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_green_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_green_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_green_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア水,Photon Chair (Light Blue),chair_skyly,actor/lobby_action/pl_la_ex_public_chair_sky.ice,77486cd516db34dc361845cac64d40b4,character/motion/lobby_action/pl_la_ex_public_chair_sky_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_sky_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_sky_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_sky_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア青,Photon Chair (Blue),chair_bluefull,actor/lobby_action/pl_la_ex_public_chair_blue.ice,a11561fe37702a3c3cfa7177a98e692d,character/motion/lobby_action/pl_la_ex_public_chair_blue_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_blue_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_blue_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_blue_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア紫,Photon Chair (Purple),chair_purplenum,actor/lobby_action/pl_la_ex_public_chair_purple.ice,1e3a4becfccc54c72f74381e63f63490,character/motion/lobby_action/pl_la_ex_public_chair_purple_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_purple_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_purple_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_purple_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア桃,Photon Chair (Pink),chair_pinkal,actor/lobby_action/pl_la_ex_public_chair_pink.ice,b3f9c705ff9397510f47c06155eb79d1,character/motion/lobby_action/pl_la_ex_public_chair_pink_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_pink_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_pink_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_pink_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア赤,Photon Chair (Red),chair_redria,actor/lobby_action/pl_la_ex_public_chair_red.ice,a943409dd6268e52ea79bbc1b55b5def,character/motion/lobby_action/pl_la_ex_public_chair_red_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_red_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_red_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_red_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
フォトンチェア橙,Photon Chair (Orange),chair_oran,actor/lobby_action/pl_la_ex_public_chair_oran.ice,8204af4cea1fca3b246ae8846de4b29c,character/motion/lobby_action/pl_la_ex_public_chair_oran_std.ice,,character/motion/lobby_action/pl_la_ex_public_chair_oran_cam.ice,,character/motion/lobby_action/pl_la_ex_public_chair_oran_caf.ice,,character/motion/lobby_action/pl_la_ex_public_chair_oran_base.ice,,actor/lobby_action/,,character/motion/lobby_action/,8e70ab75b81851aa0bd4abdccd1848cc,
