Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
,,50000,50000,,,,,,,,,,,,,
ワスプ・アーム,Wasp Arms,50001,50001,48d9b5325c7f3ec943b54c0cd914c515,eb49aa435e7aab469ddf2e6536d55e00,,,,,,,,,,,
ディール・アーム,Diehl Arms,50002,50002,f426e060cb3d8ea7c6781a5c5b99cb70,18ec215c2354cbf6f003e55253bd2c91,,,,,,,,,,,
ローズ・アーム,Rhodes Arms,50003,50003,7ef053992ef42f92c91032361c2602dc,40e395e1e20017aa9c2b0d5f1a6d1f6b,,,,,,,,,,,
ファーネン・アーム,Farnen Arms,50004,50004,adff3aff72ee9c1cb0e09f92514c022c,15f62f9d3b3e1479eaf4cb9e60159b67,,,,,,,,,,,
ランクス・アーム,Lanx Arms,50005,50005,410512a433f75ab82b7b96455d43aa4f,25ce059fba5829fbab38cd61c17c1d9d,,,,,,,,,,,
イオニア・アーム,Ionia Arms,50006,50006,643fc3a6f5730e326fb887672a331855,703d22cf1048d61a09c8719837fb5797,,,,,,,,,,,
フリーゲン・アーム,Fliegen Arms,50007,50007,e1c9c11a829c574e5c91b8ad91a56e0d,aba80a7627541a7cf7e4431b9a68858f,,,,,,,,,,,
メディウム・アーム,Medium Arms,50008,50008,21f856a35465ea6e432b46a94c27b3df,0f6afd733105c205f4179b2cb99357af,,,,,,,,,,,
イルシオン・アーム,Illusion Arms,50009,50009,e79db335e46a552a931f17515be339e0,fc785eb732586633170f459178eeedab,,,,,,,,,,,
ラミア・アーム,Lamia Arms,50010,50010,a1755f98d923472395b5933306d8a3d7,7f10870e5780d7899cc60158a3fa9530,,,,,,,,,,,
ワスプ・アームＣＶ,Wasp Arms CV,50020,50020,36c358deff0bcbac89ba1039454ffe04,dbf2351846c6bc4ed30c50902ab4e18c,,,,,,,,,,,
ディール・アームＣＶ,Diehl Arms CV,50030,50030,394b5e2cd3b975cef9ec4cab21d289ed,9d4fb818cf7cbbb883bdbdee7dc527e0,,,,,,,,,,,
,,50032,50032,,64f5948f218a1b9ac56bfb3703bb0367,,,,,,,,,,,
ディール・アームＧＶ,Diehl Arms GV,50033,50033,ea304c981330e38d8c65c631287148b5,f6e3fb6c89c6a789edc2a3ec41ff6763,,,,,,,,,,,
ローズ・アームＣＶ,Rhodes Arms CV,50040,50040,eb9d43847aa3abfe6a1a3f399179c787,e6d1eb93ee82fa97687463173223683d,,,,,,,,,,,
,,50041,50041,,cd913f1a602424eca36c2f846a766f1f,,,,,,,,,,,
ローズマリー・アーム,Rosemary Arms,50043,50043,a210f7523424e86c19ddad373b10148a,77185b9e9350b92b73a683079a365e37,,,,,,,,,,,
ローズマリー・アームＣＶ,Rosemary Arms CV,50044,50044,772d4f8388570db2ddb55ae183f0764f,89811a2017273198859166f49f6f1a46,,,,,,,,,,,
ローズ・アームＧＶ,Rhodes Arms GV,50045,50045,45dbad4e54c239e25084cff2f3ace63b,cbb2d44f2e501b44ff1440d272e8a7ed,,,,,,,,,,,
ファーネン・アームＣＶ,Farnen Arms CV,50050,50050,b4d7ac0a5b222d6ea47c50d088cc7805,903c00183e61060b402bc0526eaab304,,,,,,,,,,,
