Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
[Unnamed 50000],,50000,50000,,,,,,,,,,,,,
ワスプ・ボディ,Wasp Body,50001,50001,3efab8dbce141b5d2ae67089827fa4ca,50ad099241213955b6f19b0395ec573b,,,,,,,,,,,
ディール・ボディ,Diehl Body,50002,50002,044b345bd8672513d6a457fa4060a4fb,93b62680d7c0572fabd9d7d2da40c958,,,,,,,,,,,
ローズ・ボディ,Rhodes Body,50003,50003,425c21efcbd07c60afa51302b74a051f,949c91c4e37cf1243d7f63609c743a73,,,,,,,,,,,
ファーネン・ボディ,Farnen Body,50004,50004,e040241f377687b2cb750712771bee95,fc1f4ee9aed5f0040285cc34b302ac03,,,,,,,,,,,
ランクス・ボディ,Lanx Body,50005,50005,cea09e85e02cb85acef4894f24388f01,91ad2ea8eac93b750561cfd95003e7b9,,,,,,,,,,,
イオニア・ボディ,Ionia Body,50006,50006,2cba257256e4c5d2a70c8412034d0139,9ed050a24f0d837b77723fd7c1aa8df1,,,,,,,,,,,
フリーゲン・ボディ,Fliegen Body,50007,50007,e031f293a16f129dc10ab2a2825116aa,ffeddd14c5f461f57640eeccd60d166f,,,,,,,,,,,
メディウム・ボディ,Medium Body,50008,50008,8b4e3d82b7bac6b6a95e2d0fd0f8b7ed,d1857deac33323f4c30ac0b6d9a0b3f5,,,,,,,,,,,
イルシオン・ボディ,Illusion Body,50009,50009,fb0a207ae0f1aa8e239d4a449bcf6af6,4e7b016c47a0ff6d7cfd1a32b8efd9df,,,,,,,,,,,
ラミア・ボディ,Lamia Body,50010,50010,74c1af9e3c00d4f9f5a9a7e6195b7ee0,128bc7c498a3cc4d87ff80e6ebde512f,,,,,,,,,,,
ワスプ・ボディＣＶ,Wasp Body CV,50020,50020,4773cb09eb0d05ca211a4eb7799d5b5f,681639a6fd1bb0c9db826761247b46b3,,,,,,,,,,,
ディール・ボディＣＶ,Diehl Body CV,50030,50030,207ecc4caba6caaac325a7c1623a8a0f,93827bb06fdcaef7b57d0c7ed2a40e08,,,,,,,,,,,
[Unnamed 50032],,50032,50032,,18e8d1d1adca188263dbe0f878245197,,,,,,,,,,,
ディール・ボディＧＶ,Diehl Body GV,50033,50033,175a54892bc0206bf66c0afcb0318419,7939f3ce536510be40923c93a1d3b2cb,,,,,,,,,,,
ローズ・ボディＣＶ,Rhodes Body CV,50040,50040,df7cc7d7d20231bb190579787d98bdd4,2822296af0943d2bdbef5de949d3c263,,,,,,,,,,,
[Unnamed 50041],,50041,50041,,b32bf7838c1ed83688d63f5110561431,,,,,,,,,,,
ローズマリー・ボディ,Rosemary Body,50043,50043,ef8e4593d793f5e22a0c9ab18ef827dd,37637c6092bc4700e7e0ed718dfd998f,,,,,,,,,,,
ローズマリー・ボディＣＶ,Rosemary Body CV,50044,50044,1f09a87d3ea9b51ce80bf9e11acc8683,6ce54e63af07cc1ae2d1af7d7edafe40,,,,,,,,,,,
ローズ・ボディＧＶ,Rhodes Body GV,50045,50045,c9fc53c0dbb36b240568cfd01e1b5b4e,2d7878a3d71fe45721311c788df2d466,,,,,,,,,,,
ファーネン・ボディＣＶ,Farnen Body CV,50050,50050,f5722b49db47d60fe993968bedd1409e,1d20d9e71a2e905f798b1737c115a0a5,,,,,,,,,,,
ファーネン・ボディＧＶ,Farnen Body GV,50051,50051,e08ff544340dcfdf607305d711be2c8f,1c44ec5c71cbb71c8155af3458774f82,,,,,,,,,,,
ランクス・ボディＣＶ,Lanx Body CV,50060,50060,426f691c329b601eded996ffe664142a,39e4a08c2f9be1673e773014b572142a,,,,,,,,,,,
ランクス・ルックス,Lanx Form,50061,50005,199c24b986729f39f7e515e4871361b1,91ad2ea8eac93b750561cfd95003e7b9,,,,,,,,,,,
ランクス・ボディＧＶ,Lanx Body GV,50063,50063,61135569e288aa4c0837e30794968d61,ca09efc2519e7747a845b404eb316108,,,,,,,,,,,
イオニア・ボディＣＶ,Ionia Body CV,50070,50070,3b02b829cad548bd305b9946e4f180cd,0c4ca3f7c2b1ee9b8312cdbaca4f52da,,,,,,,,,,,
イオニア・ボディＧＶ,Ionia Body GV,50072,50072,1cf8cf1ea830891eb8b74759086b2ead,ae5ee167e1f4a205205cf3f23107f7cb,,,,,,,,,,,
イオニア・ルックス,Ionia Form,50073,50006,f3ce2b1599b8c5524885230f81495b93,9ed050a24f0d837b77723fd7c1aa8df1,,,,,,,,,,,
