Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
なし,None,0,0,,,,,,,,,,,,,
,,40000,40000,,,,,,,,,,,,,
ディスタ・アーム,Dista Arms,40001,40001,8e2b8047cd680cdd69d9eb799c9a1898,3dead2b61121aaba88d659b1599768a5,,,,,,,,,,,
ロニア・アーム,Ronia Arms,40002,40002,be5cabd953e2418c05b635df8a50ec9f,fae2d16f9cb6e8d623277d47ada90267,,,,,,,,,,,
ファウマ・アーム,Fauma Arms,40003,40003,5ad8055bc39853e22e69ade313ed14e8,81cb27c99f79e80f62b057c58bc98268,,,,,,,,,,,
ジョーカ・アーム,Joker Arms,40004,40004,5bc5a2677ded2548638584afc9c54d32,b7c6b54c195aea1b2a6ba4759d623eec,,,,,,,,,,,
マギウス・アーム,Magius Arms,40005,40005,4febbf9180f3eacb7d432fcc6cda06ed,eda73bf1722a803bf9f07f108b6ddf90,,,,,,,,,,,
シェリフ・アーム,Sheriff Arms,40006,40006,1ae4004b74c9b7ed8b92d83deb13e5a5,bf2c85a0b44212b4c8ae9d6c53511ec8,,,,,,,,,,,
コロッサス・アーム,Colossus Arms,40007,40007,77558406969ce660d2bb878ab823f761,68db4cfffa6e479a4c0c8dd4863520a3,,,,,,,,,,,
バルドル・アーム,Baldur Arms,40008,40008,c0d41534a5eddc84c5be32c7e5fc61c4,b14464aec02415da8bb425e2b5172938,,,,,,,,,,,
アングリフ・アーム,Angriff Arms,40009,40009,546581a0725e2017f24b2e124ec164ff,e9ff30cd4f6bef84107767cc3404af58,,,,,,,,,,,
メルダー・アーム,Melder Arms,40010,40010,0348d5e6aba42ab467532f438a49f974,58f75af0d61104d5ab7398016416d1c8,,,,,,,,,,,
ディスタ・アームＣＶ,Dista Arms CV,40020,40020,7faae49cb157d4130effcdfe2d86533b,6ac191580652805a1eece916d93ea9eb,,,,,,,,,,,
,,40022,40022,,f5b2083db363aedbd50a1147e63598be,,,,,,,,,,,
ディスタ・アームＧＶ,Dista Arms GV,40023,40023,e1aa9b962d290abdc2465039022ebcef,3388f09036d417a25e9ed3f29566ef58,,,,,,,,,,,
ロニア・アームＣＶ,Ronia Arms CV,40030,40030,4bfb4f9e3200d0a55b9b9fa9f6c097e7,bf0efada32fba732fc9b06ff63e59185,,,,,,,,,,,
,,40031,40031,,e03ed5ab85a4dd829c5772f36ac93bad,,,,,,,,,,,
,,40032,40032,,481d0b0ed5b06610101030c467c76551,,,,,,,,,,,
レギア・アーム,Regia Arms,40033,40033,8c25d9854eeb09898a81e6cfbd2cdccd,e9d7b517b704959fb78d94d39c83a65e,,,,,,,,,,,
レギア・アームＣＶ,Regia Arms CV,40034,40034,117c69db7ea0afd2dedd54fa8bab5c44,1d04b4da5d5f5cb288c4603b9a227008,,,,,,,,,,,
ロニア・アームＧＶ,Ronia Arms GV,40035,40035,0c4537cc394503af59574a2a8e1b947e,948f82b8925a1e41e249935e4ff59980,,,,,,,,,,,
ファウマ・アームＣＶ,Fauma Arms CV,40040,40040,0213b46893e6b5530f00082eaa54d6a3,54377ae6c1e8438643ad11d9a14d4f23,,,,,,,,,,,
,,40042,40042,,1933e6a14b35ac260a9681a6e5b227f5,,,,,,,,,,,
ファウマ・アームＧＶ,Fauma Arms GV,40043,40043,ae3fbdf79e24d368998ce7141b57afde,7c6d919f73ba68047d5c07b36ab6ebef,,,,,,,,,,,
ジョーカ・アームＣＶ,Joker Arms CV,40050,40050,aca1a1f7a3e5db945f3322b40e121911,976ced821a2a5686b659fa263c82cab9,,,,,,,,,,,
ジョーカ・アームＧＶ,Joker Arms GV,40053,40053,cf241f324988ae9b55a2d3cf6bd397bd,c58d9e288586d56cb65d93b19dc5b46d,,,,,,,,,,,
マギウス・アームＣＶ,Magius Arms CV,40060,40060,4999cc1dd70f0965a36a2c1b677d5446,6b604b0d76705f503b52adedaca68be7,,,,,,,,,,,
マギウス・アームＧＶ,Magius Arms GV,40062,40062,ae42dffdbb9295b8c991652b00b47ca6,4bbc05f516d5ed4ddeb5a291eb33fdf4,,,,,,,,,,,
シェリフ・アームＣＶ,Sheriff Arms CV,40070,40070,08f4285996a75a3e79123bbd89590f6d,8f01a8a02e2a16508d3373fc94ad27fe,,,,,,,,,,,
,,40071,40071,,659d685df469acea82161c796c69fa9b,,,,,,,,,,,
コロッサス・アームＣＶ,Colossus Arms CV,40080,40080,3783f2af3fa31b9661fc0720be157767,7a11a1992d3faff57b8c682f71f0fe9a,,,,,,,,,,,
,,40081,40081,,8c7bb4f85d9a0769e82f99c5f9841145,,,,,,,,,,,
コロッサス・アームＧＶ,Colossus Arms GV,40083,40083,aec1f25d8a67c6d078587fb8e3748173,11e70d17a111ab12cee056b128ea4bff,,,,,,,,,,,
バルドル・アームＣＶ,Baldur Arms CV,40090,40090,6afb034e6dcbb1385feb5cb88b7888d6,466ec952d93ec0cdca7312824415a600,,,,,,,,,,,
バルドル・アームＧＶ,Baldur Arms GV,40093,40093,a33ac1c527a786d8d17163cde2a0a0fc,3e0d6b2de571363610f1c9cf28218ad5,,,,,,,,,,,
アングリフ・アームＣＶ,Angriff Arms CV,40100,40100,09430dc425b35e74089b9d782ea2eec3,bc1e7fa03de0e0dd045f6475e6fd0c61,,,,,,,,,,,
,,40101,40101,,4062c8c4260f164ca740bdc8072ba437,,,,,,,,,,,
,,40102,40102,,62836ac88d03fbfd5da4dd6c1d9c0db9,,,,,,,,,,,
アングリフ・アームＧＶ,Angriff Arms GV,40104,40104,0db0229638a0ca3f96a0cf45be3625bc,d3bd5848047306a3382423019499e72a,,,,,,,,,,,
メルダー・アームＣＶ,Melder Arms CV,40110,40110,5ba07e452f77305a534016f729360cfc,f68397a3614f48e35df0094c8928de6d,,,,,,,,,,,
フィルフ・アーム,Fylph Arms,40120,40120,0395c063f93c1541e82c57aa7b06ce57,af66e394f6c007aa020246118bc78129,,,,,,,,,,,
フィルフ・アームＣＶ,Fylph Arms CV,40121,40121,4baeeae82eeae24470be50ea1b1071cf,39007013e9542f004d80f7b540b59eaf,,,,,,,,,,,
フィルフ・アームＧＶ,Fylph Arms GV,40123,40123,97e83975cd3f2e7b8b40f74a753f6a2a,f0b543d18c8cfc3c23ce456e30bdc365,,,,,,,,,,,
ゴウボイド・アーム,Gohvoid Arms,40130,40130,1a11d9be26eb93d5cc637e6596a4853d,84f3ecf4bc64fab9795d996783a9ba50,,,,,,,,,,,
ゴウボイド・アームＣＶ,Gohvoid Arms CV,40131,40131,5db9af9e5953c504e01c219fadc38526,3d8a49bb14d596fa45829f513cda4814,,,,,,,,,,,
ゴウボイド・アームＧＶ,Gohvoid Arms GV,40133,40133,a668c87ad69ca4a11a2556e55367398b,a133421dabfc154a1c37aad268864393,,,,,,,,,,,
アラオ・アーム,Arao Arms,40140,40140,eb80c1b2f433668df449af1f89b42870,04c63554f53a0cdada0239f062ccbef9,,,,,,,,,,,
アラオ・アームＣＶ,Arao Arms CV,40141,40141,247bc482a1bddbebb21064b9669115da,a1e1ebf254bab56cd7a052cae4ba2ac8,,,,,,,,,,,
アラオ・アームＧＶ,Arao Arms GV,40143,40143,851c0a34310383e2e8065842b9fa0ffb,2fffda3ac0cc1c7637dc9761582474a4,,,,,,,,,,,
ベルガ・アーム,Belga Arms,40150,40150,c68b0093035bf80c5e39fbc6b410eae3,1ef310ec39e8452fe9048d17dd0d4925,,,,,,,,,,,
ベルガ・アームＣＶ,Belga Arms CV,40151,40151,ffb64efc55ff2e62d918e27627b1cfe9,fe14cd21772bd84eb7ddb7218af33c3a,,,,,,,,,,,
Ｏフレーム・アーム,O-Frame Arms,40160,40160,4f204a57a18df433ec125a8dbd123a63,165104d7a1efc9419d92b23564fd9119,,,,,,,,,,,
Ｏフレーム・アームＣＶ,O-Frame Arms CV,40161,40161,b9d8c66f946aac0869465f18c7da52d0,1f893e5083d84d09446eaca4d364e8c8,,,,,,,,,,,
Ｏフレーム・アームＧＶ,O-Frame Arms GV,40163,40163,5762675c5af3739c087c0b2c71b711cf,964e5c64ba66d6fe36cb69b3113d033b,,,,,,,,,,,
ヒュリオン・アーム,Furion Arms,40170,40170,08bcebe5e90d202fe1cb4a6204c568f7,37516a968d594e2024ba77439862eeac,,,,,,,,,,,
ヒュリオン・アームＣＶ,Furion Arms CV,40171,40171,9ac2b2427362829c1a17164eabbc5e64,c41fd23ada29cdc95357e83324864758,,,,,,,,,,,
ヒュリオン・アームＧＶ,Furion Arms GV,40173,40173,bf47c0453cd556f6af3af08860ecd1eb,2c3569e0c860b7c1adbe3304d0665d1f,,,,,,,,,,,
ディヴァリースＦ・アーム,Divaliese Frame Arms,40180,40180,7d41c135bc9fc02a02b79c6c8d1b3516,e38da9dcbe40d1a3b3c6571e314cc466,,,,,,,,,,,
ディヴァリースＦ・アームＣＶ,Divaliese Frame Arms CV,40181,40181,02bad523ebf7a2683ff8886b0b503693,288ac2bf1bc592d4775a647fb8b1c079,,,,,,,,,,,
ドレーク・アーム,Drake Arms,40190,40190,70ccb282d1be8e605972eb7f29011e92,80fd28310a3520b8ea2aea0ed56732c0,,,,,,,,,,,
ドレーク・アームＣＶ,Drake Arms CV,40191,40191,a5851ed21044dabf46811c35036f962e,90f8012123cb86054fde93f061f91698,,,,,,,,,,,
ドレーク・アームＧＶ,Drake Arms GV,40193,40193,1ec7b67678fec7d0882c59ae0194e0b2,3e2a922e95c87c560271a0fdb20aa0a3,,,,,,,,,,,
ジャスティスＡ・アーム,Justice Armor Arms,40200,40200,f5a1edef64cd2e0541426209e49f2c7d,b339839e4f10415b35f41c0e1edc4021,,,,,,,,,,,
ジャスティスＡ・アームＣＶ,Justice Armor Arms CV,40201,40201,6dad56cf724f8ebd67c06ba6722f00ce,c21a9f802defeb15ca0d3b9467ad2a6a,,,,,,,,,,,
ディバインＫ・アーム,Divine Kaiser Arms,40210,40210,6405693c5a51471c579d3f1a5ac6abd7,ef8f508099bd23ec2d881265913bd974,,,,,,,,,,,
ディバインＫ・アームＣＶ,Divine Kaiser Arms CV,40211,40211,9f1f2b6d7315db406f4764443bc9d216,cb32de1db6f855775245184d7e3e589f,,,,,,,,,,,
エヴァレット・アーム,Everett Arms,40230,40230,4b8add030a8885a66466dd572e792c0d,f726a4eae64a9d4fa8661450c0c18791,,,,,,,,,,,
エヴァレット・アームＣＶ,Everett Arms CV,40231,40231,c06edbdcb73b8018de0e9f037152957f,b0d13387ee82509b0a1093b8626ac128,,,,,,,,,,,
