Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
,,40000,0,,d5fcd2daa7dfc15d9248de4984c0e1b4,,,,,,,,,,,
ディスタ・ヘッド,Dista Head,40001,0,,3f4b1e437c1da9c083f208b97a4e7344,,,,,,,,,,,
ロニア・ヘッド,Ronia Head,40002,0,,3eea7a2c1ab7e17e703c6d7786fb8a75,,,,,,,,,,,
ファウマ・ヘッド,Fauma Head,40003,0,,c4287f751a6e82d546960dfa612817db,,,,,,,,,,,
ジョーカ・ヘッド,Joker Head,40004,0,,fdb6580b8393e19b17e45c19f154c5db,,,,,,,,,,,
マギウス・ヘッド,Magius Head,40005,0,,624021f215ee29a20ae8d7a20f164c44,,,,,,,,,,,
シェリフ・ヘッド,Sheriff Head,40006,0,,1f164e1af0aa76e79cddb3e4dbaee14a,,,,,,,,,,,
コロッサス・ヘッド,Colossus Head,40007,0,,def9b174859e2ea6702f1093eb32992f,,,,,,,,,,,
バルドル・ヘッド,Baldur Head,40008,0,,4df8ea25059e7ba767d0615967f8838c,,,,,,,,,,,
アングリフ・ヘッド,Angriff Head,40009,0,,063561e072c16109bb7ac8dcd0ce8f56,,,,,,,,,,,
メルダー・ヘッド,Melder Head,40010,0,,4e1009e4328e8bb54123505daecbeb6c,,,,,,,,,,,
ディスタ・ヘッドＣＶ,Dista Head CV,40020,0,,b359afe55b8f888ff0b03c32043d29b1,,,,,,,,,,,
,,40022,0,,e08c0b62fd46cbaeb19c6ac9bb2effa8,,,,,,,,,,,
ディスタ・ヘッドＧＶ,Dista Head GV,40023,0,,e3313f899ee8ce7ed505ade8f8884a99,,,,,,,,,,,
ロニア・ヘッドＣＶ,Ronia Head CV,40030,0,,a29453838eefd7918f4a126635c4d237,,,,,,,,,,,
,,40031,0,,d5213c81c83a040a291398da8a948d98,,,,,,,,,,,
,,40032,0,,e7da52547a5958800640d64157d8423d,,,,,,,,,,,
レギア・ヘッド,Regia Head,40033,0,,55873a194890a10c1c6586169a6c73ac,,,,,,,,,,,
レギア・ヘッドＣＶ,Regia Head CV,40034,0,,08936c8cef8fe42b43ef4028feb85138,,,,,,,,,,,
ロニア・ヘッドＧＶ,Ronia Head GV,40035,0,,9ccf063c6c0f97aae1a54daea1993841,,,,,,,,,,,
ファウマ・ヘッドＣＶ,Fauma Head CV,40040,0,,2040b07c497d4ffe1c9ebdb35e35ab81,,,,,,,,,,,
,,40042,0,,6d88408fd17401c8c4ad4adb3262af99,,,,,,,,,,,
ファウマ・ヘッドＧＶ,Fauma Head GV,40043,0,,4a76f92ecb2731abf534b7c0ed04ab38,,,,,,,,,,,
