Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
なし,None,0,0,74357636f965799bd256587088620dce,bf8ada9903e0bb0861b4a9b0dde9b15a,,,,,,,,,,,
,,10,0,,37ffda9ae917c6810da220f4ac5d78b5,,,,,,,,,,,
フェイスガード 白,FacePaint 1,20,0,512edba761a106ad41325b7179d8f499,59fdf2e1d926f2e72b5f49c313e69af9,,,,,,,,,,,
フェイスガード 灰,FacePaint 2,21,0,a36339803d6dc2dbc3675efa212420a7,cb39353261a4dc31124e1418a3c6baec,,,,,,,,,,,
フェイスガード 黒,FacePaint 3,22,0,ddfa34874a0e41d204781ccdbd340adb,61651a801e663c674e95faf0394f5144,,,,,,,,,,,
鼻ばんそうこう,FacePaint 4,30,0,0dad52c29ba06c420bd3f337f9d4e7c9,17fc4abe479b6df338d94a4c09f26f3e,,,,,,,,,,,
タトゥー,FacePaint 5,40,0,28e6db0fa07646f38a0deb7646f389b1,a42ea9231043c80d387b31649bed2fcb,,,,,,,,,,,
ヒゲ1,FacePaint 6,50,0,45758c3e5758a3b8ed7423d6c5d201d4,bd7b9d8bf3d8e6d0872409746b91383d,,,,,,,,,,,
ヒゲ2,FacePaint 7,60,0,c780853582b3e2e83271c2bb46a6877a,b45f4032d5e868aaccaa5a8ad47224bc,,,,,,,,,,,
隈取,FacePaint 8,70,0,a011dcfb8553ba5b2d3308d2fe432277,b5f5d3765c8f6cd747f24866a8e8995a,,,,,,,,,,,
カモフラージュペイント,FacePaint 9,80,0,4b9355c2a77643aff05fc889d2232bb2,0dd6491d22c25c847536d30787f08966,,,,,,,,,,,
ドクロペイント,FacePaint 10,81,0,862ae30fd5cff2bc2a34795bd9558eb5,8b90a8c46cb83d6a8ca8a01cf9b671d2,,,,,,,,,,,
無精ひげ,FacePaint 11,82,0,7a76e5aad0b312000845ef60ddd06b5c,c4752bbd7bf5d177e2c5a3b77d641e9f,,,,,,,,,,,
プリティーフラワー,FacePaint 12,90,0,5ea4a9b5231e26fe79791266f4a303e6,fe9ebf6127a09fb47b6ddae2b9697940,,,,,,,,,,,
傷跡1,FacePaint 13,100,0,c1831b3f006cb55888a7057bb9e38384,8bf9b56896790905f88a1c5b5c6c5da0,,,,,,,,,,,
傷跡2,FacePaint 14,101,0,4f6d1017907dd195c27a299a35770e8d,111b2b401e51111075a92eb0b9359326,,,,,,,,,,,
傷跡3,FacePaint 15,102,0,dfcc8b667fdfe3f42df83159be9000a9,f8812e51e31c8985bd2c9dd097c1e092,,,,,,,,,,,
傷跡4,FacePaint 16,103,0,272db4425fd570fa3a55f067192f9d38,0e7b42b4f73122db7155b28a3819b5f6,,,,,,,,,,,
傷跡5,FacePaint 17,104,0,24d08fda1f3ecb2906c2bc787430d96f,acb6f4a95d407cd18406d3a8765385e6,,,,,,,,,,,
傷跡6,FacePaint 18,105,0,b62777ece6b617269820a96f1e18f81b,be027c4a38fbfbba717699b743056ba7,,,,,,,,,,,
ファントムＱ・メイク,Phantom Q Makeup,110,0,29fceca97c8928c71ab085ebc7349a65,7adf90735d8242c5674fe265149d75b9,,,,,,,,,,,
白化粧,White Makeup,120,0,7aeb6b0a2cfd5f4104d203529980dc0d,6d199a15549ce7260050aaaf8a2a1920,,,,,,,,,,,
,,130,0,,,,,,,,,,,,,
,,131,0,,0dab354c2c8a80372766269e3475cbc9,,,,,,,,,,,
,,132,0,,7f3d0317562c99c02398e1795f35d7ab,,,,,,,,,,,
ルーサー・タトゥー,Luther Tattoo,133,0,a7a2caf316479dec1e1643261f9a2c56,61d2d895654d0cf94456fb530a161bbc,,,,,,,,,,,
【敗者】タトゥー,Luther the Fallen Tattoo,134,0,eb8cab2835509d3439187c3e71403c00,192e436175738ddca84744d5572c6b59,,,,,,,,,,,
頬紅,Anime Blush,140,0,649af0debc9458234304435d369040ab,0294e340f51a3319177c492241c9c840,,,,,,,,,,,
頬染め,Manga Blush,150,0,a88926b569de1e457db7f2be08de7a9f,82306272addca5ea938a9edb2f29be95,,,,,,,,,,,
ぐるぐるほっぺ,Spiral Cheek Makeup,160,0,1457c0ce028c7ae88d1450c408ce305a,59c985f3483a2b041d99f42737a9e2a2,,,,,,,,,,,
猫ひげペイント黒,Cat Whiskers Paint: Black,170,0,d3e43eac9d85d809ffb468d183027db0,e12b0cb55763baf5c1f595b908aad7c0,,,,,,,,,,,
猫ひげペイント赤,Cat Whiskers Paint: Red,171,0,0b6080f1323127d7a8a5ed292fa9cdb2,1fe481680c02e67dbc296a2e91e8f7ed,,,,,,,,,,,
艶ぼくろＡ,Chin Beauty Mark A,190,0,015f3e783c43320c99f7e2fbad9b6f84,972f049b42d59cf8975665c09fb4618d,,,,,,,,,,,
艶ぼくろＢ,Chin Beauty Mark B,191,0,ea56c32f06698b5ac3e9dd426894075e,9a8d6fa12cbf09e8e514fd20b32be639,,,,,,,,,,,
