Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
,,30000,30000,,6feb279174e0549b5035724521887017,,,,,,,,,,,
ヒューマンベースＦ,Human Base F,30001,30001,24bb695853d171dcf4e8b1bfd17190cf,eecf25b7739777508fb046eb94b32f69,,,,,,cccf4baf6cd8c4a25ad4be2b05862bcf,,,,,
ニューマンベースＦ,Newman Base F,30002,30002,5676389bb5f0400e153dc7e094883f34,c9d06ece855b9e3c3cf771c4c01ab83f,,,,,,cccf4baf6cd8c4a25ad4be2b05862bcf,,,,,
デューマンベースＦ,Deuman Base F,30003,30003,5f0373ec2df693caa63c6e1ef7cc330f,c0854ac879ae27934fdc595e8c5d3353,,,,,,cccf4baf6cd8c4a25ad4be2b05862bcf,,,,,
キャストベースＦ,CAST Base F,30004,30004,7850807e86be7b4561a5b931ab3bc864,28f5bcaec242bee73e0f8cc91d2719da,,,,,,6c1ea932e31d02921fe0342c4eb25c72,,,,,
Human Base F,,30005,30005,,,,,,,,,,,,,
Newman Base F,,30006,30006,,,,,,,,,,,,,
Deuman Base F,,30007,30007,,,,,,,,,,,,,
CAST Base F,,30008,30008,,,,,,,,,,,,,
,,30009,30009,,07341723f6b3e8806608b6af82058ac1,,,,,,,,,,,
ドレッシアオース[Ba],Dressia Oath [Ba],30020,30020,ffdfdc4b0e24b9a150f9061114785ea5,cb7907b991d28d9a6335b2d9e2d55e5d,,,,,,66aba7a74dcbbff0714005ffef647a4c,,,,,
ドレッシアオース影[Ba],Dressia Oath: Shadow [Ba],30021,30020,586a2bdda3828bc1335683e6bdc09b37,cb7907b991d28d9a6335b2d9e2d55e5d,,,,,,,,,,,
ドレッシアオース空[Ba],Dressia Oath: Sky [Ba],30022,30020,2ad0470fc39029a5f5efbc3e8ea84dca,cb7907b991d28d9a6335b2d9e2d55e5d,,,,,,,,,,,
ドレッシアオース紅[Ba],Dressia Oath: Ruby [Ba],30023,30020,d385eeeb48eaff03f6559367906a583c,cb7907b991d28d9a6335b2d9e2d55e5d,,,,,,,,,,,
,,30024,30024,,aa004fc0e2f8920678401bd4df4c2610,,,,,,66aba7a74dcbbff0714005ffef647a4c,,,,,
デニムスカート[Ba],Denim Skirt [Ba],30030,30030,17e0a4031b2a0a4d85189ef030bb20c2,6d851ff871e87ce637ddfb94ad6e4ed6,,,,,,d577bd05602a51776fd8cdb458ff1bb0,,,,,
デニムスカート雪[Ba],Denim Skirt: Snow [Ba],30031,30030,3f43bddc4a950a91c2d16ce8b6430b91,6d851ff871e87ce637ddfb94ad6e4ed6,,,,,,,,,,,
デニムスカート海[Ba],Denim Skirt: Sea [Ba],30032,30030,45624e3b15b9cdcff6ab4269babe2609,6d851ff871e87ce637ddfb94ad6e4ed6,,,,,,,,,,,
デニムスカート影[Ba],Denim Skirt: Shadow [Ba],30033,30030,19f2079f0ddb4dca2964b5b4c2751873,6d851ff871e87ce637ddfb94ad6e4ed6,,,,,,,,,,,
イノセントクラスタ[Ba],Innocent Ensemble [Ba],30040,30040,ac9258e9e91cdb150606b7916959e702,2bc401f350e221218a7771efe6a5cd5b,,,,,,cccf4baf6cd8c4a25ad4be2b05862bcf,,,,,
イノセントクラスタ海[Ba],Innocent Ensemble: Sea [Ba],30041,30040,338487d69f91775eae8cc8babf6b85a1,2bc401f350e221218a7771efe6a5cd5b,,,,,,,,,,,
イノセントクラスタ紅[Ba],Innocent Ensemble: Ruby [Ba],30042,30040,012fbd204a20be3368ca0310ad963849,2bc401f350e221218a7771efe6a5cd5b,,,,,,,,,,,
イノセントクラスタ桜[Ba],Innocent Ensemble: Sakura [Ba],30043,30040,c9f15a2393d83da7bbb909922670a6d4,2bc401f350e221218a7771efe6a5cd5b,,,,,,,,,,,
イノセントクラスタ雪[Ba],Innocent Ensemble: Snow [Ba],30044,30040,3b6cbbca7cc27f0cad190bee10a8bfc0,2bc401f350e221218a7771efe6a5cd5b,,,,,,,,,,,
イノセントクラスタ影[Ba],Innocent Ensemble: Shadow [Ba],30045,30040,86922dcfc7779145a93300e5cfb1d987,2bc401f350e221218a7771efe6a5cd5b,,,,,,,,,,,
ショートパンツ[Ba],Shorts [Ba],30050,30050,49f5866a6cb650bb74e8873771c7171b,7e093209a501971f613b1f71a161d144,,,,,,294702d785b55ddaf3e89fbf79c1717c,,,,,
ショートパンツ桜[Ba],Shorts: Sakura [Ba],30051,30050,ba165294ddddbc965748bda4d1d56a29,7e093209a501971f613b1f71a161d144,,,,,,,,,,,
ショートパンツ空[Ba],Shorts: Sky [Ba],30052,30050,922c50e3094842d2c01a41ab29b37046,7e093209a501971f613b1f71a161d144,,,,,,,,,,,
ショートパンツ雪[Ba],Shorts: Snow [Ba],30053,30050,ce6cf0f2025e5a3029bd3ae4b848192a,7e093209a501971f613b1f71a161d144,,,,,,,,,,,
,,30059,30059,,aea087c8f93d4bcf2d5c0b696072362d,,,,,,294702d785b55ddaf3e89fbf79c1717c,,,,,
,,30060,30060,,1de2e72b8da62418ece0346ab959f1d8,,,,,,aad08d7131b81c78c8c49ee7af4f825c,,,,,
カフェコックコートＦ[Ba],Café Chef Coat F [Ba],30061,30061,7cd33d81a09ef76f230e8fdf3846ded3,404a53c49f2b62f5d542c0cf2f52c35c,,,,,,aad08d7131b81c78c8c49ee7af4f825c,,,,,
カフェコックコートＦ海[Ba],Café Chef Coat F: Sea [Ba],30062,30061,5cbe02f52fb2ac28b2676cf74fe44ea6,404a53c49f2b62f5d542c0cf2f52c35c,,,,,,,,,,,
カフェコックコートＦ紅[Ba],Café Chef Coat F: Ruby [Ba],30063,30061,31ae7c432c11592e71a8098ad96dacae,404a53c49f2b62f5d542c0cf2f52c35c,,,,,,,,,,,
カフェコックコートＦ影[Ba],Café Chef Coat F: Shadow [Ba],30064,30061,5962212e385b22677900eed05f87bfb4,404a53c49f2b62f5d542c0cf2f52c35c,,,,,,,,,,,
,,30070,30070,,6574506e708080f1cb299ae53a7c87aa,,,,,,a8e52eee30cfc4c4ec529877c5e0cade,,,,,
天星学院制服Ｆ[Ba],Celestia Uniform F [Ba],30071,30071,cd2658144684d0e75b8560ce5fc67b59,c772f15160cc1c95bc382d216bd4e0d4,,,,,,a8e52eee30cfc4c4ec529877c5e0cade,,,,,
天星学院制服Ｆ夜[Ba],Celestia Uniform F: Night [Ba],30072,30071,1126dcf4b5da5c567f9957bb0e22fa7e,c772f15160cc1c95bc382d216bd4e0d4,,,,,,,,,,,
