Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
なし,None,10000,0,26ae0c9109ff4cc2abd2e767a6ae8dd0,8fd83d456a57b2c6c64c07f56804de5c,,,,,,,,,,,
日焼け跡,Tan Lines,10002,0,7494451a9783f8ce1e08efc11a9e17aa,455c029919e4b78d9afd8ddd6e7b8cc7,,,,,,,,,,,
ニーソックス,Knee-High Socks,10003,0,7151230d48a34120b53488b9b2d712e5,2d9dba2d42e4957795e9936860e3343c,,,,,,,,,,,
アンダーアーマー,Under Armor,10004,0,68fc54cfcc84ed68fc020d67cd69d087,187f2b8fe1f05c7cc5ad31be1dcdaee3,,,,,,,,,,,
タトゥー,Tattoos,10005,0,c7df66fb94412d6cbad85ce764047777,daf9317dc892eaead5afc1e00b54a396,,,,,,,,,,,
ガーター＆ストッキング,Garter & Stockings,10006,0,d8635d0525a08cefc11a93e3293c21a2,f41c575b0592555c5b5f97170ab86221,,,,,,,,,,,
サイハイソックス黒,Thigh-High Socks: Black,10010,0,ab9a71a5c723681b00eb4c85c8d6220e,2db32070118e9a09032ce95595027c34,,,,,,,,,,,
サイハイソックス赤,Thigh-High Socks: Red,10011,0,fdd6fedfa6bc633594288406092ea310,bc26e72530609f0e6b9ca92053cde8fa,,,,,,,,,,,
サイハイソックス白,Thigh-High Socks: White,10012,0,d8af6bac957098176f40801dd95811af,0b357e523e042979b2a69766ebf39a05,,,,,,,,,,,
スリット入りソックス黒,Slit Knee Socks: Black,10020,0,442c65e5b54cf9ca81b4aa0d96b28b1d,90deb486a2ef6c0910e3b442cc454ad0,,,,,,,,,,,
スリット入りソックス茶,Slit Knee Socks: Brown,10021,0,0e7fcc262cd383a7b9fac22dc719bac5,568209041c2e6cd527884403e2624872,,,,,,,,,,,
スリット入りソックス白,Slit Knee Socks: White,10022,0,7493a6c6fdc754bdae19c3ec0eabbdeb,9d978235cb3a061b3a53c195b1e1a3ca,,,,,,,,,,,
レース付ニーソックス黒,Laced Knee Socks: Black,10030,0,dee7b698eb4479a085402b862de17092,a9dcc5befa69ce1bb180243998a14487,,,,,,,,,,,
レース付ニーソックス桃,Laced Knee Socks: Pink,10031,0,c5ea3835b219066c1e14aeb603ebcc6c,06756e3340ea6db60fe399944a745637,,,,,,,,,,,
レース付ニーソックス白,Laced Knee Socks: White,10032,0,db939e0aad7a82cb66dd20a38b85b3da,f139aecc74162f9ecc381aef67eeca30,,,,,,,,,,,
リボンニーソックス黒,Ribbon Knee Socks: Black,10040,0,26d6eca84f1334a229877655dad134cc,72a8a965ed3e3680a20d6fa885114352,,,,,,,,,,,
,,10041,0,,,,,,,,,,,,,
リボンニーソックス白,Ribbon Knee Socks: White,10042,0,923b5f149b1418cdf734b7b441973acd,a0f489f3ab0678b790c049318f9be2d0,,,,,,,,,,,
,,10050,0,,,,,,,,,,,,,
,,10051,0,,,,,,,,,,,,,
,,10052,0,,,,,,,,,,,,,
,,10060,0,,,,,,,,,,,,,
,,10070,0,,,,,,,,,,,,,
,,10080,0,,,,,,,,,,,,,
,,10090,0,,,,,,,,,,,,,
,,10100,0,,,,,,,,,,,,,
,,10110,0,,,,,,,,,,,,,
,,10120,0,,,,,,,,,,,,,
,,10130,0,,,,,,,,,,,,,
,,10131,0,,,,,,,,,,,,,
,,10132,0,,,,,,,,,,,,,
スリットソックス＆手袋黒,Slit Socks & Gloves: Black,10140,0,c4d1eb2c122331b8acdaa17128abf95e,2977c6dc7cd9de41fc3f92c73dd8138f,,,,,,,,,,,
スリットソックス＆手袋茶,Slit Socks & Gloves: Brown,10141,0,6469e1117e53254cb26138fcb6a1273c,4e875731b0a3153ae90b1751772bfe72,,,,,,,,,,,
スリットソックス＆手袋白,Slit Socks & Gloves: White,10142,0,5f39c718165f12063ab2435d5e8b8598,c14fb46f2d6dfc91c5012b51da4d4dcc,,,,,,,,,,,
レース付ソックス＆手袋黒,Laced Socks & Gloves: Black,10150,0,d59165beb45c0b8f64688db99986eaaa,f27abe4543a740891194fb279c69dc67,,,,,,,,,,,
