Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
インナー,,10001,10001,9e5913bd7906008b65f5317bdf8d4a04,c566b14bac9935ee2801acb2d8aa73c0,,,,,,,,,,,
ハニージャケット,Honey Jacket,10002,10002,b654326ecada1645fadc202b380635be,68029c42162cae4196ec26509b14f6f0,,,,,,a8e52eee30cfc4c4ec529877c5e0cade,,,,,
バリスティックコート,Ballistic Coat,10003,10003,0c0c6e42035b4b867c3adc4def2a14f9,6e08ea9ac99b43399f9e03baa5511551,,,,,,cf99b2ce3a3a30a13542eeae45015e7e,,,,,
タイガーピアス,Piercing Tiger,10004,10004,3e6e5a2f43644f8cf69395dcaedc919d,ddc80d1381e4d8d95e7e7f92a6b5d994,,,,,,67b237d14dbe38b4382204aaa6a48347,,,,,
リトルプリム,Little Prim,10005,10005,66fc654cbe281297b41b4093f418d0ba,0973c0da56dc83f97b2dd70337d53cc3,,,,,,6c1ea932e31d02921fe0342c4eb25c72,,,,,
キャンディークラウン,Candy Crown,10006,10006,13362e4871f3f0f5a8810979d5f6fd12,31652373cc84d35ce70b8e9fd5ca52d9,,,,,,294702d785b55ddaf3e89fbf79c1717c,,,,,
ハートブレイカー,Heartbreaker,10007,10007,a2b04ed9691c9ee1caee707691835d27,6320c340517a079063a7a31e840a991e,,,,,,8ee95f13da9e3f49c47b4588b2b4ad95,,,,,
ツキノユズリハ,Tsukino Yuzuriha,10008,10008,33c6eeb29bf32e17f3c951cf8905866c,8da3cd92eff409ee411f2f6a6920c9ae,,,,,,cccf4baf6cd8c4a25ad4be2b05862bcf,,,,,
エクエスティオー,Equestior,10009,10009,524053ba06fcd077bcd620e67d37321a,ab891ed7a77a114d828767f35b95bd92,,,,,,8ee95f13da9e3f49c47b4588b2b4ad95,,,,,
[Unnamed 10010],,10010,10010,,,,,,,,d577bd05602a51776fd8cdb458ff1bb0,,,,,
ローゼントライム,Rosen Traum,10011,10011,3e0e3fc657acb378ab8501973b8f0580,f80b0a1869112e2cdd9d4648607428de,,,,,,9aa3e134becd178daa6f957907f5fad3,,,,,
リフラ・ビスカナ,Rifra Biscana,10012,10012,21f9d5a163d975354278035e77752a98,4c90a7fb17528229ab8318668e817310,,,,,,cccf4baf6cd8c4a25ad4be2b05862bcf,,,,,
フィーリングローブ,Fylling Robe,10013,10013,5e1edf062eb2fc437182088340969319,3c90a74d14ba433022afe3c0a876a508,,,,,,fc4d17884c40cb2e67d81f2c8475752f,,,,,
ネイバークォーツ,Quartz Verge,10014,10014,5bd527835507166671619a599c76735b,4c2d947ebce8474ff4e3700c0459f683,,,,,,64bd2fb66383578295cd7ae2612ba424,,,,,
