Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
,,30000,30000,,ff5e39b6209621772efde1ca30872184,,,,,,,,,,,
ヒューマンインナーＦ,Human Inner F,30001,30001,f352080f5f0b84f954b535830d6add7e,cef171716ee56571e61bbbb25d6a787f,,,,,,,,,,,
ニューマンインナーＦ,Newman Inner F,30002,30002,975df69643540e483c892d1e291187c1,7b89f911264b77dfbfbe868c04e28320,,,,,,,,,,,
デューマンインナーＦ,Deuman Inner F,30003,30003,29301d210b71c6fdc45f0d577a1a2935,0fbb3fb4dec4d6643971318d1691cba7,,,,,,,,,,,
キャストインナーＦ,CAST Inner F,30004,30004,cf393bc37d1e508dfaf5649ecacd4154,5dc426dcf649bec1cbf9a5a181f40f16,,,,,,,,,,,
スマートインナーＦ,Smart Innerwear F,30005,30005,ab44fef0df451bb2f9ed5f8707f69d54,fcda0a767217bfb594540040e37679d6,,,,,,,,,,,
Newman Innerwear F,,30006,30006,,,,,,,,,,,,,
Deuman Innerwear F,,30007,30007,,,,,,,,,,,,,
CAST Innerwear F,,30008,30008,,,,,,,,,,,,,
,,30009,30009,,2cd797fa6d5c90cc56e43db466402b6d,,,,,,,,,,,
ドレッシアオース[In],Dressia Oath [In],30020,30020,73fc51e86da7cf4e7165dd1663ba58cc,f347ff39a3372d5fa3360786ec2d5e1a,,,,,,,,,,,
ドレッシアオース影[In],Dressia Oath: Shadow [In],30021,30020,b4ee7203ef5791c9ef22cb5bb0580f79,f347ff39a3372d5fa3360786ec2d5e1a,,,,,,,,,,,
ドレッシアオース空[In],Dressia Oath: Sky [In],30022,30020,8cc9f9e1be0a3edbfe7613189aeee90d,f347ff39a3372d5fa3360786ec2d5e1a,,,,,,,,,,,
ドレッシアオース雪[In],Dressia Oath: Snow [In],30023,30020,fc11ba13d0d2c4dbb506ce67ae354522,f347ff39a3372d5fa3360786ec2d5e1a,,,,,,,,,,,
レース１[In],Lace 1 [In],30030,30030,a8ef8f1872246b01569c4826d79e5e83,7860b4672f25099274b631c912e133da,,,,,,,,,,,
レース１空[In],Lace 1: Sky [In],30031,30030,249d48df6036cfdbcff9a5091e8b82de,7860b4672f25099274b631c912e133da,,,,,,,,,,,
レース１影[In],Lace 1: Shadow [In],30032,30030,92b1111a8c18ba92b5877f5b00b93b1f,7860b4672f25099274b631c912e133da,,,,,,,,,,,
レース１桜[In],Lace 1: Sakura [In],30033,30030,593b44743e4cdc064a91951a8981347c,7860b4672f25099274b631c912e133da,,,,,,,,,,,
イノセントクラスタ[In],Innocent Ensemble [In],30040,30040,2f6ff5b1fafbd8333d60efc583de7a1b,3c74e52aa9b02bb66ac1520308c78aa4,,,,,,,,,,,
イノセントクラスタ海[In],Innocent Ensemble: Sea [In],30041,30040,64cc9c20795773716691638feeb871b5,3c74e52aa9b02bb66ac1520308c78aa4,,,,,,,,,,,
イノセントクラスタ紅[In],Innocent Ensemble: Ruby [In],30042,30040,8de3891e9050ae62e0a10e976c87f4d6,3c74e52aa9b02bb66ac1520308c78aa4,,,,,,,,,,,
