Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
なし,,30000,30000,,68b3430ca05009282d1386c284d06d3e,,,,,,,,,,,
[Unnamed 30001],,30001,30001,,f355014cc0ed72ec62b53d797ffc682d,,,,,,,,,,,
[Unnamed 30002],,30002,30002,,43d146a57dde673a38cdeb5b35b7403a,,,,,,,,,,,
[Unnamed 30003],,30003,30003,,3a5401e97275d848a338c23fed50a92b,,,,,,,,,,,
[Unnamed 30004],,30004,30004,,5d64120b3173a8c59949b2fbb6615c0b,,,,,,,,,,,
[Unnamed 30005],,30005,30005,,1e192ccb08280a7d49b46583efd8c277,,,,,,,,,,,
[Unnamed 30006],,30006,30006,,035e08b3848bab7bed98c50f9e490fbc,,,,,,,,,,,
[Unnamed 30007],,30007,30007,,b29f9bf6e7d532e007b47e2b80f02d57,,,,,,,,,,,
[Unnamed 30008],,30008,30008,,d2726c1b74641a7e3c7085e4f377e12b,,,,,,,,,,,
ドレッシアオース[Ou],Dressia Oath [Ou],30020,30020,afff45a3f6b9cdac9b1660e8677f8efe,15d81fa72f64f6a1f3f929a8e40eae47,,,,,,,,,,,
[Unnamed 30024],,30024,30024,,d4cc65c9fbb98c44cbc10be1b1f932ce,,,,,,,,,,,
ボアジャケット[Ou],Boa Jacket [Ou],30030,30030,55cac54a8627a238b15dd183731abb3e,01b86a056aeebe33a729855f64f4a105,,,,,,,,,,,
イノセントクラスタ[Ou],Innocent Ensemble [Ou],30040,30040,8989f0c92753d001ce29627ed8b05791,f1c205d86209f69973e81150f072772e,,,,,,,,,,,
ウールコート[Ou],Wool Coat [Ou],30050,30050,b5896efd9762204a034ff4a79ff7e586,df738b9f10ce43e54f2e08156da79c8f,,,,,,,,,,,
ネイバークォーツ[Ou],Quartz Verge [Ou],30080,30080,8836e3481a81b434e50e1f774049fafe,dcc67cada81d2a979df1b4896435bba0,,,,,,,,,,,
[Unnamed 30100],,30100,30100,,cf615f07654181c4faf8db5783643977,,,,,,,,,,,
オフショルダーニット[Ou],Off-shoulder Knit [Ou],30101,30101,7340775087064969aff38c1cf4d1ccea,9911deb6079b66f7e5688f98246f917a,,,,,,,,,,,
[Unnamed 30110],,30110,30110,,c2ec5dd8c5e70e06b2ed296a9778dad4,,,,,,,,,,,
[Unnamed 30120],,30120,30120,,5b1bcc776b05b57e6168caed43e7a39e,,,,,,,,,,,
フロンティアリード[Ou],Frontier Lead [Ou],30121,30121,87eac4925867133b3f51e77fa0e24b98,bc4ece9f13c833474d07a73399b8f56a,,,,,,,,,,,
[Unnamed 30128],,30128,30128,,af805e232820642936de86f0e0966a55,,,,,,,,,,90e4b9fe672267812e1201d9601c8087,
[Unnamed 30130],,30130,30130,,cd199967f387206516407ebc7958433a,,,,,,,,,,,
ショートジャケット[Ou],Short Jacket [Ou],30131,30131,fe0817ca18fe25f1570a661b3c03e462,93cdd1d64895c0249706fea361354e48,,,,,,,,,,,
[Unnamed 30140],,30140,30140,,fa54a38941676720458ddf97eddefe18,,,,,,,,,,,
トリリアムマリー[Ou],Trillium Marie [Ou],30141,30141,5cad90c69816a4fc9384aa3511537765,f4c903661f6f7889fe2911af8023eac3,,,,,,,,,,,
[Unnamed 30149],,30149,30149,,f9f6669bbf800165e6ccde7ef3da7a93,,,,,,,,,,,
[Unnamed 30150],,30150,30150,,beaf5767b2d6b6ef836efecb2295824d,,,,,,,,,,,
[Unnamed 30190],,30190,30190,,8f00e96473945cfae8d4808ca2bbdb97,,,,,,,,,,,
ファニーパーカー[Ou],Cute Hoodie [Ou],30191,30191,eafc82c600e5dee0b91f91fa89a56241,edc7ca4446c54ae3ce98eebdd9d5fd38,,,,,,,,,,,
レイディタッカー[Ou],Lady Tacker [Ou],30210,30210,3eb4afdf7bfa1b951598b74f94ae5bf9,05554cb94f2d539b12ddfd980e6b3ad6,,,,,,,,,,,
Lady Tacker [Ou] 4,,30213,30213,,,,,,,,,,,,,
ラッケージベスト[Ou],Ruckage Vest [Ou],30220,30220,ddca96d2b009c9ab9cb4a8768af3f405,a83d2a0595ebf7191922f946ac80fbdf,,,,,,,,,,,
Ruckage Vest [Ou] 3,,30222,30222,,,,,,,,,,,,,
Ruckage Vest [Ou] 4,,30223,30223,,,,,,,,,,,,,
[Unnamed 30249],,30249,30249,,572952330fc557e606ab990f7fea11a3,,,,,,,,,,,
ぶかぶかＴシャツＦ[Ou],Women's Baggy T Shirt [Ou],30260,30260,3bcfe01c3d78b92479e48d48e04387f2,5930da006ae48385ca71c3166606ba4a,,,,,,,,,,,
ウィスタフロウ[Ou],Vista Flow [Ou],30270,30270,fe419089643a255e58eb6e9251cd4da3,64a6ec561f1fa12b64a93ca37119b316,,,,,,,,,,,
Viola Flow [Ou] 3,,30272,30272,,,,,,,,,,,,,
Viola Flow [Ou] 4,,30273,30273,,,,,,,,,,,,,
[Unnamed 30279],,30279,30279,,2bc39d31df6a653f30165fb0cb3a856a,,,,,,,,,,,
ニットダッフルＦ[Ou],Women's Knit Duffle Coat [Ou],30280,30280,bdc14cd16f13c0df28e481bddb71ff69,9e6fd2b31322151a2c74f94f1b8f3d2e,,,,,,,,,,,
カシミヤカーディガン[Ou],Cashmere Cardigan [Ou],30290,30290,a873c9eeec13c0de2c5a2ac319f45770,3ec7132e7c0c75a1527edcaafb12f01f,,,,,,,,,,,
ロングカーディガン[Ou],Long Cardigan [Ou],30310,30310,e4f5b30dc32bfe176aec59f0456ebef6,529181b70b68e5c59277b602c47c792f,,,,,,,,,,,
Long Cardigan [Ou] 2,,30311,30311,,,,,,,,,,,,,
Long Cardigan [Ou] 3,,30312,30312,,,,,,,,,,,,,
Long Cardigan [Ou] 4,,30313,30313,,,,,,,,,,,,,
リーヴァスワロー[Ou],Reaver Swallow [Ou],30320,30320,3105faa0e68320ca31915337e3987c90,84300a824d53e62098cd9a6b41ce889c,,,,,,,,,,,
Reaver Swallow [Ou] 3,,30322,30322,,,,,,,,,,,,,
Reaver Swallow [Ou] 4,,30323,30323,,,,,,,,,,,,,
フリルパーカー[Ou],Frilled Hoodie [Ou],30370,30370,468a2b029b8ea038d0e64a3df8907f37,51f4b1840faceaafa01a69a69e4246b4,,,,,,,,,,,
Frilled Hoodie [Ou] 2,,30371,30371,,,,,,,,,,,,,
Frilled Hoodie [Ou] 3,,30372,30372,,,,,,,,,,,,,
Frilled Hoodie [Ou] 4,,30373,30373,,,,,,,,,,,,,
ノーヴィカッツェ[Ou],Novi Katze [Ou],30380,30380,a4c04df88009f1bc880499a6dc5e925d,126028ffcf0b3552cd9998f8b2309a84,,,,,,,,,,,
[Unnamed 30399],,30399,30399,,693144e63f4d90ec46f290b9f51a5910,,,,,,,,,,,
[Unnamed 30400],,30400,30400,,053385b533a1acc2dc8b15132ad2ddcf,,,,,,,,,,,
ウィオラフロウ[Ou],Viola Flow [Ou],30410,30410,bd2bed455e9a3f29b4eb6f1010bf8f34,e9dfebc73eaccda2cab428504a6c5a7e,,,,,,,,,,,
[Unnamed 30419],,30419,30419,,db1dfbd547f2fe75c25ce8a9f96586b1,,,,,,,,,,,
[Unnamed 30449],,30449,30449,,a477cd12c0a6035b0f3823d57137675b,,,,,,,,,,,
カブキカミトキ[Ou],Kabuki Thunderstroke [Ou],30470,30470,8c188a469516fc9fbac8bb543d2713b5,6f22d316174b82225d1db028d1d5a0aa,,,,,,,,,,,
[Unnamed 30509],,30509,30509,,8014e90e213c7bb7663975e8b2156183,,,,,,,,,,,
レフィーネアトリス[Ou],Lafinne Atrice [Ou],30520,30520,8e57d318bdb0029d5639b40a22e82a46,a29f0189df0ff401b9332efde4bc6760,,,,,,,,,,,
カンナギツバキ[Ou],Shrine Garb [Ou],30530,30530,8c6d12f8f04f41f1bde0ed5ca3001c3b,662cedfa9cbf7605578a6817a8bac64d,,,,,,,,,,,
リブルガール[Ou],Libre Girl [Ou],30540,30540,1e446c1597023f2c9f6b2663ca75cde8,18bd96bef3daf0393f37897f3fa0303f,,,,,,,,,,,
Libre Girl 3 [Ou],,30542,30542,,,,,,,,,,,,,
Libre Girl 4 [Ou],,30543,30543,,,,,,,,,,,,,
[Unnamed 30559],,30559,30559,,,,,,,,,,,,,
前結び半袖シャツ[Ou],Tied Short Sleeve Shirt [Ou],30560,30560,f72204f2fb5134d89721e3eac727df68,9661b0013c2bf168c30036a9500863b0,,,,,,,,,,,
Tied Short Sleeve Shirt 2[Ou],,30561,30561,,,,,,,,,,,,,
Tied Short Sleeve Shirt 3[Ou],,30562,30562,,,,,,,,,,,,,
Tied Short Sleeve Shirt 4 [Ou],,30563,30563,,,,,,,,,,,,,
[Unnamed 30570],,30570,30570,,a383fdf45dadc793436acc2a1967c973,,,,,,,,,,,
[Unnamed 30571],,30571,30571,,6ace879dce9961c115473797fb3ebd03,,,,,,,,,,,
[Unnamed 30572],,30572,30572,,dd280d80a28519f65e2a1e8efc9136d7,,,,,,,,,,,
[Unnamed 30599],,30599,30599,,6a523943db19980f4745f06b7e5de724,,,,,,,,,,,
ラボコートＦ[Ou],Lab Coat F [Ou],30610,30610,d98aecace0b5df45002440e700ca8ee0,2f60407790587b44cc46f89fd690f3b9,,,,,,,,,,,
旅館「仁羽屋」羽織Ｆ[Ou],Niwaya Inn's Haori F [Ou],30650,30650,cdfc4ad73fda1eb2b680c62603fea9a3,970fc2f22acbf9c886c318a291d77869,,,,,,,,,,,
Hot Spring Yukata Haori F [Ou] 2,,30651,30651,,,,,,,,,,,,,
Hot Spring Yukata Haori F [Ou] 3,,30652,30652,,,,,,,,,,,,,
Hot Spring Yukata Haori F [Ou] 4,,30653,30653,,,,,,,,,,,,,
ドレッシアオース影[Ou],Dressia Oath: Shadow [Ou],30660,30660,26b2858b8fb3871c974eba9fe0a27248,74ebfb51d9d8ba3d962ffb405576de63,,,,,,,,,,,
Dressia Oath [Ou] T22,,30661,30280,,9e6fd2b31322151a2c74f94f1b8f3d2e,,,,,,,,,,,
Dressia Oath [Ou] T23,,30662,30662,,,,,,,,,,,,,
Dressia Oath [Ou] T24,,30663,30663,,,,,,,,,,,,,
ヘルガ・レプカ[Ou],Helga Replica [Ou],30690,30690,a567c6a4914f3d730bdf0faa212d7100,c44f6323cbdf6a819a202f9a5d542240,,,,,,,,,,,
メルティクリスマス[Ou],Melty Christmas [Ou],30710,30710,dcc446f2f7b062abf5805e8d817c000a,ced9513f60df5974685f99ebfca802fe,,,,,,,,,,,
デニムジャケット[Ou],Denim Jacket [Ou],30720,30720,41dd55e03c6f954afa6317af961a418b,0d7862200e3358cd4aad61059e0d8416,,,,,,,,,,,
メルレットカリーナ[Ou],Merlett Carina [Ou],30730,30730,83372a2c769741b0a7e6ee616bb59894,b45000f13cb880323eab7ca9ec45451d,,,,,,,,,,,
フロンティアリード雪[Ou],Frontier Lead: Snow [Ou],30740,30740,42f3f8de013bf0fc0dc3e45e16d5fb33,0f6051e08cb3064f9af8ed623d36433f,,,,,,,,,,,
アークス祭２０１６シャツＦ[Ou],,30760,30760,bac3e75e286757d8907f628d13044bfd,5368c001910423d40a5a9d77ec324c81,,,,,,,,,,,
アベントレイス[Ou],Avent Lace [Ou],30770,30770,bdcf1f36c80b01dc5aa76d9ea1d34b03,826971d41cec5dd3e97fb5306d3133c8,,,,,,,,,,,
シャイニーアイドル[Ou],Radiant Songstress [Ou],30780,30780,497d86f22165a19c347eea8ec6b967ad,a1811e64db34b88b7a73162fe8431142,,,,,,,,,,,
[Unnamed 30809],,30809,30809,,6aa709b7a191b12d8dbbb64d282913bb,,,,,,,,,,,
ラッケージベスト影[Ou],Ruckage Vest: Shadow [Ou],30810,30810,affe26c7806e9b53545248a49bc50c61,a01c5d14087f2f2e03ebbe0028269c7b,,,,,,,,,,,
レイディタッカー紅[Ou],Lady Tacker: Ruby [Ou],30820,30820,d9add8e0fe9fb0263a9f9de44f719423,728316bc51a08f0a6b62486604ef6887,,,,,,,,,,,
フォージドレス[Ou],Forge Dress [Ou],30830,30830,5998943ab9ca88fd470bf91d933dc2cf,a76e6b31cc51753592f8d52acd8902b7,,,,,,,,,,,
フロワガロウズＦ[Ou],Froid Gallows F [Ou],30840,30840,18c305b9e8ae06b5f1caaf4e7c66d3c2,54a8cf39d161ff2cde9b9ab24ff8fda0,,,,,,,,,,,
宵咲華乙女[Ou],Blooming Maiden [Ou],30850,30850,ca54ea03c7feeff970d00458076a6f6c,556a917379548f6c646fbfd84d5a0b71,,,,,,,,,,,
[Unnamed 30869],,30869,30869,,77a70c35569af2016c90acdbb4a9d02b,,,,,,,,,,,
