Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
,,0,0,,,,,,,,,,,,,
,,20000,20000,,80ed6f8a042c550e46fb7c3383db6a63,,,,,,,,,,,
ヒューマンベースＭ,Human Basewear M,20001,20001,f42375cd53e83c44f85d5270e930403d,f84b394934e2892a0d694f3210bac09a,,,,,,8f1c93b4f9c6073b354484ec1faf3493,,,,,
ニューマンベースＭ,Newman Basewear M,20002,20002,413ca6ece388dbe91847951e7fdfd207,7d51e4c424ad72c599565ea2378e2570,,,,,,8f1c93b4f9c6073b354484ec1faf3493,,,,,
デューマンベースＭ,Deuman Basewear M,20003,20003,1d04bdbd6b73489f4f55bbbeeeec663b,68f04d674a4f845e72d900bdc3c25b3e,,,,,,8f1c93b4f9c6073b354484ec1faf3493,,,,,
キャストベースＭ,CAST Basewear M,20004,20004,5f6f0353349fd4e5208dd874788936e0,f589909220147d3bfefd78d955503803,,,,,,5fb06cfccfdd5f8c5b61e1ff1529d9a6,,,,,
Human Basewear M,,20005,20005,,,,,,,,,,,,,
Newman Basewear M,,20006,20006,,,,,,,,,,,,,
Deuman Basewear M,,20007,20007,,,,,,,,,,,,,
CAST Basewear M,,20008,20008,,,,,,,,,,,,,
,,20009,20009,,86215ff55e7b209b2c560cacadf0e8b2,,,,,,,,,,,
,,20020,20020,,1aaa4223d2147f8e96de99ef56c9d862,,,,,,c1211982ac1b547053ed1012be982e84,,,,,
リチュアルクロース[Ba],Ritual Clothes [Ba],20021,20021,92097a7c7aaf7476c8621745fda43a08,c3b612a734df86e42523704c82a2858d,,,,,,c1211982ac1b547053ed1012be982e84,,,,,
リチュアルクロース夜[Ba],Ritual Clothes: Night [Ba],20022,20021,8ba7d115e4a8faef4fe224fcfcf32eda,c3b612a734df86e42523704c82a2858d,,,,,,,,,,,
リチュアルクロース鋼[Ba],Ritual Clothes: Steel [Ba],20023,20021,1688ab889b5cba7bebe71f8cb251f6b0,c3b612a734df86e42523704c82a2858d,,,,,,,,,,,
リチュアルクロース紅[Ba],Ritual Clothes: Ruby [Ba],20024,20021,d3a9210f9432c82086401c38e317e1c4,c3b612a734df86e42523704c82a2858d,,,,,,,,,,,
,,20030,20030,,456732bfcf0abc73de2d272c8d2c306f,,,,,,cd11cf77827b7d82ce724b933479b11d,,,,,
フラグメントクラウン[Ba],Royal Remnants [Ba],20031,20031,56943c5261938fc10ddaf00a15dce33b,ec25a12ce0d2de6bfd32634854aca86a,,,,,,cd11cf77827b7d82ce724b933479b11d,,,,,
フラグメントクラウン紅[Ba],Royal Remnants: Ruby [Ba],20032,20031,f32a1e6e8e51ce1b039e76f4a8102c7c,ec25a12ce0d2de6bfd32634854aca86a,,,,,,,,,,,
フラグメントクラウン雪[Ba],Royal Remnants: Snow [Ba],20033,20031,493d01d25d7b72c1c16c3b83b3b00bde,ec25a12ce0d2de6bfd32634854aca86a,,,,,,,,,,,
フラグメントクラウン影[Ba],Royal Remnants: Shadow [Ba],20034,20031,f1f98a064b96b0a0334966486ffce35d,ec25a12ce0d2de6bfd32634854aca86a,,,,,,,,,,,
ラフジーンズ[Ba],Rough Jeans [Ba],20040,20040,fc99bbe0fba0c3060829e7d6a796fb74,2675fbe380b830bc1e4a10d3acc6f7f5,,,,,,8fcef01c40dcac33362e489813e558e6,,,,,
ラフジーンズ雪[Ba],Rough Jeans: Snow [Ba],20041,20040,9e22fad35859527ad47e45a023a970a1,2675fbe380b830bc1e4a10d3acc6f7f5,,,,,,,,,,,
