Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
インナー,,1,1,c9e3f9c14bd87560a6eaa2ecf29367ad,84aac229b62ac1cdc13e67c12258da2d,,,,,,,,,,,
フロンティアウィング,Frontier Wing,3,3,aab99b5b5e3b7042836234c04b0ef597,0c38572ccbcd5aed72dfbda4b7eb1fe3,,,,,,e386d0c6cd94bc6f27cf3d218d801a56,,,,,
ヘヴィスクード,Heavy Scudo,4,4,ed0459050bd30d6c682ff402f9bbcbcc,256a0ea4b0c5f1ae3d533d828e34943c,,,,,,02702314f3a0ef0861eb6188cfe23e9e,,,,,
アドヴェントス,Adventos,5,5,fad3e4091bd791ef33553c28ad881523,224e9292d616313307d4aa88403cf9dc,,,,,,8f1c93b4f9c6073b354484ec1faf3493,,,,,
ダイガ・ビッゲス,Daiga Bigges,6,6,0d1d55c0d79ddde0c5aa1bcb9d5a4cfb,cd2a7056b87fc416824861959a9be3fc,,,,,,8f1c93b4f9c6073b354484ec1faf3493,,,,,
イロハフブキ,Iroha Fubuki,7,7,7249bfed874d614a9605c78a39a3206e,30c0cc35bfdbd2c7e68bf7f62f3e0b2a,,,,,,d727b4c40bdaa8902814c7f2d2c2c089,,,,,
ヘイズソーサラー,Haze Sorcerer,8,8,010f978be144765ddfc9519d3d4a99f8,4f412cb05a65367560bb6f5fa8d4f330,,,,,,8fcef01c40dcac33362e489813e558e6,,,,,
クローズクォーター,Close Quarters,9,9,6febee9032cc26219820454453e9272a,6d0401d2961bfdec8c64c7df40ecf7b1,,,,,,e386d0c6cd94bc6f27cf3d218d801a56,,,,,
シャープオーダー,Stylish Commission,10,10,0a29834a075f98cc6f5ba47ed85ccd75,5573689ab80d10b77b1c86c44a23fe58,,,,,,bb249483bbd959598602194c819c0077,,,,,
ブリッツエース,Blitz Ace,11,11,8383897b92ad3a48c38b7753e4b31f7f,dba1acbb104e06fb52aa187846842777,,,,,,0215a6dea63ec81b66a5034cd0f071ee,,,,,
ヘレティックロード,Heretic Lord,12,12,0c71fe306baa73f028d53a6e9add77d5,de5ed917f015562da9188e23bdc849f0,,,,,,406f6ae547b88ef4eb810c62243fc16e,,,,,
センシアスコート,Sensius Coat,13,13,b642ef17a9169908aaec00e98a18afd7,62a02d83aafc6ec09b494df9c23b292b,,,,,,d708e64c4f43dfe42191e00534b77c19,,,,,
[Unnamed 14],,14,14,,886c0f1c4c16ad2170d12be0a5524ee7,,,,,,42283c57187e58faa0911e911a7968d3,,,,,
レーベンシルト,Raven Schild,15,15,143d3c7bb014bc708b6091360cbf258c,393261c1dc17e267035bee2d6a2941cd,,,,,,42b100238b4c2e2503e050120ae8c0ef,,,,,
ヴァイゼクルーン,Weise Crune,16,16,944689d2b8fb7e008a2b5eece6e541bd,d251a5d339bf1a458be6358e0cdce297,,,,,,5fb06cfccfdd5f8c5b61e1ff1529d9a6,,,,,
ジャン・ドゥ,Jean Du,17,17,2faf0d455974901cd81a20ddd2f92bc5,b7fb24ea54b28df682b3898e00c25a4e,,,,,,fd93a88051c89670664b2381fcba5bc0,,,,,
スライトスーツ,Civilian's Suit,18,18,8ab373760087fe730aad02a354e20aaf,b78660b4c7c0addf3f46209c54fc681a,,,,,,cd11cf77827b7d82ce724b933479b11d,,,,,
ブルースライトスーツ,Civilian's Suit: Blue,19,19,a2337ad5472fa372440979f71fc4fbf9,21437d0f2def17f2e42e3fcbae6c5882,,,,,,cd11cf77827b7d82ce724b933479b11d,,,,,
グリーンスライトスーツ,Civilian's Suit: Green,20,20,ccc86f1efda0f2c7f519beada0526827,510650c47b46ffb130f16039810bb9f2,,,,,,cd11cf77827b7d82ce724b933479b11d,,,,,
レッドスライトスーツ,Civilian's Suit: Red,21,21,59cfa1a32269da00fdf6488169e49cc3,842ac5d27cde1ba284958d7d46bd403d,,,,,,cd11cf77827b7d82ce724b933479b11d,,,,,
ホワイトスライトスーツ,Civilian's Suit: White,22,22,2a8542b78172b33f2e0f34423019cdee,0458b4142b77566003d517059cd08a20,,,,,,cd11cf77827b7d82ce724b933479b11d,,,,,
ラッピースーツ,Rappy Suit,23,23,4c4c65f7fb0ec011aa0d4de2091d2314,7eb672c69dae00b33532a088b47ab3b8,,,,,,73d81693b9150e3b092c8466372c0ff2,,,,,
セレモニータキシード,Ceremonial Tuxedo,24,24,14485e11ed48cdbd3b2a07c4fe4aecb7,a92b358b5f7de78aaf7eab87ba0d0928,,,,,,c1211982ac1b547053ed1012be982e84,,,,,
[Unnamed 25],,25,25,,ceb3d97cd5970a260db3ec02eb5a38cf,,,,,,7b9b97b6a0c5ea3ec4b0cc7304e7ead5,,,,,
[Unnamed 26],,26,26,,2d648ea971611f6b19122c68f78c1ab9,,,,,,26844d208ca786a88a138390372e331a,,,,,
パンツスイムウェア,Swim Trunks,27,27,c058ed85729f244660c8d4d62207fb12,5fb86633f01444506b93daea2eb3bfe1,,,,,,751cfcc0ddf70b87d9d4b6705793d0bf,,,,,
シークイェーガー,Sieg Jaeger,28,28,c62080bc6eaa99598ee461ece885a683,e19a65eada461c986e8576d567637161,,,,,,e5daa54833296b752cf6de4554eeb8f1,,,,,
ホロウワンダラー,Hollow Wanderer,29,29,75adc8f0eee9b9e1cfb0d76e0976a045,336c4affa64640a5faecdef9568ff97d,,,,,,8fcef01c40dcac33362e489813e558e6,,,,,
[Unnamed 30],,30,30,,4842ab83abd94115f6fce713491f071e,,,,,,e386d0c6cd94bc6f27cf3d218d801a56,,,,,
