Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
,,-1098511726,0,,,,,,,,,,,,,
,,-1090123118,0,,,,,,,,,,,,,
,,-1060565030,0,,,,,,,,,,,,,
,,-1,0,,,,,,,,,,,,,
青年,Young,0,0,,418b451732299d854e7493d5db83c7ba,,,,,,,,,,,
,,5,0,,,,,,,,,,,,,
,,7,0,,,,,,,,,,,,,
,,8,0,,,,,,,,,,,,,
,,9,0,,,,,,,,,,,,,
少年,Boy,10,0,,f9f18052fddb57e4d56278cda29c32a8,,,,,,,,,,,
,,11,0,,,,,,,,,,,,,
,,12,0,,,,,,,,,,,,,
中年,Middle,20,0,,,,,,,,,,,,,
,,136,0,,,,,,,,,,,,,
,,1056,0,,,,,,,,,,,,,
,,2112,0,,,,,,,,,,,,,
,,7424,0,,,,,,,,,,,,,
