Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
ベースフェイスタイプⅠ,Base Face Type T1,100000,0,,694d566429b07f77402c655f8e71d0c6,a848f2147431e8e6da11f0263225145f,,,,,,,,,,
ソーケンフェイス,Robust Face,100010,0,,dfe8e219caa39894199abb11d2f32d24,89f989d01d0d4c57b62e872fd99361e4,,,,,,,,,,
,,100011,0,,b45599f3ca0323d6b1f5b0c173110c83,23bbcfd9e3e0847d7d07df048e473771,,,,,,,,,,
リューレイフェイス,Flawless Face,100020,0,,1678232eca22b9e73a3121f27df79d01,27e07ced9f86303f9866c20436e05698,,,,,,,,,,
,,100021,0,,bcb46c6859459517ff28ab2046976162,0be2c9bdbcf8cd46843de8f2fe72e946,,,,,,,,,,
カンロクフェイス,Imposing Face,100030,0,,41c5a0a9c307b5ae893c78937f34c72e,0c08c050852e05566ac495482b686bd6,,,,,,,,,,
カンロクフェイス/B,Imposing Face/B,100031,0,,429d96245f7b5eec3ac8db4cb345a4ac,644a3210e0b88ed01a34ba97db5547b4,,,,,,,,,,
,,100050,0,,4a1ae56f8547443653178411f077e32a,6587f48a1e5e0a0c3034983b18637c26,,,,,,,,,,
,,199900,0,,b2ac886ffeaaa8f46851908d70ee5172,1ce8ac85583214e75f614f6c4c44b1d9,,,,,,,,,,
,,199901,0,,81f07cca1965618fb87e40457498e964,48181d74817af03c5a8e20da3e008ddc,,,,,,,,,,
ベースフェイスタイプⅡ,Base Face Type T2,200000,0,,2a2315581118e6b29634d30717d8e3fb,e7b051189954b826612105379a9d46fe,,,,,,,,,,
スキットフェイス,Snipt Face,200010,0,,e0053076a2cbedba2186159f14ba1601,e7e3ce08ca77433d65e6bcc9cc2f7e56,,,,,,,,,,
シルフィーフェイス,Sylphid Face,200020,0,,ac8ed293f58c36722c61536eeea2e4cb,7a8624d6860092c5e93464d6bdcd6be7,,,,,,,,,,
マスクドフェイスT2,Masked Face T2,200030,0,,12edc6836cf8af8b495144a45737ad7a,649ae91f022fd1aea503450b55c613d6,,,,,,,,,,
マスクドフェイスT2/B,Masked Face T2/B,200031,0,,8cc483f23cf843f419e2bb3aea9c4114,96cce7d2d7479d384abc26caca7c8c5c,,,,,,,,,,
,,200040,0,,aeb024854ef15bc615d481b6e5cb2007,ce23257572059d10df82b86b5b433efc,,,,,,,,,,
,,200050,0,,d19bfe7b8459ec562140f384479a365c,b008b7313103a3d6ee37e630051be37d,,,,,,,,,,
,,200060,0,,b0207274230f3e440ded0b320895b39a,444e73c558b5baf251c87c075a125d12,,,,,,,,,,
,,299900,0,,1508c3a2bfafa17739b51774f1a12b77,,,,,,,,,,,
,,299901,0,,,,,,,,,,,,,
,,299902,0,,,,,,,,,,,,,
,,299904,0,,,,,,,,,,,,,
,,299905,0,,,,,,,,,,,,,
ディガーン・ヘッド,Di Gant Head,300010,0,,9ccf689c527597fe4c99cff4751d9356,2efe586035a01105aedfa7f59f2fd427,,,,,,,,,,
,,300011,0,,744b78fd9d27b5545b5ef755946da99c,8274385f0894ef559fae5e80dbb78796,,,,,,,,,,
,,300020,0,,43fa0c8cf734ece2de080ebd3fb01073,0df2c6f4693f632377f469406244380e,,,,,,,,,,
ザンナ・ヘッド,Zanna Head,300030,0,,5ad538a8e5573282e5f782b3eaab0380,9290861c44f5e89ec58389ae6d077ced,,,,,,,,,,
,,300031,0,,1225bfbffdee92246311505e1b554896,713ff2c6aad919ab4746b82e5169eb24,,,,,,,,,,
,,300040,0,,8e3ce4d4d40c1370bdad01686b855db8,0bd8cc53d4b851d56bc909180a367b67,,,,,,,,,,
,,300049,0,,c5e177d3d97fc3758212198e981bbf8c,65cd9e1987c0b1b05083d08222d41285,,,,,,,,,,
,,300050,0,,238493198e069e4745d9be0416d59869,89af3c68eb49a70e17ed6e9616f159b0,,,,,,,,,,
,,300060,0,,e0eeb875fd0ce5b6ce1911e94ad293c3,ab110657b88ae68248c6cd55413eb89e,,,,,,,,,,
,,300070,0,,95be5cfa2f29686e65aead39a3bae5c1,24c27dce0f336241e90b8ff9784e3a40,,,,,,,,,,
,,300080,0,,5ab793806441e6a8ef6d583309606805,3aade421606d34a56cef594588796a28,,,,,,,,,,
ディガーン・ヘッドCV,Di Gant Head/B,300090,0,,54cf31370fcaa4a66572467c43f42326,09147c611ee9fc698ae06c803ba29306,,,,,,,,,,
