Japanese Name,English Name,Chat Command,Reboot Human,Reboot Human Hash,Reboot Cast Male,Reboot Cast Male Hash,Reboot Cast Female,Reboot Cast Female Hash,Reboot Fig,Reboot Fig Hash,Reboot VFX,Reboot VFX Hash,Gender (Blank usually follows previous)
「４」ポーズ,"""Four"" Pose",fourpose,character/motion/lobby_action/pl_la_941_fourpose_m_std.ice,f4\660fad2ecbf8d8c4515c6b13e0dc64,character/motion/lobby_action/pl_la_941_fourpose_m_cam.ice,6b\3b464f6992fb3d00c94612c43ffef9,character/motion/lobby_action/pl_la_941_fourpose_m_caf.ice,02\6ad1837a27fc933317dad57a96977c,character/motion/lobby_action/pl_la_941_fourpose_m_base.ice,44\838603327e752ad50ae4af900e22a0,character/motion/lobby_action/,,
「４」ポーズ,"""Four"" Pose",,character/motion/lobby_action/pl_la_941_fourpose_m_hsi1_std.ice,c5\dd0403f1e6e7b9c0826997c3bb9109,character/motion/lobby_action/pl_la_941_fourpose_m_hsi1_cam.ice,ed\26c140e44f28894e2c537850ea3857,character/motion/lobby_action/pl_la_941_fourpose_m_hsi1_caf.ice,51\2ff2bc789e4891049f44c7c719d83c,character/motion/lobby_action/pl_la_941_fourpose_m_hsi1_base.ice,6a\61f500a05d5d7a8a155d502258b998,character/motion/lobby_action/,,
「４」ポーズ,"""Four"" Pose",,character/motion/lobby_action/pl_la_941_fourpose_f_std.ice,0c\048e9dad65b9f7bc7b33006efda789,character/motion/lobby_action/pl_la_941_fourpose_f_cam.ice,10\4ffd151688aff3c5a5dd092f5ae068,character/motion/lobby_action/pl_la_941_fourpose_f_caf.ice,05\c59dee4071fac842dd7f0883f490b6,character/motion/lobby_action/pl_la_941_fourpose_f_base.ice,1a\c3e545cedea93d9544d953892405dc,character/motion/lobby_action/,,
「４」ポーズ,"""Four"" Pose",,character/motion/lobby_action/pl_la_941_fourpose_f_hsi1_std.ice,ab\000553de6e97278467285b8de74768,character/motion/lobby_action/pl_la_941_fourpose_f_hsi1_cam.ice,c7\36eaccb044b04f7bde7a16dc159277,character/motion/lobby_action/pl_la_941_fourpose_f_hsi1_caf.ice,af\f465b564b00b1f39540aca4bca071f,character/motion/lobby_action/pl_la_941_fourpose_f_hsi1_base.ice,b6\1ebeca7cabfaecc0a7863befc6e57c,character/motion/lobby_action/,,
励ます,Cheer Up,cheerup,character/motion/lobby_action/pl_la_943_943cheerup_m_std.ice,53\dc732fc2185c7826c66c61fdb31be4,character/motion/lobby_action/pl_la_943_943cheerup_m_cam.ice,cb\9ec16b6c4fbc48b8d467d8b9573f08,character/motion/lobby_action/pl_la_943_943cheerup_m_caf.ice,2e\78529d1eefd1cd45f51a90c221592d,character/motion/lobby_action/pl_la_943_943cheerup_m_base.ice,df\654fc4f06e056ad02c48de533e8af6,character/motion/lobby_action/,,
励ます,Cheer Up,,character/motion/lobby_action/pl_la_943_943cheerup_f_std.ice,d7\a6e538b65e815a99da95c444b18fa0,character/motion/lobby_action/pl_la_943_943cheerup_f_cam.ice,49\0c48ba2d21ccd14fed1b88b4718cab,character/motion/lobby_action/pl_la_943_943cheerup_f_caf.ice,08\4dd9d2ea7b9533b51b9906508a790d,character/motion/lobby_action/pl_la_943_943cheerup_f_base.ice,d6\54ab17d9a41c70785c700f2a0c9780,character/motion/lobby_action/,,
おじぎ,Deep Bow,deepbow,character/motion/lobby_action/pl_la_950_950aisatsu_m_std.ice,1b\423a20d0a819d1314fd0d7afc4d838,character/motion/lobby_action/pl_la_950_950aisatsu_m_cam.ice,95\33ab27cb09d7239b7b3876f4c4cb32,character/motion/lobby_action/pl_la_950_950aisatsu_m_caf.ice,2c\d4b2733b9bc8d302c563d8787d1098,character/motion/lobby_action/pl_la_950_950aisatsu_m_base.ice,ce\635e2e71e39b2ad04534e8205ea61e,character/motion/lobby_action/,,
おじぎ,Deep Bow,,character/motion/lobby_action/pl_la_950_950aisatsu_f_std.ice,4e\3355174233d531bb80ac2d34606bcc,character/motion/lobby_action/pl_la_950_950aisatsu_f_cam.ice,da\5185026b351220a94c4478c20d58f2,character/motion/lobby_action/pl_la_950_950aisatsu_f_caf.ice,2e\c39247d150fb1c01737a73eaeb962b,character/motion/lobby_action/pl_la_950_950aisatsu_f_base.ice,c7\27fc6a4dae6563c64bba35c789adf8,character/motion/lobby_action/,,
挨拶２+,Greeting 2+,greet2+,character/motion/lobby_action/pl_la_1059_hello2re_m_std.ice,61\64730fb536acaf0667d4e3d0bb5771,character/motion/lobby_action/pl_la_1059_hello2re_m_cam.ice,8e\fe6339ff9c50452ba1194a7bb48f69,character/motion/lobby_action/pl_la_1059_hello2re_m_caf.ice,f6\b3979bdbd9d9875e0baf6913ff71c7,character/motion/lobby_action/pl_la_1059_hello2re_m_base.ice,98\1c5c6ae71486db45718c0c860d6bef,character/motion/lobby_action/,,
挨拶２+,Greeting 2+,,character/motion/lobby_action/pl_la_1059_hello2re_f_std.ice,eb\8a464aa00ffaf88028d7fb8d5cdbf6,character/motion/lobby_action/pl_la_1059_hello2re_f_cam.ice,3e\39ead766da0b1da85a651139e0e61e,character/motion/lobby_action/pl_la_1059_hello2re_f_caf.ice,d7\0ae37f7d4109c6fc53491eaf69ee8d,character/motion/lobby_action/pl_la_1059_hello2re_f_base.ice,91\395e95c5713cceab05a9793a7364ed,character/motion/lobby_action/,,
手のひらを見る,Observe,look,character/motion/lobby_action/pl_la_944_944look_m_std.ice,31\86969232305cdd69dd90b4038b9567,character/motion/lobby_action/pl_la_944_944look_m_cam.ice,31\bc0fef6eae7305860dc181df72cbae,character/motion/lobby_action/pl_la_944_944look_m_caf.ice,24\5d58a9ddd67ea1ba22a3e15c46fa34,character/motion/lobby_action/pl_la_944_944look_m_base.ice,55\80934e381428956fb9c83834ed58bf,character/motion/lobby_action/,,
手のひらを見る,Observe,,character/motion/lobby_action/pl_la_944_944look_m_hsi1_std.ice,45\8e39d5b182f757309078eb3b52c4f0,character/motion/lobby_action/pl_la_944_944look_m_hsi1_cam.ice,e8\403234d0b0df3df55e36e61092f6ec,character/motion/lobby_action/pl_la_944_944look_m_hsi1_caf.ice,65\7c1ca7538e017bfe0225c3ca9388eb,character/motion/lobby_action/pl_la_944_944look_m_hsi1_base.ice,0f\363210c4abf3c659a84d51a9797d0f,character/motion/lobby_action/,,
手のひらを見る,Observe,,character/motion/lobby_action/pl_la_944_944look_f_std.ice,7a\8d720f2c29031b2acd99422dbb3a19,character/motion/lobby_action/pl_la_944_944look_f_cam.ice,fe\157203a77fd1d6cd764fd8559921c7,character/motion/lobby_action/pl_la_944_944look_f_caf.ice,a6\f5abd7d638425b06c37ff509839a82,character/motion/lobby_action/pl_la_944_944look_f_base.ice,f2\4f4fe86d57b7a59225f372e7af3b7f,character/motion/lobby_action/,,
「５」ポーズ,"""Five"" Pose",fivepose,character/motion/lobby_action/pl_la_942_fivepose_m_std.ice,f5\44f10495a1dd249471c0c4b2fade99,character/motion/lobby_action/pl_la_942_fivepose_m_cam.ice,83\84a6c80136fae814ae90107bf86807,character/motion/lobby_action/pl_la_942_fivepose_m_caf.ice,eb\18f108edd70ec8f90ddaa613ee276c,character/motion/lobby_action/pl_la_942_fivepose_m_base.ice,5d\d24f77e8cc6a5a6d40de2866992d2d,character/motion/lobby_action/,,
「５」ポーズ,"""Five"" Pose",,character/motion/lobby_action/pl_la_942_fivepose_m_hsi1_std.ice,37\0f953913366e7e4afe8e9ffffdee8d,character/motion/lobby_action/pl_la_942_fivepose_m_hsi1_cam.ice,90\a72b1edbf27837b09ac814ff3661e0,character/motion/lobby_action/pl_la_942_fivepose_m_hsi1_caf.ice,a4\541c5c0300de9d92e03c809d148fd6,character/motion/lobby_action/pl_la_942_fivepose_m_hsi1_base.ice,4d\98a81401327b7bcc4a1eac741e55a4,character/motion/lobby_action/,,
「５」ポーズ,"""Five"" Pose",,character/motion/lobby_action/pl_la_942_fivepose_f_std.ice,0e\ad3fe8a53e94b1493fa42ff4e8c853,character/motion/lobby_action/pl_la_942_fivepose_f_cam.ice,00\0c65ed79c6804c50aa5ce4a9979442,character/motion/lobby_action/pl_la_942_fivepose_f_caf.ice,4a\385ab3e175b2f6c9307dba6382abef,character/motion/lobby_action/pl_la_942_fivepose_f_base.ice,7c\88b4234e5609ec138119b1af0bd195,character/motion/lobby_action/,,
「５」ポーズ,"""Five"" Pose",,character/motion/lobby_action/pl_la_942_fivepose_f_hsi1_std.ice,c8\f88bfecb5d7d9239a9bcd6365944a2,character/motion/lobby_action/pl_la_942_fivepose_f_hsi1_cam.ice,ce\690628e667168824dd01ca1327dee2,character/motion/lobby_action/pl_la_942_fivepose_f_hsi1_caf.ice,75\ada54952193c0babc55c2bcbe53e31,character/motion/lobby_action/pl_la_942_fivepose_f_hsi1_base.ice,ed\55b48c7367308cc1eaaebad92688cd,character/motion/lobby_action/,,
