JP Name,EN Name,id,Human Hash,Classic Cast Hash,Classic Caseal Hash,.fig Hash,Substitute Motions are in win32reboot, unlike most NGS player files. The first two characters of each filename are the folder name
標準,Standard,000,fe\ddd33a0057f2128e9c455754149019,0e\91a8f5a24aff77bd959a01df15b846,f5\c83a3ff279fb3a25a6bf34cf7aebf3,e7\176db2337c8553a56d12cbceae8548
シンプル,Simple,001,ed\8fa6966948ce4a6eadec1087b9182f,ba\c574fbbf15b013d2cacd1ea47beba7,1e\212bdd88439021d07b7b5373ada44e,95\608bd6706f53315191221ebfd495b9
シンプル2,Simple2,002,cf\18c5cd538e7462a237777069b7905e,cd\2b16e9116cb89e2b839f29f842d33b,46\269c9604dfff327783eed3af1d95b4,79\0832d3ae58113d7b70e3efe6517f30
空中前転,Frontflip,003,39\655243f3d4775876a0936cfba5486d,a3\1b2bf7bafb9010811e5717c2938982,47\28ee146f476d7605e44b5aeb961408,17\6c038f699687b3a5b8d417fac35591
上体を反らす,Arched back,004,34\9790e4edb74f2ab41861a7df17e488,f7\f1e6ff48db37ca37d9928f88f17b75,74\b67693a4a50180a3deb79f7436eea1,e6\27bbe6b3f110cb1ded816413d6bf79
両手を広げる,Arms spread,005,36\bf8de3de3b195469aa90d9c001897a,d3\1ac760fbe929dc86399e4a4fbb3b9e,c9\c171ee49449db729f437ff2f4d3d2d,73\3fcbe3b854290e0eb00b16b7748fe5
重量級,Heavyweight,006,47\3e6ffba0d423a453321b0520c24c8f,64\c56b1dc385beb35cddcbff90aa229a,c8\29e05fdaf2bd438adc7e65c9020506,e4\dc0e95ade604bfc1cdad548a0c9606
宙を蹴る,Air Pedal,007,98\ff96b1c71e77f5708dc6d85dd4d718,9b\8f2b53584ae58ed8c463f5842aa788,b9\491ef29fb04e4dd69687df5ea3740d,2f\0c94bd34cd2fc91b14c47e999b19d9
内股,Dainty Hop,008,12\3e9c00532d1335717ed6a21a5646b6,8e\6813066390b2d23f5e13426079e322,42\38c725e246062f94bbfa40dad12fd6,76\e0319b58591078f44ca1873a04313c
コミカル,Comical,009,64\42ba9a279b29fa7fc7f821a8751b77,aa\5eedcea9a13588315de1c5d8086d42,10\13d3eddab7fb390efa388109212b34,d2\1482c8cf87bc6eb9c15ba679594f04
