Files are layed out as: NGSHumanfile NGSCastFile NGSCasealFile NGSFigFile
Substitute Motions are in win32reboot, unlike most NGS player files
The first two characters of each filename are the folder name

標準,Standard,000,b4\c09850bcb6a381bba7e620e38f3f18,6a\c6890a1bcdf54c7e23f22329ee0997,6d\eae3cb31f8ea0c8e4d1fadf8b9965b,82\f5bb64b6704f19ea8db5d027c5f4d2
シンプル,Simple,001,43\2d396a305134c407261c493db8da8f,48\74ed87a96c57956cd93a98cbf616e9,e2\81f82207d92f4138095d48c43e67af,c8\78a6ab18ec33eaa22fc8a2453988df
シンプル2,Simple 2,002,ef\cdf77fe26b61111a81c3a686649a23,46\7116852cedd15e8ed441db8999c1ba,c1\4acdd20517aa5b081565937c6c15a1,6f\bc48903601a2aac30cac6bf9a0bc93
ホバー,Hover,003,ac\1c4b24c87bb3df94bb80574924a7e9,a6\d4d027d77078c031a95da6255f56bd,38\8b22d52e75eab0ea66b707d59790a3,1a\bf2d410ede60a37483baba17ab7249
[Unnamed 4],004,fa\e29fb5c1806e28d193f40edf18a7ac,7a\f4676ef5792874e3ff141c3c18d929,55\32bc5805a494cb99cdd78356bc73da,37\8b9e6c48bad8ec6ec4e1a3d3179e95
ニンジャ,Ninja,005,73\5700ee36b9093c2be153c1752d01f4,0e\33dbda1738c6123fe2df6bd8bb1c78,45\cf45a7788f6a0a0b93ac4fec71abb9,25\a4b0c0617780afa44154ae7abee464
スケート,Skate,006,fa\e5972d67ce8b36aa1759abc2de6023,79\b859362d67b19c4f6a8cd71b3e3cd3,91\f916e1dd0b6e463578f31ea233afb8,fd\05f798a3e1d5c2baec3f9197aed296
獣,Wild,007,9c\4ff05e9feddb0508e65dd65ffdab19,dc\31a7f722c43c194e13da262bb034a3,25\185c33531690724533b8abc047b159,66\11742e46e5439dacf13e69ba114bb0
宙を泳ぐ,Swimming Through Space,010,6c\1e4160d7315d7eb8cc743249203487,91\61bdbc5b7e0c7280d46b712a13ab0f,17\342472db7d0eddde83c117eb82cb5a,f5\3abc4b11001d9a079612ca1d17ffa7
風を切る,I'm Flying!,011,5d\7b160bb8a4b1b408bbe96bea7d8290,65\f9966f649531e360610508cbff2579,d5\0671e3cbdec4b3c1e5826ac1a2cf63,7f\5a22419788d9c0844b8d462733b6ef
フェアリー,Fairy,013,a8\55bf928dca9b102d6f451a004d69a2,76\c87c30439e0c552df8dbfaf4c44280,39\a6df6c9c244abff6797f25db0c1b37,e5\2204187402fde1645a1fca5b6f10bd
ホバー2,Hover 2,014,77\18fdcf11a99eb7630868b6bd1093a2,8f\058a1399c8d4836b35c4d600da05e4,5f\a5b0b2aa808d67f7d0fa11819bf140,22\7656d9ad7e16c70f39f25ad657ff93
スキップ,Long Leap,015,b4\3ed92b4d87c6da5246dfac823e6b25,f7\7c3178c2fdfbf2c602a8e43b0634f0,76\7c1a5fe367badd464cb664fde47bfa,3e\824c555dc15ba202441563f1c14d17
エアボード,Airboard,016,9f\e414fe1f35a45fc033dfcfdfc62b02,6c\7d29be5f328ede4b944e138d50a4e0,40\a8ee56f131cbf53d6d6f05ea39e46e,5f\285328d0878e37d1f807189d9739e2
ソニック,Sonic,017,31\e9c29d519f343c83efee1e68189ec8,ed\6b660ce7616d04e39529805f27cb45,1f\9e9f81724b9ec4454a4cf7c9a7c9b3,64\e7322d4ccf346d3327a842236971ca
[Unnamed 18],018,c9\447e11e22951758cbd3acaa7828603,87\81342e6461b9855bb750e57ed65060,3d\f0a9e9c4f5be2974802f264305a649,6f\922ef72bc1f901f9d6315a5da43afb
雪煙,Snow Dust,019,2f\d374ff8d881af1291d34572d5a688a,a1\04e2ab7307ff47e2578f4481050a66,88\d69c294cf8a2f6af695be2470c3893,4c\2fb79420b0c4c42d74871123742cd0
火炎,Fire Mage,020,2b\20bcc99c585d7ddec957adc844e7ea,24\66f9538eeb01a03702fbad5b18cbb3,11\d279bb9cbeee7b9cfb1af973afb621,84\e017db59a99e71a97fa7125da101a6
雪そり,Sledding,021,f0\b280aba811470c36dc4299d2773060,c2\0a2e72c7e5d5e16fb635d8a02ed68b,c9\bad04aa79212fcb21ca43c5d4643db,0a\8d581486fcfb15ca27b2ac43c64c41
[Unnamed 22],022,63\99d316b2042223070c75d1a1495cc8,06\6e253a47ce9f149d1bfd7f59c59afc,84\8848d80d601a1175b181d5fe8ee4f7,81\60ae4e360e61c7488eb5cd94a9d063
[Unnamed 23],023,37\be98b04e3d60643a4a0281a79b6d55,57\8a7e4fbb3166e59e710bbac3653079,38\a5ce15146189999663f1927d2790b0,4b\65192445f548c0cc57a7c9e804add6
[Unnamed 24],024,ac\dd764bbcc9cafc11507c930e606e9b,5c\df6b7cc8962a17c5f28ff330a79c31,e7\e310934ccf2dacdbad529467344db5,24\c78f95cd0f9a7cfff38f1aaaead081
[Unnamed 25],025,96\b2a8f0de061175081c20ffde7c138f,35\a885e4ddd0cc2e655c55c7159662c8,d3\5411135a65201581e4d4c6a00607aa,f3\7845d7ebae52306848b0af8e508891
[Unnamed 26],026,82\8773185c6989d4247349ab4015ab4b,bb\928fac7ffdae9ee30ef4f253273d08,1c\defa0a3805e65c5da9a6b30edff680,05\837319109f114a4e5beb3d0b4ba7c9
