Files are layed out as: NGSHumanfile NGSCastFile NGSCasealFile NGSFigFile
Substitute Motions are in win32reboot, unlike most NGS player files
The first two characters of each filename are the folder name

標準,Standard,000,92\235cbefb3e2dd5deeb43bd9654f92d,4e\8f2fd95b56b0356c9b20035983dacc,ea\03fe59ee30394f09bb837321c68ee7,61\13274defbec58cbbf75782ed438206
シンプル,Simple,001,75\9b5f50231a0c9584fed25c51245d48,67\2cc76a61d17601ee6f3bcd154b57ff,2a\80dd48088a169930aeeb974bd1ff42,36\30781c8b615bfd1fa3f36690611bfb
シンプル2,Simple 2,002,1f\b7ea991c6db68a41cd03bd4a1fc356,4b\df94f9051ecfe4ca45ccc55b3503b7,3e\2ffce487af7c075149850617b90c95,56\5fe7c65273d865b15b8b6e24f5a54e
ホバー,Hover,003,0c\696e798516279b6eba960335ba4da9,cf\49c4009a3cc759a7130cf91cc2a540,5c\bc853da9610e4dc904d9ef32095c76,6c\57b85bf499e045b41f71251e2d3963
るんるん,Playful Run,004,2b\f319a0c07a4650033815469c7e9b6f,8c\375a0426a967b73135b0be64810ba4,15\a3072b53e357b4dad3b28c787f806a,47\52f8432fc81a18f811bdad5eacd80f
ニンジャ2,Ninja 2,005,1b\ba2ceaabad00055c20cdbe4c752be9,e8\2466127aefe5a4c095edddb98f8528,2f\23f3858a828971062ec832608d0e14,c7\21b8ac0463367299ae3123b5161ad7
スケート,Skate,006,14\4c9f5311a728ff2803524032a353fb,ce\6df0c8fd7248b71d38a611c718118d,67\d3ec1e1dd2cb09dd4eafa0993f7550,74\e7686f517c0fd2d93a730fbf302372
獣,Wild,007,09\8813f33aed8983e4a265db1f689cca,6f\880fe2d83f5c8dd6895d96340d8084,99\8259c2a099cd5098e1610984cbdd0a,0e\7d51ec38fa4ff230ea51563ae503ca
両手を広げる,Arms spread,008,03\6c55d360148757a2de8fe6ce8d7ab0,1b\30adfda663bedb5faa7d15d3390d4d,19\12e72a06b9bcae17257569a42dfd12,02\a954eeb63366f248017d33827a42e3
無邪気,Innocent,009,6f\4dd31506dec814e8011a23a7e71e39,47\e37917b5eb94d9a723789e31807029,c8\33c8576c788d218cbf337538ba1db4,c9\05bc600bdb5aff19f8e8a268ec74f9
重量級,Heavyweight,010,73\12f1f9b3a7c5113ff4dc989fc70aa7,7e\f0bcf37fe1889da7d8e691c13c358a,ec\ed04a4fe24b69f02b157245f89e5d0,b1\77d36310c3cafe1f961a08a05d6646
ホバー2,Hover 2,011,32\8d8f6274101143d467cb3d946b123c,72\b87970c1e72c505f232565def4fa50,28\63bbb803820e3d8c52ff15e01096bb,56\a30e45c6694c4973393f2db8d76271
スキップ,Long Leap,012,54\d4ac7a3dd69b50cf8862e4f1c9f4ff,b3\44a0fb0b68fb55e9b4bb61865e7645,a5\898755c1d3a0eaa5b697e4aada7442,77\4278b17dfa1222dcb7921c43179d2d
ニンジャ,Ninja,013,00\29920eea543c6487a01e5351dbffb8,5d\0a63ca4105608b0ea189344c7d0aae,c1\cc8aaafd7e54941c8f1418f0d6cfad,cb\ce4d31c731b11f28bb813828a4907d
うきうき,Playful,014,14\e5a4af12e5938d7f047f539a29598d,e1\2d55f45b8aa7bde686d0d6b6c2e702,d0\5b098b8a0fdfad76deede8c6811078,3e\93e860ea59e715f2d1384d1771807b
[Unnamed 15],015,d2\313eb9ce815a2c4a7e880f2db5828f,60\751e3942d348d156ea6626baf61b7b,2a\70180b5828391fd24c671a759a08fb,80\0cef8f6e8b0be8c717bb5b011a7c00
軽やか,Lightweight,016,c7\e3484269ced8094b26e13d9260bcb7,55\64300c3912a6d35c061d3933ea87cd,bb\ffa673ab31008324f2d834a96b4c9e,e5\94d3f8474dd8f2cc10f68a7114f697
傘をさす,Umbrella,017,c3\cfd8840ccfc38105c8bdb424ce92c5,de\06ca4baccd7215441545fffc8d8a66,f5\4a4fc589f65810dac6e7d59a0f0c2b,30\4c15ffdce7aa4cb7fc6560fc4f4c7f
腕組み浮遊,Floating with Arms Crossed,018,35\8e7da6b931a83821667cedc9e6f298,4c\8e4f8b4df6beaacbb7731b4318ec7b,2b\4391f3d7152e699ed31f4dfaa0d3df,02\3c27dcfa683202dc146e78025a3f62
箒に乗る,Witch Chair,019,5a\e050e6d3cf399ff5f8f7742b4ff3db,c4\b2e59923785c8aa758693c8eeafbbf,44\a509ac9e9478304400750a146f46da,ba\288f88dfaeda400d11b244194e3779
キビキビ,Lively,020,33\418ca29e8383e9d04462bae49829dd,c4\8656e2b50acdde64b040b9350a7ed8,32\85c0cec2b15c10a1faef96f2a262a6,3e\92638cca6e2068be65a89696aeb3e1
