Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
,,400000,400000,,,,,,cec6555edfaeb1eaf449d99ec2cee89f,d5bf86c74c57bf959b97736f0d889749,,,,,,
ディアーレ・アーム,Di Allez Arms,400010,400010,ea0f41d992d0e7f6a2da3b2ac8ca09f4,343f7608868f47a3d8391599dc3129c6,46ef4938ed7d4dc4521a8ca89c798b99,,,cec6555edfaeb1eaf449d99ec2cee89f,d5bf86c74c57bf959b97736f0d889749,,,,,,
ディアーレ・アーム/2,Di Allez Arms/2,400011,400011,76a6a3f70d457cb04aac4d0800b7788d,dc83651a9b6741a7fb45045b8db644a4,594f893358869064e0811d3597a7d7e2,,,5ef947a591d1448cea7d51aed586617b,957dc2a13858412f2796639f178a58fd,,,,,,
コルセロ・アーム,Corsero Arms,400020,400020,a63b6dfec9cf2ad3d51d9a3f00b38abc,78f475b0acd8272c65efc23a619aea48,6dcd611392ff0cc266b53ebbc3114f92,,,d4a3bcba240aca99454ce410a10f18c2,77c93d15dec0923870aff2df25334c6d,,,,,,
コルセロ・アーム/2,Corsero Arms/2,400021,400021,a1da20013883609721b65c6220d3ebba,d094520d00c96664b199c024b4842f53,055cd15a7dcba783aac39a4def83fe24,,,1e159fdcf47f1840dd78bbfa66165034,0e333af8402e45b0c568acff0043f2e1,,,,,,
ネヴァーン・アーム,Nemain Arms,400030,400030,933634e747f172b1ae93fe8359db3a85,0348cd975d06b12c52840f68efb03eca,d2bec590a63478652fbb545126212b71,,,8d146163d7c69d93f43f87f49b69437e,67d8383c905a5d5e4e7784f0f685535d,,,,,,
ネヴァーン・アーム/2,Nemain Arms/2,400031,400032,9768ea1850f42e76f4335c234ce83384,4d4b21d890ca5419c40b521d10407260,b31dde1d3716272789b05e18a298081c,,,,,,,,,,
,,400032,400032,,4d4b21d890ca5419c40b521d10407260,b31dde1d3716272789b05e18a298081c,,,cdbe645ea7f2b56e58341ed82e7d63e4,cbc954d47fefd18f5c7dfa93661d0344,,,,,,
スヴェーラ・アーム,Svela Arms,400050,400050,de740a9486ccb42f01d6b2aa69605618,9fa5a114dd34afccc0ceddc28371f284,ebebb183bff051f1581127f73f296039,,,,,,,,,,
ゲツエイ・アーム,Moonlight Arms,400060,400060,05ab25efb7a42a37c63c3dd1e14789de,081cdee00f3ffd8f7daa4914aa7531ba,9ea527f576fb97e1f6ae7ea8c85e4fb5,,,c45bb58e68779d082d00edf4da20e6d5,b3836c1fc42f6da7a4ee582ee335f408,,,,,,
