Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
ディアーレ・ボディ,Di Allez Body,400010,400010,f3ea4da3314d308032bfcd67b4a2e981,2163aee8cb25af6b7d30a299fc85d32d,6a71cd9eb55f52b07fddbd48252c1b41,,,9261b27c0a0a9b7ceeb97e6583920853,151c675d2c2013ebf90dc9452a865357,,,,,,
ディアーレ・ボディ/2,Di Allez Body/2,400011,400011,85ca300559ebf9bf829ee49d3c961caf,c1e394b667b5e0d24910071a5b5d3da0,d6ccd71c3586122dde1d3f9e998e2d66,,,59580cd4157e808c1690c0a3f81c3b4f,cd9ef31546dacc572a005cd9986fbc2d,,,,,,
コルセロ・ボディ,Corsero Body,400020,400020,113c6302e57480d95ac28b9edc466de9,5fb8d7533c96de11e9313f574e3a0aaa,36d8280ec895e5f2f94a89412d1f1d8a,,,5a50c9323b595b6667efa9b9626a41a3,8bc250bc36acd91166000f92062036bb,,,,,,
コルセロ・ボディ/2,Corsero Body/2,400021,400021,51f20a64f9ba70f4f9eeea0f2677e059,0834daff43a85278e8fac44b508b427f,98a1736615355126d0bd675d5baf73ca,,,fe79921d30c745024c4309bc965a0a0d,86491d02cadf8aa72298826376a87280,,,,,,
ネヴァーン・ボディ,Nemain Body,400030,400030,9912b8242fb7b771a7d970dbaf633f9a,7d2aeadabf39f29354e50caf1939d679,ea500f7592ee0717477f883bac1c8b4a,,,8fffbd4eb724888801ad8de6a4be9417,bcdb4797dea9a6b22c76b08250fa3946,,,,,,
ネヴァーン・ボディ/2,Nemain Body/2,400031,400032,7e089c1fadeae1d61ab4c06226f6dc78,32d829c509bf6aacfa905a68487954ec,3da5ec81df6fbab10ecec7aae5d6fd00,,,8d146163d7c69d93f43f87f49b69437e,67d8383c905a5d5e4e7784f0f685535d,,,,,,
[Unnamed 400032],,400032,400032,,32d829c509bf6aacfa905a68487954ec,3da5ec81df6fbab10ecec7aae5d6fd00,,,3fcd538cd33116161dbc547eb99c7cac,6650ea4ec2800464255a9dbd20ec495f,,,,,,
スヴェーラ・ボディ,Svela Body,400050,400050,bad20d8bc8b65cdced3d3bc6e34b1283,874133e6e5de3f2cc750543e84a6ca54,6e91e7b34eae5c4b5dcb544d46726a2b,,,,,,,,,,
ゲツエイ・ボディ,Moonlight Body,400060,400060,bd533da7ee88fc7161e511c9dfa2fa8b,d417969462db360fea8c67471e98f029,62f2368e875bb78b37704681ad243853,,,5644b284143936f3f023451b2e160eff,ef199e14b7dbc2b48d5e796a7995c4e9,,,,,,
ゲツエイ・ボディ/2,Moonlight Body/2,400061,400061,0a184958b7240c80f1534ff12401f99b,ac4d42e82f568f885f5611e74dbaa272,7e6aade11a43ba2dd35ebbd89474041b,,,d097c74e5f1af7e9fe114dba8c738468,7a02007a845663e06494f7d18e0c9211,,,,,,
シャノフ・ボディ,Schanorf Body,400070,400070,04a2d5a2e5f75e7440a4047c335b7c4e,0e02b88b5fe208c1796246e298fe44a4,0fa66e6acedd1a896939149c6ed232b8,,,27d21b3ec93c519e46b4c776a5347440,ee54a7fbf5af47b864ee93b10a2ca217,,,,,,
シャノフ・ボディ/2,Schanorf Body/2,400071,400070,c5ae1faab5bc98cd38bf77028ab16a93,0e02b88b5fe208c1796246e298fe44a4,0fa66e6acedd1a896939149c6ed232b8,,,bc627f93ae7638d1282db1dc96e5b786,dd6aa7398c57f8f5bbbcf5c70f1fafe8,,,,,,
スヴェラト・ボディ,Svelt Body,400080,400080,a14906099010f2b917f3d3979c7124c1,f7455db251300c98233a287a5f001710,b5fdafca1d7d9f820597082b77a154e6,,,,,,,,,,
クロウリック・ボディ,Krolik Body,400100,400100,4c1a8b9b205b13be817a2a3ce6d35a64,d851fb52065e13685fe51e980bd1ecb0,3f125f9d909dd678b245388fc3e8d459,,,6b3e07f6aa37e0b7e6a4f138627e7460,1378e36ada9e41ac1eba07866ded11a6,,,,,,
