Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
￥サモナーデフォルト女[Se]ＭＶ（肩のパーツなしver）　ＴＶ１　Ｃ１　アーム,,203410,203410,,,,,,,,,,,,,
￥サモナーデフォルト女[Se]ＭＶ（肩のパーツなしver）　ＴＶ２　Ｃ１　アーム,,204290,204290,,,,,,,,,,,,,
,,300000,300000,,,,,,,,,,,,,
ディガーン・アーム,Di Gant Arms,300010,300010,a7104fb8253f559636da08d4bf614259,d7a86e3265d2b3d715c5162751a4ab6b,48e8147b762c15e29b6e76a8610fdc21,,,,,,,,,,
ディガーン・アーム/2,Di Gant Arms/2,300011,300011,5ca69ced5abe534ebf9770ee4caef637,da69486eefe04f7469f13e321f9339ba,1d1419eaa1f0a18feaf846b95a3fc46c,,,,,,,,,,
ザンナ・アーム,Zanna Arms,300030,300030,61f52c68bdf49b925d6c6484d27067ae,86ff91efb0ae682e261518d4f303c570,81d0217ebbd4a112a56476d9d149e54b,,,,,,,,,,
ザンナ・アーム/2,Zanna Arms/2,300031,300031,cb890d99dd33205275c82d5a04ce38ec,f8a56158fa58f8635b770831d5d942e3,0febe922ee4d651e37052fd8c753f0a0,,,,,,,,,,
デザンナ・アーム,Dezanna Arms,300040,300040,a53e061bd2a525c5539f8dbbb94a81b5,285c8a673253be7c797c9e10e0813ae1,975b78760d4444447fc67e00491ad0ae,,,,,,,,,,
デザンナ・アーム/2,Dezanna Arms/2,300041,300040,fcdc654ab4dde4f3569504d068d64322,285c8a673253be7c797c9e10e0813ae1,975b78760d4444447fc67e00491ad0ae,,,,,,,,,,
,,300049,300049,,b133753530f4eddcd7b0deb8abaf247c,84828177635b14811d4d3af5335532b3,,,,,,,,,,
ギャレスト・アーム,Garrest Arms,300050,300050,96a2a794d41edfb853ab764fdf79bca1,138b1a616542ebfe8ec0fcde9968dcc6,860cfce85dbb78bf9602b4282dd9ec68,,,,,,,,,,
ギャレスト・アーム/2,Garrest Arms/2,300051,300050,3e9c7596e6eafd9bd76112349848e1bb,138b1a616542ebfe8ec0fcde9968dcc6,860cfce85dbb78bf9602b4282dd9ec68,,,,,,,,,,
カタフラーク・アーム,Cataphract Arms,300060,300060,b4a6931d6aae91a6f4830be8db842c85,9f7c0fcd4bc8692a9de6da2d59d427cc,96dead428647f7b4e1e9180d3572f7ea,,,,,,,,,,
