Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
￥サモナーデフォルト女[Se]ＭＶ（肩のパーツなしver）　ＴＶ１　Ｃ１　レッグ,,203410,203410,,,,,,,,,,,,,
￥サモナーデフォルト女[Se]ＭＶ（肩のパーツなしver）　ＴＶ２　Ｃ１　レッグ,,204290,204290,,,,,,,,,,,,,
,,300000,300000,,,,,,,,,,,,,
ディガーン・レッグ,Di Gant Legs,300010,300010,61cdc3ac9b67e4c88a628b3a3a4574d1,e3acbe01258b8362bf7c286895c194f0,18c0926af771b238b3a57102cec5d83d,,,,,,2bbc2c665ffa8b823c916c68031ef88d,,,,
ディガーン・レッグ/2,Di Gant Legs/2,300011,300011,13cd42e4b5bdb9fe1cf2b0d355b023ea,0a6b9de5f81fe986dea12ae5475c1631,0de0cbd7bcd3f9671e42e09c58776051,,,,,,2bbc2c665ffa8b823c916c68031ef88d,,,,
ザンナ・レッグ,Zanna Legs,300030,300030,55d71f0c06bb224d4f5fed16c677525d,45b80e85d7826b54e4bd1782b615fcc7,fb8f5df4d4ec4d9175e77c9b53bbb728,,,,,,2bd05076bb0a7d606b6ec41de415ce69,,,,
ザンナ・レッグ/2,Zanna Legs/2,300031,300031,652fd79ce441ffe6b06f2d5c9168f3ab,6e8825e1e013115aa68187e8209bc2e7,a6a100b91a4c814f583b1cf9f675e638,,,,,,2bd05076bb0a7d606b6ec41de415ce69,,,,
デザンナ・レッグ,Dezanna Legs,300040,300040,a8807c2fe5e2c2245b570fd3a51596ff,14dfdbfd86e0e5087ef4a16602ef6f83,36353eedbf15c80c34ffc4bd77aaf213,,,,,,2bd05076bb0a7d606b6ec41de415ce69,,,,
デザンナ・レッグ/2,Dezanna Legs/2,300041,300040,40333373ad0a80aa2a4df85240b4eaf3,14dfdbfd86e0e5087ef4a16602ef6f83,36353eedbf15c80c34ffc4bd77aaf213,,,,,,,,,,
,,300049,300049,,329a44cde07b0c0c30febbdc6086f8cd,38c1d85b50e4198c4ae21a960be76bda,,,,,,,,,,
ギャレスト・レッグ,Garrest Legs,300050,300050,29c75570ab95498070370e058564f012,18c9b6622c37568e7e7c64d281e50f6d,e0b9aac7ef02d55ec53d590244571931,,,,,,2bd05076bb0a7d606b6ec41de415ce69,,,,
ギャレスト・レッグ/2,Garrest Legs/2,300051,300050,0cd2bf57634663ba2515da1c51eb54fd,18c9b6622c37568e7e7c64d281e50f6d,e0b9aac7ef02d55ec53d590244571931,,,,,,,,,,
