Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
ディガーン・ボディ,Di Gant Body,300010,300010,316acb38aabe19f63e8d75ea5e34a156,67d7c4a69a1386ae7b4abd4f695912d2,12e1cd0918c38c28a5795c59527e2ebd,,,,,,,,,,
ディガーン・ボディ/2,Di Gant Body/2,300011,300011,06734878b2a5ee362c7778dae36c46fe,d719820c0cc399aef28834d18a953abb,546f85f2149a6950d4a7b8bc04df37a1,,,,,,,,,,
ザンナ・ボディ,Zanna Body,300030,300030,4f1cd043f7543636447d41bded89f318,da6c20410c9736afe205ea3913f4128d,fb640b0b486fb8dd074b0bfcb9a34481,,,,,,,,,,
ザンナ・ボディ/2,Zanna Body/2,300031,300031,672336e01149693eae22c7f8acbe6518,53c62841942f8228745766d8e6dc464b,e91e19619d6486b72a7fcb40fc37ea77,,,,,,,,,,
デザンナ・ボディ,Dezanna Body,300040,300040,470a676b02b3498c34cc713cdb4a1def,9fbc540a0c1406bc9ab42870f758b277,9bf3a0dce1a299f7d8b31471180ab984,,,,,,,,,,
デザンナ・ボディ/2,Dezanna Body/2,300041,300040,45594463dc47cd4e57d917e8fbe595d1,9fbc540a0c1406bc9ab42870f758b277,9bf3a0dce1a299f7d8b31471180ab984,,,,,,,,,,
[Unnamed 300049],,300049,300049,,c09cc87b8df2567122e212a4168de54d,21d495eae27188b8b417a4dcd3cdb05c,,,,,,,,,,
ギャレスト・ボディ,Garrest Body,300050,300050,3f1cdacafaad85ff8f97b9265b60a7a4,de0cdde7d20f466898705e681592ae3d,74f298ee9a0cbb5d864dce148a0b20b4,,,,,,,,,,
ギャレスト・ボディ/2,Garrest Body/2,300051,300050,ad3a69ecd8c9314e3998550bd7218453,de0cdde7d20f466898705e681592ae3d,74f298ee9a0cbb5d864dce148a0b20b4,,,,,,,,,,
カタフラーク・ボディ,Cataphract Body,300060,300060,b40ccb4a803cb22b63ef8fc1dfa44c68,f3b07ad5f942dad7aff33a183994a4b2,c5c23ead5065252f2aeefc4728fe1027,,,,,,,,,,
カタフラーク・ボディ/2,Cataphract Body/2,300061,300060,d3ac7198021b53505a6cff3513c6ac90,f3b07ad5f942dad7aff33a183994a4b2,c5c23ead5065252f2aeefc4728fe1027,,,,,,,,,,
ヴェテルノ・ボディ,Veterno Body,300070,300070,84e1f2f880699c2ad63bda9ab927205a,c45ced128454ce20a1cc3c7290c16c67,a41db7ec6c789924064d7a2db3acddb9,,,,,,,,,,
ヴェテルノ・ボディ/2,Veterno Body/2,300071,300070,dc31ea313b1a9eaa33b71baa7a14dde0,c45ced128454ce20a1cc3c7290c16c67,a41db7ec6c789924064d7a2db3acddb9,,,,,,,,,,
