Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
キリットまつげ,Neat Eyelashes,100010,0,b2716e6586a685fc301702123d71f377,dfc53fe690797ecdcf63dcd7f3cf3126,,,,,,,,,,,
プレインまつげ,Plain Eyelashes,100020,0,4c4143726aa557893c2c521ee4c837d5,3e0ced5e40cb91fbbcf62e3d56d4e46d,,,,,,,,,,,
フワットまつげ,Soft Eyelashes,100030,0,b5218900c6706a9f461013f4b9583ca5,97c1458a0a80d49cd26c11ac0accebf9,,,,,,,,,,,
カチキナまつげ,Determined Eyelashes,100040,0,d453830e4c2676e85e4f79444c2bab94,8b0717cf79662d66aebb72ee4b6a1b6a,,,,,,,,,,,
ジアイノまつげ,Affectionate Eyelashes,100050,0,dcbdca3a233d81a5a4aef5127fe2140f,8d074432386a8d19bdf3a735578a7256,,,,,,,,,,,
ジットリまつげ,Piercing Eyelashes,100060,0,ddfa73190c83ef9c3fb752c7a08e7292,e18345ccdfc47b966cdb0f764ba2bfc5,,,,,,,,,,,
キリットまつげ/B,Neat Eyelashes/B,100070,0,69db10e8b56788bcd92ade3099ba959f,663ed3a06bc914617d4d4e92edf97a63,,,,,,,,,,,
ツヨキナまつげ,Bold Eyelashes,100080,0,2763153b7c96842d285c74cd0a13c8b8,e1306c0242666c120ef52f2e669fef32,,,,,,,,,,,
キリットまつげ/C,Neat Eyelashes/C,100090,0,42d6d49220fb3a50789632c7e1328bb7,a971dd6f1a25c5221dd7fa41f3e12519,,,,,,,,,,,
フッサパッチリまつげ,Long Defined Eyelashes,100100,0,63ba227e2e1f8fbb293158ef0e4a5f3a,a2766df8b169239b0e3210d88bde234b,,,,,,,,,,,
マノニカまつげ,Manonica Eyelashes,100120,0,205ec44a81f296f67ad9900ff9f52d28,076f47516ea1f122f40e9d796d67aea8,,,,,,,,,,,
￥使用用途不明,,100140,0,,0700bbc2cf0704a48f12a370b48bab99,,,,,,,,,,,
アニマティカまつげ,Animatica Eyelashes,100150,0,8d8a465fef43f4e5fd30b919bc58ab66,2d52ca0b78420c72c78aec8f4d0dd2c7,,,,,,,,,,,
スキットまつげ,Snipt Eyelashes,100160,0,1ec6f8024dc7db76851073e8fc9d71ed,dd0fb461bcead2453e1d851fe0caca5b,,,,,,,,,,,
アニマティカまつげ/B,Animatica Eyelashes/B,100170,0,6aa3aee4c91d69830f020129fc8d239c,3badeafe8428d7754286aa5c9d462ea1,,,,,,,,,,,
フタエノスキットまつげ,Double Snipt Eyelashes,100180,0,49b029b20d5d4a9e584f35195042d75a,3b5ed6aacf509c21ab3f142bea2dbab6,,,,,,,,,,,
フタエノスキットまつげ/B,Double Snipt Eyelashes/B,100190,0,1cdbdb284fa045707d57de5c50955135,9bd071056820b5a3e9ea1e2c9a758a22,,,,,,,,,,,
フタエノフッサリまつげ,Double Long Eyelashes,100200,0,ecaffb30b537ebb5ca7ce8da906d5d57,8a2969cdb22e2729c69cec54db526c0a,,,,,,,,,,,
コーディアまつげ,Cordial Eyelashes,100210,0,3ea8af398d6b25f7970e1cf8956e3f52,8b50b41063420cfbc8187b3b72319124,,,,,,,,,,,
イラスティカまつげ,Illustratica Eyelashes,100220,0,94da8ca20be3157f8b38c6a107f2e9f8,4ffb0bfefb0ceaf0373ab4370862d5f5,,,,,,,,,,,
フタエノスキットまつげ/C,Double Snipt Eyelashes/C,100230,0,0661ef86591a175c4c4169812356187b,fb91b38301ab8d01cb12d5539078fc38,,,,,,,,,,,
イラスティカまつげ/B,Illustratica Eyelashes/B,100240,0,e02c7ae81f79003ec2085da06b6c38e9,b813e9aabcf5ba36c5113d8d6d1cc66b,,,,,,,,,,,
アイノサクネまつげ,Ainblum Eyelashes,100270,0,bec902b96916c887057bb7cb033d2e20,4fb7393da3b53897abbfdc87061dbaf5,,,,,,,,,,,
￥[NPC]セントラルリーダーまつげ,,100290,0,,,,,,,,,,,,,
ハデナスキットまつげ,Gaudy Snipt Eyelashes,100330,0,cee447452fa71525427b2babb1044f26,bb489636532d0eb6acffb76f6ce2009a,,,,,,,,,,,
クッキリスリムまつげ,Sharp & Slim Eyelashes,100340,0,afa8fa1a64f241f6c7c95437ce0406a7,e20019acd254084149ccf52499e5d293,,,,,,,,,,,
アデヤカまつげ,Captivating Eyelashes,100350,0,4f4c596c90c60ecb40058e0a32865a86,010ecdde9e42211dcdf521955d6cb839,,,,,,,,,,,
フタエノスラットまつげ,Double Thin Eyelashes,100360,0,d4b82c46b87d005628922c9f93fd0155,42bf04dd1e0902c40fd5bca2355f91b0,,,,,,,,,,,
パキットまつげ,Crisp Eyelashes,100370,0,b2edbad602f467ac80d772010e4d2f14,8b1f391e01a32543f4a6796d86f1ff23,,,,,,,,,,,
フッサリまつげ,Long Eyelashes,100380,0,06397f93348839b685105c54e18cf087,ed9b54180c29c10e1e795c965aa8c83f,,,,,,,,,,,
ボリューミーまつげ,Voluminous Eyelashes,100390,0,9b857425edc5b22acfebbce2b94b8afe,c8e6152d45756373ffa55cb9d1a02a7b,,,,,,,,,,,
スリムまつげ,Slim Eyelashes,100400,0,bbe62d2eee152aa597968f7d1a72e703,8cc8178e4cd9de6fb1431ec23a461745,,,,,,,,,,,
キメテルまつげ,Knockout Eyelashes,100410,0,c8a5476c3421a7a602550a0accfc5d36,3e29abca0d8753b5f0e60b0d0ee26659,,,,,,,,,,,
ハッキリまつげ,Clear Eyelashes,100420,0,fd4b1ce6e92e3531709b7deff720e808,89284ad449234b6b8c00bc446e249a6f,,,,,,,,,,,
ファミレアまつげ,Familiar Eyelashes,100470,0,1b1b2a731ef80666a64b746d6d358173,0f8235f1dc52131b5e4b6e13444f17ee,,,,,,,,,,,
プレザントまつげ,Pleasant Eyelashes,100480,0,1d3ac897f0999cc17e310751d628b2db,c51ce30dd461981830abaf67d7f9bf7e,,,,,,,,,,,
フタエノゴーシャまつげ,Double Dream Eyelashes,100490,0,9c0eed3576adfc05cab5db1930d2562d,6afa38ce829e974f63b42ed7d4a79a2b,,,,,,,,,,,
ヴィランまつげ,Villain Eyelashes,100500,0,69371ba34d828add57f65c62bd99a8ed,322533e2eaa4e841520fd8fa92ef7e53,,,,,,,,,,,
ハートフルまつげ,Heartful Eyelashes,100510,0,6fd43fd8a8590e4668f4ae0e1d8202dd,fafdbbc3dd1611f61eb0ee5154148bcc,,,,,,,,,,,
バッチリまつげ,Perfect Lashes,100520,0,83fbfe9d1ce923f93cdd63a0c185f897,1ff50a14638601eebec2a0f5bafc77da,,,,,,,,,,,
レトロティカまつげ,Retrotica Eyelashes,100530,0,f09b87fc28561eac0eb3a48b10408539,81ed7f0c4ea369942494de39c0ba98ea,,,,,,,,,,,
シンクローナまつげ,Synchronous Eyelashes,100540,0,ef166c24d8e653ed63f2bd01a4decb68,4020e1fbb4808bc869a75f55cacdf799,,,,,,,,,,,
スリムラインまつげ,Slim Line Eyelashes,100560,0,630991fe26a7492b225f485519a437d3,6b0229f6c067d0b0ec8d87238be91f16,,,,,,,,,,,
フタエノフワモコまつげ,Fluffy Double Eyelashes,100570,0,16d59030e4957a800efb08d4cb6e39b5,ffdc6ea242f1cdfdfab975c935cac39b,,,,,,,,,,,
フタエノフワモコまつげ/B,Fluffy Double Eyelashes/B,100580,0,13f51081ea037518a1387123cc2a0f5a,f5f75a28aaa64d456df620732ee99c74,,,,,,,,,,,
フサモリまつげ,Full Volume Eyelashes,100590,0,1a4834ce2919f04d64a06e4b2014d18e,6f3d58daa7d35e7d763af65bc32d47d1,,,,,,,,,,,
ハッキリグラデまつげ,Clear Gradient Eyelashes,100600,0,1285c4dd3148acbedafff531d94a1d17,20511d54429f99aabc4efcd2c034a084,,,,,,,,,,,
トライゴンまつげ,Trigon Eyelashes,100610,0,8c458cbbac0f0df68bcfc6e5cc952808,c8d2ec6535458ff0d4f1e25cf904fb48,,,,,,,,,,,
トゲノフッサリまつげ,Spiky Long Lashes,100620,0,2b0c7fecc92c4e95f9b71d9f171a6dbd,de9f17b8ced3031792bb0163724ffc65,,,,,,,,,,,
フタエノパッチリまつげ,Double Defined Eyelashes,100630,0,fb3581a86d9d13eca2523b2f130ff6ad,2cd1bcdffa9a31d73db08b469a23ee42,,,,,,,,,,,
デュオカラーまつげ,Dual Color Eyelashes,100640,0,ea0ff684bd1beae29c7282c2a3f8841d,1898ec4225e3c60bb68354bd1169588f,,,,,,,,,,,
ファミレアまつげ/B,Familiar Eyelashes/B,100650,0,a167bfa38c6acfb0b931a92fa67dfb82,ccac1e224d78a46eacc9faf7bc60fcb4,,,,,,,,,,,
クッキリシャープまつげ,Extra Sharp Eyelashes,100660,0,ea6243e32879165265da1d21458c49ef,58a340fbf676f71a4fb2c893111d4b0b,,,,,,,,,,,
トゲノパキットまつげ/C,Spiky Crisp Eyelashes/C,100670,0,5765fab6ed062ae39ba028e8ae228f72,a57730c6ec8f114dfa466706aef7dd4c,,,,,,,,,,,
クッキリツリアゲまつげ/B,Distinct Lifted Eyelashes/B,100680,0,66b069b9531369f47337433b17ccad93,3c2b5478ff8f1249c48ae1b3b49a7829,,,,,,,,,,,
キレナガパッチリまつげ,Long-slitted Defined Lashes,100690,0,cbe5b25d6817fd896a1d7d4a62ec0923,334a14422fbcc5442484c5aabcb0a76d,,,,,,,,,,,
