Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
,,200000,200000,a825de9d656ebdc11939e9bcd2897f19,39637db7d70f4d2b289baa62a37f9010,921bfc343f540292430b2932c74b0e98,,,,,,,,,,
N-オールブリンク[Se],N-Slick Mechanic [Se],200010,200010,4064721c2ed990117d4b16d8d7d3b2e1,bc47600c8f73e64f5ec4ef648a907f01,229d50d7ca515f1da3dd95f08dce0372,,,,,6c1ea932e31d02921fe0342c4eb25c72,,,,,
N-オールブリンク/2[Se],N-Slick Mechanic/2 [Se],200011,200010,975aa403995669ba4d42dfbccc6fd2f0,bc47600c8f73e64f5ec4ef648a907f01,229d50d7ca515f1da3dd95f08dce0372,,,,,,,,,,
,,200020,200020,ec9d943acf10b38638d03686cbe7e106,389ab44223f652ebac8f980d90645270,d6db292156a438c11101503611e2942d,,,526f173bd5d8d37ebc9f9f4df8f46d73,267eb8b335bbcbdb7d6bca53305623df,,,,,,
オペラーテユニファ[Ba],Operatii Unifa [Ba],200030,200030,0b5ba4aac17bbbf2331ba5126d437142,65750849baac4296865825e305ad70ed,a514f170b90cb591ea3c90db96e085bd,,,,,d577bd05602a51776fd8cdb458ff1bb0,,,,,
オペラーテユニファ/2[Ba],Operatii Unifa/2 [Ba],200031,200030,27e9c47a769c22794475b27c4092ac99,65750849baac4296865825e305ad70ed,a514f170b90cb591ea3c90db96e085bd,,,,,,,,,,
オペラーテユニファ/3[Ba],Operatii Unifa/3 [Ba],200032,200030,51fe765fcd9b80382d78762b8d0d5275,65750849baac4296865825e305ad70ed,a514f170b90cb591ea3c90db96e085bd,,,,,,,,,,
オペラーテユニファ/4[Ba],Operatii Unifa/4 [Ba],200033,200030,143bbc25f17da350d7c06f8a0ca07dd8,65750849baac4296865825e305ad70ed,a514f170b90cb591ea3c90db96e085bd,,,,,,,,,,
￥[NPC]オペレータ女性服　ＴＶ１　Ｃ１[Ba],￥[NPC]Operatii Unifa [Ba],200039,200039,,01f024ef0df8490d64ec901c602daeeb,92f1c550b7f6b9cac4cd308e81f8a37f,,,,,d577bd05602a51776fd8cdb458ff1bb0,,,,,
アライアクォーツ[Se],Allaia Quartz [Se],200040,200040,8870e1b24c247c5334be7365fbac356b,030f17a09a67dcb753f885ff71439fdc,0564c42280f8d5a3d0a37feccbd2701d,,,5e9db6aefe2cc6593f6457b8cf92aeb2,7e952dd4ac5c087f8cc253e617d4c23e,64bd2fb66383578295cd7ae2612ba424,,,,,
￥[NPC]ＮＥＷスゥ　ＴＶ１　Ｃ１[Se],,200049,200049,,a9e5a4dbf966823f5e7584cc9b145b8c,797ad436692541f05a6713439fe0a64f,,,5e9db6aefe2cc6593f6457b8cf92aeb2,7e952dd4ac5c087f8cc253e617d4c23e,64bd2fb66383578295cd7ae2612ba424,,,,,
,,200050,200050,a3212211cdda12318bf5801658470801,13d5b9d27dca30c3aafc276e54dcba83,3cabd5756c13a28787a06ad4fcabe3d6,,,622b781dacca05b7a235fdfb322defe0,,,,,,,
,,200053,200053,,37120da682038e65d7cdd66373c5c93a,5d327567dd12c089951bfbe425ba02a7,,,622b781dacca05b7a235fdfb322defe0,,,,,,,
ディリープルーズ[Se],Diri Prudis [Se],200060,200060,82808cdb62db7a1dfaa0d6e52b262f0a,cb9eadcc136a38e6aa1cf6f95a80d8d1,de326ac5ce32a4b6af6278ff0feebd8a,,,7941ec2c4bd123f9d4331febdf6d241b,1b43b3fa3045151a48abaa02503d6343,66aba7a74dcbbff0714005ffef647a4c,,,,,
ディリープルーズ/2[Se],Diri Prudis/2 [Se],200061,200060,42e50dad53f9dae2f26635aa437c4e99,cb9eadcc136a38e6aa1cf6f95a80d8d1,de326ac5ce32a4b6af6278ff0feebd8a,,,,,,,,,,
￥[NPC]マノン服[Set][Se],,200069,200069,cc1247668c6df9807e4f1052274fd6bd,75705a65730acf947c0dbd622ac39f54,98d0c3c7cc4b5d919802787349c84680,,,7941ec2c4bd123f9d4331febdf6d241b,1b43b3fa3045151a48abaa02503d6343,66aba7a74dcbbff0714005ffef647a4c,,,,,
ウィオラマリル[Se],Viola Marill [Se],200070,200070,9597ba4cdcd0b9d332c6bef243374011,8cb668ddbb7015653fcab50d6dc1c6e1,84932f207f083b5c56ed359d5cf99746,,,,,cccf4baf6cd8c4a25ad4be2b05862bcf,,,,,
￥[NPC]ＮＥＷルピカ　ＴＶ１　Ｃ１[Se],,200079,200079,,8511f63aa801bd87da7e418fd36a6352,d8c746f15a32f6c3e1ad35dcbbbedd8e,,,,,cccf4baf6cd8c4a25ad4be2b05862bcf,,,,,
マールナチュール[Ba],Maal Natural [Ba],200080,200080,e1aa2e08644685e340bf210fe63178b8,039f608962064192499b838255d46186,b8a942d6e0a566f7935a97575e86a271,,,,,8ee95f13da9e3f49c47b4588b2b4ad95,,,,,
マールナチュール/2[Ba],Maal Natural/2[Ba],200081,200080,3e1d3b63708ce44747da7a04fa8c0732,039f608962064192499b838255d46186,b8a942d6e0a566f7935a97575e86a271,,,,,,,,,,
￥[NPC]セントラル普段着女　ＴＶ１　Ｃ１[Ba],,200089,200089,,119678c5a4ea2f0acf3c1b1d781945dd,8005285777b568f8125ede454b1a3a40,,,,,,,,,,
N-ショコラフェリチェ[Ba],N-Chocolat Felice [Ba],200090,200090,6d90e924572375d925c2e8bd5dbee3ae,6e9861115f6cd92afae440b112ad1b99,4a533242df907fe4b88d3b4111096fe4,,,,,a8e52eee30cfc4c4ec529877c5e0cade,,,,,
N-ショコラフェリチェ/2[Ba],N-Chocolat Felice/2 [Ba],200091,200090,374eb1155ada68f275b4b2c6dc7d7a63,6e9861115f6cd92afae440b112ad1b99,4a533242df907fe4b88d3b4111096fe4,,,,,,,,,,
N-エーデルゼリン[Ba],N-Edel Zellen [Ba],200100,200100,b691edd05266d8162444877d7553d009,50294aa9903261861222b29017f42815,ccac712d3e1e52dc21eed2d608003c3d,,,,,8ee95f13da9e3f49c47b4588b2b4ad95,,,,,
N-エーデルゼリン/2[Ba],N-Edel Zellen/2 [Ba],200101,200100,760d9b3c6301f04593a1e178d37d3fba,50294aa9903261861222b29017f42815,ccac712d3e1e52dc21eed2d608003c3d,,,,,,,,,,
N-エーデルゼリン/3[Ba],N-Edel Zellen/3 [Ba],200102,200100,c3168875a16021d58938bdfdf252ca43,50294aa9903261861222b29017f42815,ccac712d3e1e52dc21eed2d608003c3d,,,,,,,,,,
N-エーデルゼリン/4[Ba],N-Edel Zellen/4 [Ba],200103,200100,da8fb5e9cef1477826c982773a966cbc,50294aa9903261861222b29017f42815,ccac712d3e1e52dc21eed2d608003c3d,,,,,,,,,,
N-マギアセイヴァー[Se],N-Magia Savior [Se],200110,200110,3552885519f564749c168ec18e0a629c,acb8b388e8b936f1c5b06d7a68caeddc,b1ebbf808465e1462fb8bc420aa8a542,,,8824e86cad58362ab183214ddc102661,da5bb0c4eeb6a0b822d633ee2fd500d6,dbab9701acf0670944ceb934df76a3c8,,,,,
N-マギアセイヴァー/2[Se],N-Magia Savior/2 [Se],200111,200110,0fd8b5c61fd84a6e4fa62019e548e036,acb8b388e8b936f1c5b06d7a68caeddc,b1ebbf808465e1462fb8bc420aa8a542,,,,,,,,,,
クラークユニファ[Ba],Clark Unifa [Ba],200120,200120,1d54e0ff0f6f0b2ad5af674233813d67,8c9c4294cc83e1a8f82cb04cead98c84,ca901fd0665b78135f0cb45ae19844d2,,,,,66aba7a74dcbbff0714005ffef647a4c,,,,,
クラークユニファ/2[Ba],Clark Unifa/2 [Ba],200121,200120,e3bd593e6377c11b6639b289e2ad1d9b,8c9c4294cc83e1a8f82cb04cead98c84,ca901fd0665b78135f0cb45ae19844d2,,,,,,,,,,
N-タウリアラーグ[Se],N-Taulia L'arg [Se],200130,200130,d30d123531af8225919b7670fa5d499f,86e4d1a5777c3c7bdcc3833adf173287,a1d3c3a484250f7daf7b008876858054,,,,,67b237d14dbe38b4382204aaa6a48347,,,,,
N-タウリアラーグ/2[Se],N-Taulia L'arg/2 [Se],200131,200130,59be58ac715bd6b3100426501e687a68,86e4d1a5777c3c7bdcc3833adf173287,a1d3c3a484250f7daf7b008876858054,,,,,,,,,,
N-オウカテンコウ[Ba],N-Bright Blossom [Ba],200140,200140,094607a393812ada40117be860b1d7cf,e89edb8b797f0946293d4157119018b0,f3df40e2a8c06ee4babf2c45ae3c73ed,,,,,a8e52eee30cfc4c4ec529877c5e0cade,,,,,
N-オウカテンコウ/2[Ba],N-Bright Blossom/2 [Ba],200141,200140,115fab386da833bb9a5866e96e33052c,e89edb8b797f0946293d4157119018b0,f3df40e2a8c06ee4babf2c45ae3c73ed,,,,,,,,,,
N-ピュアメイドドレス[Se],N-Pure Maid Dress [Se],200150,200150,4a7554f525d4dd9539bf86ceac5ff834,2a444651781df32d589ab5a0ca538c87,13b4bc1cfe4e1b37c57be5595bba76f7,,,ec9455e347fb5e6d77d610b4721fec16,57b5355577c50e0211a91c51b6f5ba31,a8e52eee30cfc4c4ec529877c5e0cade,,,,,
N-ピュアメイドドレス/2[Se],N-Pure Maid Dress/2 [Se],200151,200150,99f4bca6ef662ab79ef7a01e9a5e85e1,2a444651781df32d589ab5a0ca538c87,13b4bc1cfe4e1b37c57be5595bba76f7,,,,,,,,,,
N-ピュアメイドドレス/3[Se],N-Pure Maid Dress/3 [Se],200152,200150,55e1e0acc1426f956e3535c9ca91dcbe,2a444651781df32d589ab5a0ca538c87,13b4bc1cfe4e1b37c57be5595bba76f7,,,,,,,,,,
N-ピュアメイドドレス/4[Se],N-Pure Maid Dress/4 [Se],200153,200150,85fab2f87cdcc42e800df9614bc138b4,2a444651781df32d589ab5a0ca538c87,13b4bc1cfe4e1b37c57be5595bba76f7,,,,,,,,,,
N-ウィオラマギカ[Se],N-Viola Magica [Se],200160,200160,633508e957902c95779dbd0b4e321836,5fa4ae5f205d7dda9555231d4b8cec7d,a8e76ef45c78b46bffa0c3dd5fb9f044,,,,,cccf4baf6cd8c4a25ad4be2b05862bcf,,,,,
N-ウィオラマギカ/2[Se],N-Viola Magica/2 [Se],200161,200160,7a542d38d70ed9bd01c1602bbf97d94d,5fa4ae5f205d7dda9555231d4b8cec7d,a8e76ef45c78b46bffa0c3dd5fb9f044,,,,,,,,,,
N-ウィオラマギカ/3[Se],N-Viola Magica/3 [Se],200162,200160,f5df76918ade365b20a65fb9c00e99b0,5fa4ae5f205d7dda9555231d4b8cec7d,a8e76ef45c78b46bffa0c3dd5fb9f044,,,,,,,,,,
N-ウィオラマギカ/4[Se],N-Viola Magica/4 [Se],200163,200160,00bc9cfb24d20f8d7d5b54bf25d38851,5fa4ae5f205d7dda9555231d4b8cec7d,a8e76ef45c78b46bffa0c3dd5fb9f044,,,,,,,,,,
N-ハピネスノエル[Se],N-Joyous Noel [Se],200170,200170,8bdd174ae9b7ff3f598e21d31b973c32,729e1e39ebf38b850834a98701549d53,b6f8e4ffddea75969d03fe0567d97c3d,,,,,d577bd05602a51776fd8cdb458ff1bb0,,,,,
N-ハピネスノエル/2[Se],N-Joyous Noel/2 [Se],200171,200170,b923a93eaf4ab1218f1472e3a4cb67ba,729e1e39ebf38b850834a98701549d53,b6f8e4ffddea75969d03fe0567d97c3d,,,,,,,,,,
N-ハートブレイカー[Ba],N-Heartbreaker [Ba],200180,200180,16d6240a475d42f62ae65186b7ad3443,217664b928edbd8521c7cb10c0d8fc40,881dfb5f61a772324aa3a78b5eb23b96,da89a59f2d19b74e743598672c927344,,2390ff78ce849ff47035351f3582fe40,2a39ce0110ae13f05f3be1cc4ef6e943,8ee95f13da9e3f49c47b4588b2b4ad95,,,,,
N-ハートブレイカー/2[Ba],N-Heartbreaker/2 [Ba],200181,200180,fde30476a8491e8b05c24c69c1f9bb38,217664b928edbd8521c7cb10c0d8fc40,881dfb5f61a772324aa3a78b5eb23b96,da89a59f2d19b74e743598672c927344,,,,,,,,,
N-サウザンドリム[Ba],N-Thousand Rim [Ba],200190,200190,bdda37f61e3cbcf0ff67543b023492aa,798aefed1b11f76383a635c757812604,759f336ad846a9dee34afdb6cd8b2aa2,,,,,d949c1e8dbb02e811c1ffdf48dddda09,,,,,
N-サウザンドリム/2[Ba],N-Thousand Rim/2 [Ba],200191,200190,2eb2e27fbe0d288a0bcb247bf117b612,798aefed1b11f76383a635c757812604,759f336ad846a9dee34afdb6cd8b2aa2,,,,,,,,,,
N-サウザンドリム/3[Ba],N-Thousand Rim/3 [Ba],200192,200190,43b70a88e930dff621996f40f8afccd9,798aefed1b11f76383a635c757812604,759f336ad846a9dee34afdb6cd8b2aa2,,,,,,,,,,
N-サウザンドリム/4[Ba],N-Thousand Rim/4 [Ba],200193,200190,34a415f3d7fd4acb81c4ae74d1106e7a,798aefed1b11f76383a635c757812604,759f336ad846a9dee34afdb6cd8b2aa2,,,,,,,,,,
ストラクユニフェン[Ba],Strak Unifen [Ba],200200,200200,c35a73367fa3050868b15ebc2ca22048,b097841e06d14c8b14924084dd274292,36692cd49e1796057097fb5c274b51ae,,,51feb716199090d287344e73209980c0,999c769bda9bccbe1f819aad281fc30a,cccf4baf6cd8c4a25ad4be2b05862bcf,,,,,
ストラクユニフェン/2[Ba],Strak Unifen/2 [Ba],200201,200200,b89ea2b53bafa6cc429c7e86bc045695,b097841e06d14c8b14924084dd274292,36692cd49e1796057097fb5c274b51ae,,,,,,,,,,
ストラクユニフェン/3[Ba],Strak Unifen/3 [Ba],200202,200200,9a0ff201bbc88dfd93934c856ad9b573,b097841e06d14c8b14924084dd274292,36692cd49e1796057097fb5c274b51ae,,,,,,,,,,
ストラクユニフェン/4[Ba],Strak Unifen/4 [Ba],200203,200200,93140000d735e9df84574b2652696d8d,b097841e06d14c8b14924084dd274292,36692cd49e1796057097fb5c274b51ae,,,,,,,,,,
