Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
ヴァルキスタイツ/B,Valkys Tights/B,200000,0,ee62871b5ea84c2992588e9d219bbd78,b3164edaf22fb410ff7b3f65442ace1a,913207bd685c043e7ab64506e41d948d,,,,,,,,,,
ヴァルキスタイツ,Valkys Tights,200001,0,de2eb6628ab473e7c3c6151ff21b8ef0,019f2cef8f162b02230f8cc785988e16,5cc0db39d454120f969240caa5ede85a,,,,,,,,,,
デュマーノタトゥーT2/B,Deuman Tattoo T2/B,200010,0,4d4f640d4570347daf5748707c19ffe8,b32e0512b4d51ffb965159098eb064a4,6808d7db915b9b041b6413f39db0a7fe,,,,,,,,,,
デュマーノタトゥーT2,Deuman Tattoo T2,200011,0,21bf46131633d87f3702535bcf12ca89,4da0353a2e7d711ff3e2a3e85a8776b6,ecd3302b5651e3808e394b435232c070,,,,,,,,,,
オペラーテコルセット/B,Operatii Corset/B,200020,0,09ce8846f2cec4b9240fa71a0bbcb9f1,81b3e56822c8c79f44d448d05f1f25d6,ff7d38c56b2962e5b8b5649cc0da711f,,,,,,,,,,
オペラーテコルセット,Operatii Corset,200021,0,f60b05b00789dd16c379630aa09eaad2,9772d3488ebd909f9c9e7363835233fd,bf15f6f3414cf38dbe77c92085e34ef7,,,,,,,,,,
N-クロームタトゥーT2/B,N-Chrome Tattoo T2/B,200030,0,cf51a46be506eb60e74e722a0cae0266,548e08347a47058d8b6c8f6d27edb4a7,72418b399b35cf30a20d429d715c1fb8,,,,,,,,,,
N-クロームタトゥーT2,N-Chrome Tattoo T2,200031,0,0fb9e20bf4f5927c59c431d177c99392,ca08b11889a50ce16d9c65c9be770ab4,ec2456753954f9e51a976e1a45d896af,,,,,,,,,,
チェストバンデージ/B,Chest Bandages/B,200040,0,ed8888806d673eda76465b8b4eda60bd,d9059d8347caabb102ab8f5b09e37900,97746b53709848a3717838ff391609b4,,,,,,,,,,
チェストバンデージ,Chest Bandages,200041,0,ce95b8bf0c8f9f2d779ecd00e14ce7c2,a99888878235e54ff1e09d04bf52b5f9,1e839b5fd0a281a057f46abbe6546ad1,,,,,,,,,,
カレッジスカー,Carriage Scar,200050,0,2881385df9d6024fd943f605adca234d,79d807a158fda269707eae46d46b2cd9,6d227e9aa460b54d5d3dfb19a621e402,,,,,,,,,,
N-タウリアタイツ,N-Pinstriped Tights,200060,0,0fe7dd4c692601b2f7345caf8ec7ff1c,5516165be2cdfe3aebc48f2dadc8b581,d5c089aa8611ce98d9c027d0f3856c1a,,,,,,,,,,
パピヨンタトゥーT2/B,Papillon Tattoo T2/B,200070,0,0cf30c550cdae762dffa2928b44112a6,0d06059c49a07105773b87cdb9ab4d71,03cab2f375de1ea1005167c8444f4c3b,,,,,,,,,,
パピヨンタトゥーT2,Papillon Tattoo T2,200071,0,78fe15d066469e908fe25a9659999ecd,c6772771b9fe9e245c4f9158c011ce82,55e257f3b7f0ebc129f581c903220b2b,,,,,,,,,,
N-ゲンショウタイツT2/B,N-Genshou Tights T2/B,200080,0,8e3d2040571c996ca69e169fcd5b109f,555ad9af7421fe5505bfd5b4c9f95a71,32aa244e3aaaea4bd7a8044ff2b4a314,,,,,,,,,,
N-ゲンショウタイツT2,N-Genshou Tights T2,200081,0,73ad489b7fb8a18b198d093bef467559,6bd5063f731f6b4f861b54770b22dbd4,70b549ab6c5ec079287a51b3851931a0,,,,,,,,,,
ローゼタイツ/B,Rosen Tights/B,200090,0,ac877855f40609fb69e5eb1cadb2e3b6,bf15614158006a2dc86fc569c9bb7b43,aad7175512b90dd1a59e4af2256265dd,,,,,,,,,,
ローゼタイツ,Rosen Tights,200091,0,6abefc00f6203ff0878ba2ea5475cae3,dcf74205111da9bcd77d9fb3bdca74e0,64998d5e21b794506af756e0e8c0572e,,,,,,,,,,
ペザンテニーソ/B,Pesante Thigh-Highs/B,200100,0,dbebbf790b570566973cca1d64098410,66233681a7da94430286ef608f5535b3,8d7b59bc367c7088d3989fe66cf99e10,,,,,,,,,,
ペザンテニーソ,Pesante Thigh-Highs,200101,0,7fd4da041fc5de5cfbe8f21952d2c7ed,71fd1de479d1101545f69f46acf9e9b5,a5f76a0cc26cd093f85530d0e57137e1,,,,,,,,,,
マリーネアニーソ/C,Marina Thigh-Highs/C,200110,0,782b581d69acfab40fcee1c23616779e,cc2925ce0490251d0b08a9439cab8466,010f1fb90ae1883d8778093d1e4c38bd,,,,,,,,,,
マリーネアニーソ,Marina Thigh-Highs,200111,0,511e918c3464f20e2d7ae887edf7ae4f,7bfea6fd967de7a2b14d4bc3cc65fe76,9fbca3c0cf4ae2c6ebf108abfb9d3119,,,,,,,,,,
マリーネアニーソ/B,Marina Thigh-Highs/B,200112,0,f88712928b2a0705574e5e3133406e9f,d15cfb01ec6566e98b4e0e07ca171063,2dede456389105973c62f182f3d225d0,,,,,,,,,,
ブレイズペイントT2/B,Blazing Paint T2/B,200120,0,4766d430c8da5cec0de84c4e6961738a,3c157ea2aa3f614e93a7fd5707d38ad1,60145507eba07c4f0b5cb5257214e8bf,,,,,,,,,,
ブレイズペイントT2/B2,Blazing Paint T2/B2,200121,0,226761cb931e8e2069bdec9757e0b85e,837e88cb12674a8e75ac454de9d6f61a,7bf6eb78e58b757a73e28d31a1966afb,,,,,,,,,,
ブレイズペイントT2,Blazing Paint T2,200122,0,5a022927950696e6c13a3fe604f6a32a,a7bcc13625335bd42acd71bfa2088f97,a0f3f9c45239ac8b2bc79817e23fa1d5,,,,,,,,,,
レジェーラアンダーウェア/B,Leggera Undergarments/B,200130,0,1fade7e029912d73102e1c697a5d2807,505c5f5db49bef11a8a59e2d26b5b4a6,0f173740cd0c02815fbc34ac0cf5979e,,,,,,,,,,
レジェーラアンダーウェア,Leggera Undergarments,200131,0,c6fe44fc6068d8fd673697d873523b2e,a6a05a42cbd3c7486c73149eda0f66d4,a5ec25666f83cb35d6e344b9d6752cb6,,,,,,,,,,
エスティヴタトゥー/B,Estive Tattoo/B,200140,0,08caa6d3171b94e38e8f2d84a2ed422d,e99f6339f30b8697e158098c5647985b,c4e285f095dd1e77185a9d3224ff46ad,,,,,,,,,,
エスティヴタトゥー,Estive Tattoo,200141,0,a616b1b548d7570b04d22ba3a667f8ef,37e17123e2c68a762a77b379b563c769,892003660a298d7911e7ec6bdebee9a1,,,,,,,,,,
ラパンナタイツ,Lapin Tights,200150,0,28d545d9c9762bced2b6754939ffeba7,152bab818a467db13ef2aef72d0596df,b4da022f83f89235e79542e28df6736d,,,,,,,,,,
ラパンナタイツ/B,Lapin Tights/B,200151,0,beccf200c62bdfd7257d5c11f8dd6470,38f2ce457f4d94eea999b8d2f120a163,e44a0a4022408947264dea4234bce1d3,,,,,,,,,,
ラーシャスタイツ/B,Luscious Tights/B,200160,0,d2cc5df865156cbde392ba673689666b,53f11c1a4bcfb7130c11d14cdf128b37,44064fecbc3c369b0c64a03c01059f69,,,,,,,,,,
ラーシャスタイツ,Luscious Tights,200161,0,dd8628dcf6d1758ab8e34f93e940c40a,402e68372807063f397ac4121a077d5b,56357c099e94eac1f9db927231b0c57d,,,,,,,,,,
パルスハートタトゥーT2/B,Heart Pulse Tattoo/B,200170,0,88ca694074a5744ffae971131f9b8f4f,1e32ca731a435aa3a990d13a9877baba,4a2dd62a3973c97b202405ae5cdd6386,,,,,,,,,,
