Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
,,200010,200010,f38695367f561b9f0819ab6b62727d5d,9edbd6d72ffdd1514a70af0433a3e44f,7ff7a7672c37a620d7e3af78d349c59b,,,,,,,,,,
アライアクォーツ[In],Allaia Quartz [In],200040,200040,d98605556cbb5d8b29ffc162d14bd520,5e7190763f9e145daf07c5ff2c4a981d,b87b170500e5897c9674c575b455dba6,,,,,,,,,,
アライアクォーツ/2[In],Allaia Quartz/2 [In],200041,200040,16b680f75718abdf535fc5154725f110,5e7190763f9e145daf07c5ff2c4a981d,b87b170500e5897c9674c575b455dba6,,,,,,,,,,
[NPC]アライアクォーツ[In],Allaia Quartz [In],200049,200049,,,,,,,,,,,,,
ディリープルーズ[In],Diri Prudis [In],200060,200060,a0eec4b8e4e56cb1e8cadfc0e53d2617,63fed339ff305bda16acb1aecdd5f6a1,3016ee95de418e9f22beacd965ad3036,,,,,,,,,,
ディリープルーズ/2[In],Diri Prudis/2 [In],200061,200060,1dc4533f55080548c3011e74473615c5,63fed339ff305bda16acb1aecdd5f6a1,3016ee95de418e9f22beacd965ad3036,,,,,,,,,,
N-オウカテンコウ[In],N-Bright Blossom [In],200140,200140,7d1695775a8f59936cc83d5417fee19b,bae793c3393b795992e8972d2894746b,9ab435a8c29cb44bfa713fc4d963194c,,,,,,,,,,
N-オウカテンコウ/2[In],N-Bright Blossom/2 [In],200141,200140,7c5f3c8f46993ffd9cb6f2ed6f7679b8,bae793c3393b795992e8972d2894746b,9ab435a8c29cb44bfa713fc4d963194c,,,,,,,,,,
N-ウィオラマギカ[In],N-Viola Magica [In],200160,200160,dd7874f04c8c6a7d9c472d34c8e32316,891a51958c96e14e410f89e8e677656e,0ff13f629cf56f8cb15629976cc3a407,,,,,,,,,,
N-ウィオラマギカ/2[In],N-Viola Magica/2 [In],200161,200160,76183b87cff8d5f02741a8d3a5455d8d,891a51958c96e14e410f89e8e677656e,0ff13f629cf56f8cb15629976cc3a407,,,,,,,,,,
N-ハートブレイカー[In],N-Heartbreaker [In],200180,200180,41d81546a1f008b4caba67273d6e3593,1501fbcb74c8a94c1d9a7dbfb45e3ae6,df112786c8d44e78570f54c339962981,,,,,,,,,,
