Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
[Unnamed 200010],,200010,200010,799087507c281cecc8af90f0d84ddbbd,,,,,,,,,,,,
[Unnamed 200020],,200020,200020,,8421ccba6749be690d8ae4cfc6d440e8,75c3458b4ef13b79852447ce54f68617,,,,,,,,,,
オペラーテユニファ[Ou],Operatii Unifa [Ou],200030,200030,ebc75decb8aac875bde3bba2ed9f1ee1,c6f6d2ce09554b448016550e9f57d229,56f1c2ba6bc0d61d09a23285a6fc6ee6,,,,,,,,,,
オペラーテユニファ/2[Ou],Operatii Unifa/2 [Ou],200031,200030,e2ce4f3402e3130354482eba03999574,c6f6d2ce09554b448016550e9f57d229,56f1c2ba6bc0d61d09a23285a6fc6ee6,,,,,,,,,,
オペラーテユニファ/3[Ou],Operatii Unifa/3 [Ou],200032,200030,e123d8b667973d88e4f943d98a50c855,c6f6d2ce09554b448016550e9f57d229,56f1c2ba6bc0d61d09a23285a6fc6ee6,,,,,,,,,,
オペラーテユニファ/4[Ou],Operatii Unifa/4 [Ou],200033,200030,b120a543aa5319418735cd6de49f5a89,c6f6d2ce09554b448016550e9f57d229,56f1c2ba6bc0d61d09a23285a6fc6ee6,,,,,,,,,,
[Unnamed 200039],,200039,200039,,abe362e6bb8070f2864878dd1b00e006,a80018b2e69d08070342abbab7f6ce2e,,,,,,,,,,
[Unnamed 200050],,200050,200050,f2bc39131f0187fb554eb1534912ff28,23b6477e5ec0fe0286b813678cae8a00,e8c595093c2fac223be827eb23ab6491,,,,,,,,,,
[Unnamed 200051],,200051,200051,5aa19ca2b8ddabea119055116159fc29,33afba236d89d66e21e2a51de4e678ed,4893945ade5136bfecf89a7cfd661ece,,,,,,,,,,
[Unnamed 200052],,200052,200052,b80cadb6ac1dcb6fd2edeea5aafd451f,bbbf876e8980161f9d662c9b4dbdd8b6,76f6ff1511e3e66c40ad1bb43408b929,,,,,,,,,,
[Unnamed 200053],,200053,200053,29008fc1c6f16fdf7dd81b7c026775f7,53998435a3caa94089be2646cbe59727,9f9441c60d8823b5a978f6e8ab9c6dc8,,,,,,,,,,
シュテールリディーア[Ou],Stehr Lidiya [Ou],200550,200550,297f19b453dc4cfac604adbeeb6ca1ae,a6b706e0ed571c0bd5bd8b8a4069ec6b,d5076df0ff880608363ec9fb1c9b427c,,,,,,,,,,
シュテールリディーア/2[Ou],Stehr Lidiya/2 [Ou],200551,200550,0e1e1111f4f1fc15d6d01777e8a21d76,a6b706e0ed571c0bd5bd8b8a4069ec6b,d5076df0ff880608363ec9fb1c9b427c,,,,,,,,,,
リテムヴァルキス[Ou],Retem Valkys [Ou],200610,200610,4f2ed37ff072147f2f1617a15e0b33ed,7dd27e0832e7c3ca282826bf4f653233,14a0cff9a38bc5b06d506672510644b1,,,,,,,,,,
リテムヴァルキス/2[Ou],Retem Valkys/2 [Ou],200611,200610,98238d8abee3d068557b0a42b7a59364,7dd27e0832e7c3ca282826bf4f653233,14a0cff9a38bc5b06d506672510644b1,,,,,,,,,,
マジスティアマキア[Ou],Magister Machia [Ou],200660,200660,d3bc1026559cce1a36f974519d9b73f0,7a19c241eb70809cd4c2b39edeea279b,e261771cb065d0e846792d4b5c99cea6,,,,,,,,,,
マジスティアマキア/2[Ou],Magister Machia/2 [Ou],200661,200660,6e53162a9e9a4487275f4791cdd9787d,7a19c241eb70809cd4c2b39edeea279b,e261771cb065d0e846792d4b5c99cea6,,,,,,,,,,
ファシーノディアボラ[Ou],Fascina Diavola [Ou],200670,200670,c1b2eb115df327c8ea4aefc372160ef8,e6cae3e62043a321e555ada67b5074ae,b5fb6d6cc9f146503d7cb4530da47006,,,,,,,,,,
ファシーノディアボラ/2[Ou],Fascina Diavola/2 [Ou],200671,200670,4d374291c908c0f30893d8dd6651dc07,e6cae3e62043a321e555ada67b5074ae,b5fb6d6cc9f146503d7cb4530da47006,,,,,,,,,,
