Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
ベスティーバンドラス[Fu],Besti Bandoras [Fu],500030,500030,729e66a18e323d8f26d2db5814f58436,2f989be4c083530d968a4b541eaacf20,cabec0abecacc008796bebc062347e28,,,,,64b28414fa1a655b067d6fa5b05777f5,,,,,
ベスティーバンドラス/2[Fu],Besti Bandoras/2 [Fu],500031,500030,e8ea68b49a2453e47a9f8632289dfe1a,2f989be4c083530d968a4b541eaacf20,cabec0abecacc008796bebc062347e28,,,,,,,,,,
ベスティーバンドラス/3[Fu],Besti Bandoras/3 [Fu],500032,500030,0c506e74ceaae64ed3b443a578d95a1c,2f989be4c083530d968a4b541eaacf20,cabec0abecacc008796bebc062347e28,,,,,,,,,,
ベスティーバンドラス/4[Fu],Besti Bandoras/4 [Fu],500033,500030,44fe987bcb835851ee3453ffc613815d,2f989be4c083530d968a4b541eaacf20,cabec0abecacc008796bebc062347e28,,,,,,,,,,
N-ラッピースーツ[Fu],N-Rappy Suit [Fu],500040,500040,f688d5aa7a145abd2a392f041bb614aa,6eadd8a0799c8ce603d8179082ddc9c7,39c116247b3a9acad4e4fca129fc1cc3,,,,,58e6db88e5501de97b8a71273aed256d,,,,,
ゾンビラッピースーツ[Fu],Zombie Rappy Suit [Fu],500050,500050,b7d92f82e5a9fbac4571737c3ca2676a,ec4edba65180eb95ed6c6fd5af383e4d,5ebc5f98a4cb2aad59dc6b48a706bdf6,,,,,58e6db88e5501de97b8a71273aed256d,,,,,
N-ラッピースーツ/B[Fu],N-Rappy Suit/B [Fu],500060,500060,ca05a88559a80b26cefebd5796fb5417,2ba1a6147770576399c5a114b3b59e6b,9cf573bf1d783958fdb60c4cfb77ad5e,,,,,58e6db88e5501de97b8a71273aed256d,,,,,
ファイティングパンダー[Fu],Fighting Panda [Fu],500070,500070,558ecffacfeac089a671d3e4d3abe919,104b63cf20b928dc4f32efc31a69dbe3,f121ff5476861b73059cdfb2642bc111,,,,,c1211982ac1b547053ed1012be982e84,,,,,
モフワタスーツ[Fu],Cotton Ball Suit [Fu],500080,500080,cf57c16288783ba6b0f38d6556b21fdf,465273985d5b452de4b60fafa1c45c50,71129307d56b3be3b7af1fbc344ac2b0,,,,,530a642c491c69d39957947d384dfd30,,79c3fe330d663110afd150f77c27aeaf,,,
モフワタスーツ/2[Fu],Cotton Ball Suit/2 [Fu],500081,500080,f75dffe1cfcdc1ccae9b0620683656f2,465273985d5b452de4b60fafa1c45c50,71129307d56b3be3b7af1fbc344ac2b0,,,,,,,79c3fe330d663110afd150f77c27aeaf,,,
RA-PEXストロングワーカー[Fu],RAPI-X Hard Laborer [Fu],500090,500090,3a8f8e9bcbe2f4842d74362619be1bc0,c056f4e5c3bc6f8fb53a76b2bc65b774,ed5a848037183b87365fb14661350068,,,,,fd354b61dbc6cbac5f46cb85d4806f4e,,,,,
RA-PEXストロングワーカー/2[Fu],RAPI-X Hard Laborer/2 [Fu],500091,500090,cabbb30f62e991b982dd6ac28da0dd96,c056f4e5c3bc6f8fb53a76b2bc65b774,ed5a848037183b87365fb14661350068,,,,,,,,,,
ファイティングパンダー/B[Fu],Fighting Panda/B [Fu],500100,500100,753e7929316425f0fc38e5721521d7ab,b192f72c6cfad97610edbd977c41c1b7,b8f295d5f6ba3a6f7b27d1f149bd1f65,,,,,c1211982ac1b547053ed1012be982e84,,,,,
コンバットパンダー[Fu],Combat Panda [Fu],500110,500110,a1d3b3fe5f4c21042fd6c88da5f7ab58,dd5435cce114e5706a507cc1534cbe18,034384cb4c5fda6093a753f68976e1ba,,,,,c1211982ac1b547053ed1012be982e84,,,,,
コンバットパンダー/B[Fu],Combat Panda/B [Fu],500120,500120,16f288595444469af318fc6f296c2b23,d76110e358bfb3fa4d9f0d2a3d081de9,cb6e43b1d9c7fdcf03dad7985f20fade,,,,,c1211982ac1b547053ed1012be982e84,,,,,
N-ラッピースーツ・ミニ[Fu],N-Rappy Suit Mini [Fu],500130,500130,fca5c6330fd6985589c6ddf1e34da3a2,84e56a30b4e414ccb746558c0b6a87e9,272e3179ea48e335401b01a19b72a317,,,,,73d81693b9150e3b092c8466372c0ff2,,,,,
N-トナカイ着ぐるみ・ミニ[Fu],N-Reindeer Costume Mini [Fu],500150,500150,2f9c26d6a005de8cc3e875f0260aaba0,99bf2e262aa06ae7e846e74d40c34a9c,e20db9735251d89dae4456cd3a2eb741,,,,,c1211982ac1b547053ed1012be982e84,,,,,
N-ラッピースーツ・ミニ/B[Fu],N-Rappy Suit Mini/B [Fu],500160,500160,2f3a05937684e832fa3d7c6fbe97050b,b6b8e4505ee17bad1d5e0d87665a2258,a0fbfe88750dfe2d62e0c74601bb2bcb,,,,,73d81693b9150e3b092c8466372c0ff2,,,,,
アインズ・レプカ[Fu],Ainz Replica [Fu],500170,500170,6f0944c95f239afe9f4cd08f56539e37,e040e6c1d96529994ae8292419020070,f6ade661690d40a462124d8c65fa3a69,,,,,02702314f3a0ef0861eb6188cfe23e9e,,,,,
,,500190,500190,,,,,,,,c1211982ac1b547053ed1012be982e84,,,,,
カスタムアニマルスーツ・ミニ[Fu],Custom Animal Suit - Mini [Fu],500210,500210,bd51513e10dd25a7c5460462dc0a9850,745e32b8d79d3909e6b20735d3cdc071,e4d7b6b9d57023f07909b973505fdbb1,,,,,8325e0caef2e88335284c16336007532,,,,,
モモン・レプカ[Fu],Momon Replica [Fu],500220,500220,b4fc4352ce4012cbf14952d1a237dac6,054da6ee00a87123a5bdb9b6704b2166,d241b9d840c23444b357155873894aba,,,,,02702314f3a0ef0861eb6188cfe23e9e,,,,,
RA-PEXストロングワーカー/B[Fu],RAPI-X Hard Laborer/B [Fu],500240,500240,0d08b526cc00fc797300548ca228a39e,33271a78b6f206ecdca26cbc1846ef6e,1dffedff9bdac4055992583a1ea319cc,,,,,fd354b61dbc6cbac5f46cb85d4806f4e,,,,,
カスタムアニマルスーツ・ミニ/B[Fu],Custom Animal Suit - Mini/B [Fu],500250,500250,fdbebd3114d3072bc21b85c38991e07c,b483381f586a4db99d08d3aef1639061,f10ffc02e11bd71c1b8a4db2d3183529,,,,,8325e0caef2e88335284c16336007532,,,,,
N-トナカイ着ぐるみ・ミニV2[Fu],N-Reindeer Costume Mini V2 [Fu],500260,500260,54d21bcb91c69ae681d59b074790ae1b,a78ef884966cb9d01a4532e0beacbfce,491f369f9e46f0ccf0782d1787984661,,,,,c1211982ac1b547053ed1012be982e84,,,,,
,,500270,500270,,,,,,,,,,,,,
