Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
ブレイブタトゥー/B,Brave Tattoo/B,100000,0,583ffdd04b6e7639f5f45a5a91ab2c24,7bc50caa2dc9ba04f6444b3e2c444fee,74efb7f750c32c20b55b4a31b795ef24,,,,,,,,,,
ブレイブタトゥー/B2,Brave Tattoo/B2,100001,0,bdb945c1af91dda7a278ebf518315b4d,7038bfd0e1308c3cc65d70a326ab64ea,d2f233e861d1c86c189b57451f2e8a01,,,,,,,,,,
ブレイブタトゥー,Brave Tattoo,100002,0,033e0558966e498620146bb50db7f108,e71cbf69a5e414f5c726686f8a777175,01a02983c2ea15479c662ab5a60f43d4,,,,,,,,,,
エアルノタトゥー/B,Ael Tattoo/B,100010,0,c85c0b30ad6fb52e0384a730c83de901,27997923918174222029dd25ee88cbb2,a609bbc26fb8ece9180893bcd3a02cb7,,,,,,,,,,
エアルノタトゥー,Ael Tattoo,100011,0,e228bc56bb7d5fcfa50b704de1b46df8,a2cebb4a0bba0c96c26a809d8fe5107c,5adac0950463945ffb0c65091bc84961,,,,,,,,,,
N-クロームタトゥーT1/B,N-Chrome Tattoo T1/B,100020,0,f70ba81f8e91f25bf6ce9b9e1e3ea8c7,5492308f7d79f7c433a37851391ce835,242677c588dc2a04066d9af20be90034,,,,,,,,,,
N-クロームタトゥーT1,N-Chrome Tattoo T1,100021,0,873d15779d8670b84966cf967416da29,40834b117de8fb5f7c7fb67f7e8b2979,476c9f099f64fd6f0ee028fc34b6d197,,,,,,,,,,
デュマーノタトゥーT1/B,Deuman Tattoo T1/B,100030,0,ff9007038429d8d2f532439e9fb4b6ce,12478209a99f5477f139a36a5c8d6a81,0471ec07dfbc019d328769ef13fa2e21,,,,,,,,,,
デュマーノタトゥーT1,Deuman Tattoo T1,100031,0,b163ac9eb9d83e3be4e83f274630cab6,aca4524c7521dde33b65aab961e62f69,f24bade9a47fdd24ada2a0c82093e966,,,,,,,,,,
アライズスカー,Allies Scar,100040,0,4996ca8b2ca1a70ecb02e24ff82b2bba,44d5954487a5b1c58851b6ef497958ae,c879a8800666e4719c874a7977d79092,,,,,,,,,,
ドラグニカタトゥー/B,Dragonica Tattoo/B,100050,0,a2c658c13d09a0f115a95ff8bd5037ff,d1e2b6a03e41c126c7d963c12cafede0,67c7b9ce2d5de4873a97d75e2651d3eb,,,,,,,,,,
ドラグニカタトゥー,Dragonica Tattoo,100051,0,4857909eaabe093e6ac0f35bdea80e63,e6c6082b288df233ca27a1db52143e4e,fa5350af7ffb48d51938d35008411f50,,,,,,,,,,
パピヨンタトゥーT1/B,Papillon Tattoo T1/B,100060,0,4b7e70daac994e73a6f2799bdb7245e6,6edfaf4f3293e53f6c96765da1027621,ec1b2a2452246983e57c4385437e355b,,,,,,,,,,
パピヨンタトゥーT1,Papillon Tattoo T1,100061,0,10821ec4c2488e33eabe61dabeaaa0f3,7b2565cda1666779d2f224aad4e1ae26,a21d64fc77def3ac9e528d562f6f909e,,,,,,,,,,
