Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
メイズクォーター[In],Mates Quarter [In],100010,100010,d66a6866e96086cc6b875cc58866483e,07116b986c450ebb5752706350b78853,7f6159fbdafc655d8cf7c20edc1c0c80,,,,,,,,,,
メイズクォーター/2[In],Mates Quarter/2 [In],100011,100010,58361d0ba83a752609a163987c45f65f,07116b986c450ebb5752706350b78853,7f6159fbdafc655d8cf7c20edc1c0c80,,,,,,,,,,
ゼネスティーフ[In],Zenischief [In],100040,100040,f8646a0770842b2b28d0d746173fdc5f,527db8987285de1797af1a27db20ef99,809c85305ed3cafcd11a82d46a306d68,,,,,,,,,,
ゼネスティーフ/2[In],Zenischief/2 [In],100041,100040,95f1f414ee90dd350b8662e5eb7ac54e,527db8987285de1797af1a27db20ef99,809c85305ed3cafcd11a82d46a306d68,,,,,,,,,,
エアリオウォルダ[In],Aelio Wardat [In],100120,100120,8e8b7a99e9ca6044ceca0f39dfdb7a64,51c448bfd797e29b501d74e2c4e3a167,c68483fa755dde3be719ed0c68206874,,,,,,,,,,
エアリオウォルダ/2[In],Aelio Wardat/2 [In],100121,100120,6164655c4cacb85c22b05bc4b5cf6f77,51c448bfd797e29b501d74e2c4e3a167,c68483fa755dde3be719ed0c68206874,,,,,,,,,,
N-ブライトプリンス[In],N-Lustrous Prince [In],100200,100200,f7693ffd9488c35dbce37f9568b307f5,8bf829a4e703299c84a5d42ce1155d98,3a23fa6c85c2b0aeca3107b5b6cd741d,,,,,,,,,,
N-ブライトプリンス/2[In],N-Lustrous Prince/2 [In],100201,100200,6eff723627c921ec69655463f09522d2,8bf829a4e703299c84a5d42ce1155d98,3a23fa6c85c2b0aeca3107b5b6cd741d,,,,,,,,,,
N-リチュアルクロース[In],N-Ritual Clothes [In],100210,100210,a95d3fef085af52856e6a8df98cdef78,93b0cbdde785e0c071aabd8a1b25dfcb,21ce73f18365a0b06da4b6455abb4c71,,,,,,,,,,
N-リチュアルクロース/2[In],N-Ritual Clothes/2 [In],100211,100210,8f18801a4b38bca4adf3b15c17ebd245,93b0cbdde785e0c071aabd8a1b25dfcb,21ce73f18365a0b06da4b6455abb4c71,,,,,,,,,,
ムーヴァスインナー[In],Movas [In],100220,100220,bdfccb40f0d13b9e833eb773b0a70c7b,7566b1a3166829f3e3d1a2d2a1df8796,47dd7404080b38eb35684936f3f0047d,,,,,,,,,,
N-ボクサーパンツ[In],N-Boxers [In],100230,100230,daff4ddda3236df0dda9fb1956dde162,9d83641bf84d8c859160e83b762d54b8,718610ce3e8cbc90493db3245ff8b3cf,,,,,,,,,,
N-ボクサーパンツ/2[In],N-Boxers/2 [In],100231,100230,6312c263aae7eebc247f916dd46e9bec,9d83641bf84d8c859160e83b762d54b8,718610ce3e8cbc90493db3245ff8b3cf,,,,,,,,,,
N-バルクスタータ[In],N-Monumental Agent [In],100240,100240,0f7be7693a793a9507d2ceea751490e8,d15a4ec07e91482c13ad4d1866528f80,d14d11bd516ebf651af8bdfb523bc478,,,,,,,,,,
N-バルクスタータ/2[In],N-Monumental Agent/2 [In],100241,100240,69ddf9396286e96ee059e9010c75b11b,d15a4ec07e91482c13ad4d1866528f80,d14d11bd516ebf651af8bdfb523bc478,,,,,,,,,,
N-イービルテラー[In],N-Diabolic Terror [In],100270,100270,ca4e0773e5f117268fbb8bcf52bced73,1c2b7eda7ae396aa42173f3d1ea6dc9f,ed12256dfeed435be756561d225fc844,,,,,,,,,,
N-イービルテラー/2[In],N-Diabolic Terror/2 [In],100271,100270,3b905f0f2ff388b98389704309f5872f,1c2b7eda7ae396aa42173f3d1ea6dc9f,ed12256dfeed435be756561d225fc844,,,,,,,,,,
N-リスティボワーヌ[In],N-Risty Boynes [In],100290,100290,e7dfbce594341f62edb03962929da454,ea8bf3c9cbb8615d5929a327f98aa1c5,62a0a666f0a750127cc824b680c3f82a,,,,,,,,,,
N-リスティボワーヌ/2[In],N-Risty Boynes/2 [In],100291,100290,7d228cebb33ed77afb2a139e4a2cc91f,ea8bf3c9cbb8615d5929a327f98aa1c5,62a0a666f0a750127cc824b680c3f82a,,,,,,,,,,
N-タンクトップ[In],N-Tank Top [In],100360,100360,c6efe86cbc96e81997d0270f2d6ed725,9cdc78f443e4cd1c7e7b9d74679bc958,cab11697dc3ee7d90e361dadea6c833b,,,,,,,,,,
N-タンクトップ/2[In],N-Tank Top/2 [In],100361,100360,8e01408397802f9cd2fcf19bc91a94da,9cdc78f443e4cd1c7e7b9d74679bc958,cab11697dc3ee7d90e361dadea6c833b,,,,,,,,,,
ジュウオーサラシ[In],Juoh Body Wrap [In],100370,100370,1a6baf6ce5caf1c5881b68ce9f399e8e,4d7c0bf28e4562d2e3c2c9d66360b756,4e14a587d0a6ea339c43f53f156282b4,,,,,,,,,,
ジュウオーサラシ/2[In],Juoh Body Wrap/2 [In],100371,100370,625854d4e44d600b7bb3e5a0d0155db4,4d7c0bf28e4562d2e3c2c9d66360b756,4e14a587d0a6ea339c43f53f156282b4,,,,,,,,,,
