Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
オペラーテユニヴス[Ou],Operatii Univus [Ou],100020,100020,472b39a570ad96fd3e236b3904c9f4be,4b4a7183dd45a2e3176d8b28c1851629,cacc03292c4f201295247ec95054d3a4,,,,,,,,,,
オペラーテユニヴス/2[Ou],Operatii Univus/2 [Ou],100021,100020,49be08b3259e12b105282abe4b1289b7,4b4a7183dd45a2e3176d8b28c1851629,cacc03292c4f201295247ec95054d3a4,,,,,,,,,,
クラークユニヴス[Ou],Clark Univus [Ou],100030,100030,defb847f5ba9a534097c90bb333026c0,2c9ffbb37a01aebd8c432e3492dd81d9,2dc26469c23d7a1686165b021e7c7801,,,,,,,,,,
クラークユニヴス/2[Ou],Clark Univus/2 [Ou],100031,100030,3effd87b27e8eb612d13d1d46fc1555b,2c9ffbb37a01aebd8c432e3492dd81d9,2dc26469c23d7a1686165b021e7c7801,,,,,,,,,,
ゼネスティーフ[Ou],Zenischief [Ou],100040,100040,80fccf35c664f7c9f512ab9c96f2ec9c,913168ac31df7bac3c1841f09bc841a1,8caf253658d714c4706a52c4c5013c30,,,,,,,,,,
ゼネスティーフ/2[Ou],Zenischief/2 [Ou],100041,100040,c0a2dc97b1f74bb368e47e958eb3e5c5,913168ac31df7bac3c1841f09bc841a1,8caf253658d714c4706a52c4c5013c30,,,,,,,,,,
￥[NPC]セントラル服[Ou],,100049,100049,17d884c697e6eec11e5042b07885bd6f,af39086b0e8fc0b7e1c34a2ce90c214e,47d62cb32f56dba1dfe729b1187006bf,,,,,,,,,,
ヴァルトメンハイト[Ou],Vollkommenheit [Ou],100350,100350,e02c98106d358ce612e416d2961f69d6,214b7086f240046fe8eeac497a663fb0,218788f828a25c4ada029e6ea069dea4,,,,,,,,,,
ヴァルトメンハイト/2[Ou],Vollkommenheit/2 [Ou],100351,100350,8e3fcd5a2af88b12965a90540ef3f0ad,214b7086f240046fe8eeac497a663fb0,218788f828a25c4ada029e6ea069dea4,,,,,,,,,,
ヴァルトメンハイト/3[Ou],Vollkommenheit/3 [Ou],100352,100350,6c86387a5968bb71f966f3af91fb49d7,214b7086f240046fe8eeac497a663fb0,218788f828a25c4ada029e6ea069dea4,,,,,,,,,,
ヴァルトメンハイト/4[Ou],Vollkommenheit/4 [Ou],100353,100350,e7cc0a99f0b2ae4c79ea08c33d660a5f,214b7086f240046fe8eeac497a663fb0,218788f828a25c4ada029e6ea069dea4,,,,,,,,,,
ルーデスヴェール[Ou],Loosse Veil [Ou],100410,100410,21673d94efea920e1c272fa45f4bc79a,02d6af1b47f165e79e11398402531fae,97647ee77a20a74ab8394cf4d4bf2f07,,,,,,,,,,
ルーデスヴェール/2[Ou],Loosse Veil/2 [Ou],100411,100410,45f91f21586786e0dfd3f3f2fa6ec13e,02d6af1b47f165e79e11398402531fae,97647ee77a20a74ab8394cf4d4bf2f07,,,,,,,,,,
シュテールクリーゲル[Ou],Starr Krieger [Ou],100430,100430,4ec686529356dc23894fa25727c5c1b0,b0738c98e05ec2a8cf307987e29a6a88,c7265624c1272a7c7a346fa1bc521f9e,,,,,,,,,,
シュテールクリーゲル/2[Ou],Starr Krieger/2 [Ou],100431,100430,9a9b53aa912cc4ab7cb77f4ad2f808f3,b0738c98e05ec2a8cf307987e29a6a88,c7265624c1272a7c7a346fa1bc521f9e,,,,,,,,,,
