Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
コモントゥース,Common Teeth,100010,0,ddb276eaba1dd59c6e380a7b69767c22,7368345a140a6aa3c8463ef1cf50f9c6,,,,,,,,,,,
,,100019,0,,810af06c7ccb4fe9de08bb5d52afa4db,,,,,,,,,,,
ワンダフルトゥース,Wonderful Teeth,100020,0,f42c0a224a284d6948b7a5e8707e1c3d,51950d88250789822defc098c57b9c9e,,,,,,,,,,,
ダブルトゥース,Double Teeth,100030,0,0d18948a330c7504a329bbcc655e7948,e35fa86d0cee678bcd7347aa82dc0f95,,,,,,,,,,,
ヴァイパーマウス,Viper Mouth,100040,0,11e1ed51ab8c5d64329829f62e185231,acb28fc0097e5870913ad7ebe875aa14,,,,,,,,,,,
ヴァイパーマウス/2,Viper Mouth/2,100041,0,11b386d7ec0372355f7f440f3a03fa03,e107416df278d0e0b10665513ff52657,,,,,,,,,,,
ヴァイパーマウス/3,Viper Mouth/3,100042,0,9d1e69d5942058ea739cdf6ac16a2299,3addd6bba115d8273ab5e9de25324835,,,,,,,,,,,
メタリックトゥース,Metallic Grill,100050,0,ec4da3fab77d2867ec1fa80ac4bef0be,82a09ad5affaf5c91df8862540e12cac,,,,,,,,,,,
メタリックトゥース/2,Metallic Grill/2,100051,0,6027d0c40fb04bad5604bd7ea07c2bae,4000c43a033ec1f2b3cafddc4ba24984,,,,,,,,,,,
ピアッシータン,Pierced Tongue,100060,0,8bcbc3a216706ce82da94023fe0bfeb8,1705f6d411f99c4b6ff81b5ee2ef95a1,,,,,,,,,,,
ピアッシータン/2,Pierced Tongue/2,100061,0,9423e76e34fff2824a815313ad1dd95a,ded9ab92b5f6a1fa3c273b037c625f2e,,,,,,,,,,,
ヴァンプアプトゥース,Upper Vampire Fangs,100070,0,db034af8b4dc337b549a6b9f28041a83,10bad76ec5ebbcbc46d743e8b54ebd62,,,,,,,,,,,
ヴァンプロワトゥース,Lower Vampire Fangs,100080,0,94b156de41f54e5aa2939bdb16ce1f9a,eabd14feee107b1487847567ee99d2bb,,,,,,,,,,,
トンガリタン,Pointed Tongue,100090,0,64d54e09a2487ce25992392946e7c7a7,153a57f54f1e6f583345dcb158f52414,,,,,,,,,,,
トンガリタン/2,Pointed Tongue/2,100091,0,df68f5c3975db5332c9af94e8762ebd7,4dc974b7fdf2a8268e8947437410ef14,,,,,,,,,,,
トンガリタン/3,Pointed Tongue/3,100092,0,1f254337b5145bf9188cc2672956f487,58c8a0d1e74788a72ba6ae068cf373c9,,,,,,,,,,,
ノッシトゥース,Noxxi Teeth,100100,0,c004dd76a8d3b86de02db996ad40713b,5d10d094f58eda22d20240a535ca3a56,,,,,,,,,,,
ビーストトゥース,Bestial Fangs,100110,0,5bbc69ef795382c66800b6992ae7d99c,d214a6a421cc63c32547b682906870e2,,,,,,,,,,,
キトゥントゥース,Kitten Teeth,100120,0,5a058cb43b5ef0af481f3d2efed89cca,e3ccd4ea516251895be9dadd46bd2c68,,,,,,,,,,,
キトゥントゥース/2,Kitten Teeth/2,100121,0,1215cb420ae846fb68933d9e58a17987,b2c330b3b8ca509fbdf5834d4a8aecde,,,,,,,,,,,
ディアボリカマウス,Diabolique Tongue,100130,0,ba7f1be591129646a01d6795a7de7c8e,0b79321de42029aa51ff13a98c213f2d,,,,,,,,,,,
ラッピータトゥータン,Rappy Tongue Tattoo,100140,0,af7abe93a700d44affbeff74591e47b4,2179adf418ee9b54b363bd561f99c44a,,,,,,,,,,,
シャークトゥース,Shark Teeth,100150,0,d17d4f244979c9a6d78535966eb559ac,64cd386caf260aa821b9deb88cc84217,,,,,,,,,,,
ルミナストゥース,Luminous Teeth,100160,0,a9c3cfac64519a9f369c3a6505bde739,a1baa1562d60bd7ba6020a599afd2623,,,,,,,,,,,
ギザトゥース,Jagged Teeth,100170,0,1876b29ad7c7f57136f79dcd48881c3b,637357d83d4e1372627297d84a0abbed,,,,,,,,,,,
プニットタン,Playful Tongue,100180,0,710ae3f24874d11596b6a63273737998,bb3cf233576983412e67b4e3c5518dbd,,,,,,,,,,,
ソウトゥース,Saw Teeth,100190,0,6bf8321acb5c75c99f05de03718aca85,51d65c802ed8e9ce95cfce55b03f4af6,,,,,,,,,,,
ルミナスクリーチャートゥース,Luminous Beast Teeth,100200,0,4279ecf4ad73f2ebf08250757abd599e,8906b591a8e5fd84683abd1e2b40125d,,,,,,,,,,,
￥標準タイプ(α２)NPC,￥標準タイプ(α２)NPC,501060,0,,,,,,,,,,,,,
