Japanese Name,English Name,Id,Adjusted Id,Icon,Normal Quality,High Quality,Normal Quality RP,High Quality RP,Linked Inner,HQ Linked Inner,Sounds,Cast Sounds,Material Anim,Material Anim Ex,Hand Textures,HQ Hand Textures
タイプA　1,Base Sticker A1,0,0,1128738e8f633e0ba094cfe8de341898,b126c4b2ca767013262bac919ab2e398,,,,,,,,,,,
タイプA　2,Base Sticker A2,1,0,d9d42a43a091b86d1097524777710470,60bd6bdf1b354a6107fa5e70efa2d5c6,,,,,,,,,,,
タイプA　3,Base Sticker A3,2,0,ba3781b04a840242f6879fa7bac2abcc,5f3e70336cbac03f4af930819a549f8a,,,,,,,,,,,
タイプB　1,Base Sticker B1,10,0,6ce3d7d6cd4752607f470adf27b8b8df,7167a9f0699d2dd71b8e81c8be0e7aec,,,,,,,,,,,
タイプB　2,Base Sticker B2,11,0,f58d535aae60fcb242e859b11218eaa0,6af265be6a136b3f2bcd0275d20159a5,,,,,,,,,,,
タイプB　3,Base Sticker B3,12,0,5d3d4e417a1946522d4ab4de403ecde7,51f0d482c27f38e7b98d6828330b8498,,,,,,,,,,,
タイプC　1,Base Sticker C1,20,0,8f4088c38462e453d6765b474bdd11cf,acf0d15eae5c4c4a59242fc6feb97554,,,,,,,,,,,
タイプC　2,Base Sticker C2,21,0,acf93f993c261a61687004599ca37c5c,766399952fe3b697238ef1e149a03394,,,,,,,,,,,
タイプC　3,Base Sticker C3,22,0,7659152f782d97ebbd2b5ff09d23c013,0883d965f468b8581752ab8a12eed001,,,,,,,,,,,
タイプD　1,Base Sticker D1,30,0,f6d278054c8ff1f3929f7663efe7d2bc,3681a230faf8de4cfa37a12613c56e4b,,,,,,,,,,,
タイプD　2,Base Sticker D2,31,0,626fe28ef11d96a6d2bff31f20e998ab,c7fd0efc27933a01296fea41fc87ab67,,,,,,,,,,,
タイプD　3,Base Sticker D3,32,0,a843214d4de6882ec1b94c686e68a346,052078c033e7f10d5f9fc18b63a41a4d,,,,,,,,,,,
タイプE,Base Sticker E,40,0,8adfef33c500aa7a85de8e1612586987,177e200656036eb72f44c5d7c485de20,,,,,,,,,,,
タイプF,Base Sticker F,50,0,5658675fde59434871e5d20e4c8cbbeb,4507e5b3176b268c2b4bc41344cd6af1,,,,,,,,,,,
タイプG,Base Sticker G,60,0,665255550b1bdc02043d00a680681f53,f4e23754f192efe2798b66a7767b262e,,,,,,,,,,,
タイプH,Base Sticker H,70,0,efef9df9752329625d8c3cda43e69b8f,52852508fd96f2d67afc63f2d15cb364,,,,,,,,,,,
タイプI,Base Sticker I,80,0,eeff329eb2e6e100de7308e34b014b73,4d72944e386e713525fb95d9fd3ffe0d,,,,,,,,,,,
メディカルＡ,Medical Sticker A,90,0,d57e5c11fe6a6157484c02bef0df4a43,2c3ef3dd752fada3cec7ed1b59fe0e15,,,,,,,,,,,
メディカルＢ,Medical Sticker B,91,0,ce231f8a83c7c60b0ebcec294ea15ae1,a3a08d69ab1b12f03f1b5b7bdbbf4822,,,,,,,,,,,
